Format Version,1.23,Take Name,NZIZ2_noshake_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-13 01.30.44.542 PM,Total Frames in Take,325,Total Exported Frames,325,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,"Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7",Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Specs2:Marker1,Specs2:Marker1,Specs2:Marker1,Specs2:Marker2,Specs2:Marker2,Specs2:Marker2,Specs2:Marker3,Specs2:Marker3,Specs2:Marker3,Specs2:Marker4,Specs2:Marker4,Specs2:Marker4,Specs2:Marker5,Specs2:Marker5,Specs2:Marker5,Specs2:Marker6,Specs2:Marker6,Specs2:Marker6,Specs2:Marker7,Specs2:Marker7,Specs2:Marker7,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5,Wand:Marker6,Wand:Marker6,Wand:Marker6
,ID,"69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","C6C30","C6C30","C6C30","C6CA0","C6CA0","C6CA0","C6C20","C6C20","C6C20","C6EF0","C6EF0","C6EF0","C7030","C7030","C7030","C7010","C7010","C7010","C7040","C7040","C7040","C6E50","C6E50","C6E50","C6FA0","C6FA0","C6FA0","C6FB0","C6FB0","C6FB0","C6E40","C6E40","C6E40","C6FD0","C6FD0","C6FD0","C6F90","C6F90","C6F90"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.522649,-3.122606,0.008208,69.939026,155.514236,128.179428,0.143571,119.077751,178.783478,187.296631,0.949047,188.445572,153.272064,105.306091,0.967443,151.794281,138.478851,52.412033,0.924973,11.286802,170.494019,182.743591,0.951297,66.629425,167.821762,194.040924,0.958092,-34.546421,149.955826,121.308228,0.958193,-13.114244,129.793732,54.148487,0.000000,87.352158,-2.540989,40.617847,66.274132,182.740845,179.017105,0.172824,112.804123,327.221619,203.071396,0.930665,70.462120,332.697449,165.435913,0.916845,64.282776,320.080261,253.531631,0.962694,76.773285,330.301636,199.454025,0.979423,43.217182,328.373596,197.955048,0.964119,66.272926,182.732727,179.017914,0.000000,119.211067,178.791046,187.450607,188.490067,153.321808,105.417915,151.494293,138.482147,52.404324,11.295527,170.671844,182.664536,66.731613,167.707214,193.973572,-34.535149,149.831863,121.196556,,,,112.810661,327.196289,202.795303,70.577087,332.786316,165.735107,64.170593,320.171875,253.495728,76.822121,330.269714,199.512100,43.159065,328.250488,197.909698,,,
1,0.016667,-0.520265,-3.122162,0.012144,69.936073,155.512939,128.186584,0.144192,119.073692,178.783295,187.304260,0.949047,188.442551,153.279755,105.312180,0.967443,151.791840,138.486023,52.417873,0.924973,11.283286,170.486649,182.751801,0.951297,66.626183,167.817749,194.048569,0.958092,-34.549026,149.947632,121.316055,0.958193,-13.116055,129.789566,54.155388,0.000000,87.370949,-2.383019,40.657986,66.216743,182.755844,178.999313,0.122425,112.330200,327.358551,203.123169,0.930665,69.994637,332.727539,165.465073,0.916845,63.800110,320.066895,253.553482,0.962694,76.293007,330.339264,199.486084,0.979423,42.743259,328.318176,197.967316,0.964119,66.215569,182.747726,179.000122,0.000000,119.209122,178.787704,187.457138,188.489456,153.329880,105.422508,151.486572,138.490417,52.410881,11.288039,170.672073,182.676819,66.727859,167.702240,193.984787,-34.532478,149.818863,121.198540,,,,112.402870,327.307068,202.920868,69.976196,332.818329,165.674728,63.669601,320.148804,253.542328,76.370934,330.353088,199.558746,42.741539,328.183044,197.898422,,,
2,0.033333,-0.515738,-3.124345,0.011622,69.933159,155.507782,128.202118,0.143773,119.068741,178.773010,187.323532,0.948927,188.440552,153.275391,105.332054,0.967514,151.791702,138.486176,52.435165,0.923656,11.278406,170.477661,182.766296,0.949982,66.620865,167.807388,194.064972,0.958357,-34.551746,149.943939,121.327164,0.956224,-13.116375,129.791016,54.165691,0.000000,87.371574,-2.270633,40.696072,66.177200,182.736389,179.038315,0.120898,111.988976,327.430939,203.186218,0.944740,69.664421,332.715088,165.503738,0.942697,63.444569,320.043549,253.588791,0.961376,75.948013,330.339844,199.528397,0.973136,42.403240,328.252014,197.990417,0.962093,66.176033,182.728271,179.039124,0.000000,119.204773,178.783646,187.478088,188.485779,153.323593,105.442474,151.489258,138.489563,52.427032,11.285819,170.653015,182.686859,66.720787,167.693100,194.001678,-34.537895,149.820740,121.212997,,,,112.044472,327.403229,202.983322,69.654610,332.801270,165.706177,63.321278,320.121552,253.575378,76.024292,330.310425,199.610413,42.404583,328.144714,197.922302,,,
3,0.050000,-0.516899,-3.122762,0.009806,69.930145,155.517944,128.187317,0.142657,119.068069,178.782715,187.306961,0.948455,188.436813,153.281342,105.314049,0.967827,151.786057,138.492310,52.418442,0.924356,11.277367,170.490707,182.752823,0.951837,66.620033,167.818878,194.050018,0.958880,-34.555130,149.957306,121.315308,0.957869,-13.122231,129.802444,54.153629,0.000000,87.415649,-2.169789,40.704197,66.164772,182.757614,178.948975,0.128871,111.719658,327.514252,203.210205,0.946959,69.388138,332.752533,165.529160,0.944941,63.185303,320.002716,253.604111,0.963370,75.673851,330.362366,199.552383,0.971049,42.132900,328.216492,198.010727,0.968227,66.163620,182.749481,178.949768,0.000000,119.203201,178.790802,187.458130,188.487854,153.332138,105.424286,151.483383,138.494904,52.411297,11.283271,170.669647,182.670883,66.717857,167.701660,193.987823,-34.542381,149.834015,121.205124,,,,111.781654,327.487915,203.014008,69.356110,332.847504,165.736069,63.052475,320.088379,253.576843,75.775795,330.319580,199.633575,42.133873,328.105103,197.946106,,,
4,0.066667,-0.526454,-3.122556,0.009984,69.926064,155.526581,128.161850,0.140801,119.064140,178.801361,187.277420,0.950291,188.432663,153.286514,105.288521,0.966755,151.781769,138.488556,52.395508,0.925114,11.273433,170.508270,182.725067,0.950822,66.616158,167.838486,194.022507,0.959248,-34.559227,149.964447,121.291145,0.959237,-13.126508,129.798477,54.132751,0.000000,87.438309,-2.114058,40.689476,66.132912,182.763184,178.925339,0.126635,111.556084,327.553680,203.231583,0.946598,69.208237,332.766602,165.565353,0.943489,63.044094,319.975098,253.637009,0.959217,75.506454,330.368683,199.585724,0.967149,41.967117,328.191223,198.053253,0.967996,66.131767,182.755051,178.926132,0.000000,119.196571,178.808441,187.425568,188.483810,153.340744,105.398651,151.482376,138.487808,52.386040,11.279591,170.686691,182.642471,66.712532,167.720322,193.964890,-34.545956,149.843536,121.182564,,,,111.624832,327.526489,203.031189,69.178200,332.860321,165.768845,62.907280,320.059845,253.610291,75.599380,330.329895,199.670151,41.972290,328.078735,197.992340,,,
5,0.083333,-0.531723,-3.122733,0.013300,69.919586,155.530518,128.143646,0.139728,119.056168,178.813751,187.257141,0.949866,188.426361,153.295135,105.270851,0.966708,151.776459,138.490021,52.379162,0.925931,11.265956,170.514008,182.705276,0.950499,66.608803,167.848480,194.003113,0.959323,-34.565353,149.961700,121.273209,0.959179,-13.131298,129.790558,54.116802,0.000000,87.445740,-2.090527,40.691002,66.125549,182.773331,178.918365,0.122818,111.488945,327.579376,203.243591,0.946707,69.139259,332.779663,165.577713,0.943711,62.979660,319.974365,253.647659,0.960616,75.438187,330.380035,199.597809,0.972539,41.899761,328.188965,198.064789,0.966009,66.124413,182.765198,178.919159,0.000000,119.189285,178.821945,187.406891,188.475311,153.349945,105.381897,151.480576,138.487732,52.364227,11.271551,170.695160,182.625549,66.701378,167.727966,193.944992,-34.549721,149.840317,121.165123,,,,111.562035,327.541199,203.047028,69.116104,332.871338,165.782043,62.847622,320.057251,253.624969,75.517654,330.365753,199.672287,41.902420,328.066895,198.004974,,,
