Format Version,1.23,Take Name,NZIZ2_shake_003,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-13 01.32.15.206 PM,Total Frames in Take,547,Total Exported Frames,547,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,"Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7",Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Specs2:Marker1,Specs2:Marker1,Specs2:Marker1,Specs2:Marker2,Specs2:Marker2,Specs2:Marker2,Specs2:Marker3,Specs2:Marker3,Specs2:Marker3,Specs2:Marker4,Specs2:Marker4,Specs2:Marker4,Specs2:Marker5,Specs2:Marker5,Specs2:Marker5,Specs2:Marker6,Specs2:Marker6,Specs2:Marker6,Specs2:Marker7,Specs2:Marker7,Specs2:Marker7,Unlabeled 1337,Unlabeled 1337,Unlabeled 1337,Unlabeled 1339,Unlabeled 1339,Unlabeled 1339,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5,Wand:Marker6,Wand:Marker6,Wand:Marker6
,ID,"69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","C7330","C7330","C7330","C7310","C7310","C7310","C7320","C7320","C7320","C7390","C7390","C7390","C73B0","C73B0","C73B0","C73A0","C73A0","C73A0","208D403B2A","208D403B2A","208D403B2A","C72F0","C72F0","C72F0","C7400","C7400","C7400","C7340","C7340","C7340","C7360","C7360","C7360","C7370","C7370","C7370","C7350","C7350","C7350","C7380","C7380","C7380","C73C0","C73C0","C73C0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.098438,-2.347902,-0.122623,67.147881,154.936752,114.517845,0.171585,117.135971,177.445450,173.215912,0.941127,185.329117,152.678040,90.020683,0.978484,147.931671,138.548401,37.468620,0.915187,9.273775,169.449722,170.030777,0.952042,64.757271,166.528854,180.548676,0.000000,-37.433842,149.689804,109.000053,0.957888,-16.958780,130.216965,41.340195,0.000000,95.747673,-1.351866,45.641472,66.713295,172.201416,169.560455,0.126944,107.419205,312.278473,217.931793,0.948109,68.369438,322.593567,177.832245,0.939889,54.905499,297.385559,262.339722,0.962748,71.771500,315.414185,211.591476,0.972473,38.528450,313.319550,206.849197,0.972094,66.712227,172.193237,169.559998,0.000000,117.299858,177.468857,173.383423,185.346970,152.663055,90.103539,147.595749,138.591461,37.488541,9.391623,169.501465,169.888550,,,,-37.397564,149.586624,108.871956,,,,,,,,,,107.505608,312.294464,217.743744,68.347389,322.656708,178.063202,54.785080,297.471405,262.321381,71.831909,315.334991,211.638443,38.524216,313.234070,206.777573,,,
1,0.016667,0.117100,-2.350317,-0.152723,67.236694,154.932068,114.567192,0.166728,117.234169,177.394150,173.275116,0.941127,185.417740,152.619843,90.074104,0.978484,148.015030,138.528061,37.515587,0.915187,9.367921,169.456146,170.082779,0.952042,64.849442,166.502502,180.601944,0.000000,-37.347549,149.741943,109.043282,0.957888,-16.879923,130.281860,41.377506,0.000000,95.730476,-1.423209,45.689842,66.800682,172.147598,169.691437,0.133969,107.657356,312.186249,218.047028,0.948109,68.649956,322.540070,177.916260,0.939889,55.092239,297.377075,262.422150,0.962748,72.018372,315.367035,211.680206,0.972473,38.775978,313.314911,206.914841,0.972094,66.799614,172.139435,169.690979,0.000000,117.391342,177.418610,173.440598,185.439758,152.605499,90.154037,147.686050,138.569717,37.537140,9.491486,169.503693,169.940872,,,,-37.321323,149.642593,108.918228,,,,,,,,,,107.740341,312.214355,217.850967,68.616203,322.613770,178.157181,54.963417,297.473175,262.397461,72.087387,315.249207,211.734024,38.786640,313.234833,206.840790,,,
2,0.033333,0.132130,-2.350328,-0.179221,67.298584,154.942551,114.624840,0.159461,117.306480,177.365021,173.339035,0.942618,185.478516,152.582596,90.130997,0.978965,148.069290,138.522903,37.568562,0.916922,9.436570,169.477768,170.144577,0.951481,64.916733,166.495514,180.662857,0.000000,-37.288055,149.802322,109.099564,0.959534,-16.829468,130.351807,41.428307,0.000000,95.751678,-1.485610,45.696148,66.872864,172.129318,169.732452,0.130700,107.882774,312.105347,218.139481,0.946315,68.886757,322.516632,178.012512,0.936452,55.301430,297.337463,262.509125,0.959352,72.247276,315.327515,211.773834,0.963304,39.002666,313.313538,207.007675,0.972601,66.871780,172.121155,169.731995,0.000000,117.451111,177.383987,173.496643,185.504715,152.568756,90.208588,147.749084,138.565964,37.592812,9.566296,169.529099,170.004715,,,,-37.268436,149.702835,108.979919,,,,,,,,,,107.964516,312.121582,217.957382,68.855553,322.585693,178.258621,55.189800,297.430328,262.490021,72.308647,315.232361,211.815979,39.002487,313.230865,206.920319,,,
3,0.050000,0.148764,-2.350159,-0.196421,67.338272,154.943558,114.670082,0.154141,117.353111,177.333252,173.390900,0.946312,185.517426,152.555573,90.175087,0.979235,148.103775,138.522995,37.608521,0.919000,9.480819,169.479309,170.194412,0.950613,64.960121,166.477249,180.711594,0.000000,-37.249924,149.836365,109.143646,0.960789,-16.797424,130.400192,41.466415,0.000000,95.759758,-1.569738,45.671459,66.859764,172.120728,169.774567,0.130529,108.095947,312.031097,218.179260,0.949933,69.091637,322.503784,178.076324,0.935617,55.519276,297.330963,262.576935,0.963385,72.461395,315.304749,211.834610,0.969794,39.211235,313.338593,207.087311,0.969933,66.858673,172.112564,169.774094,0.000000,117.494835,177.355942,173.545975,185.548477,152.538269,90.248482,147.787811,138.567520,37.636051,9.604848,169.523849,170.050278,,,,-37.230747,149.741867,109.031784,,,,,,,,,,108.184105,312.045532,217.983704,69.066422,322.578369,178.324203,55.400116,297.427094,262.560852,72.512253,315.210632,211.884659,39.216675,313.247620,207.001007,,,
4,0.066667,0.160688,-2.353416,-0.209960,67.375397,154.942856,114.707253,0.148798,117.392227,177.307953,173.435745,0.948911,185.555344,152.532272,90.218384,0.980043,148.141357,138.520004,37.646667,0.921123,9.518262,169.480179,170.231506,0.952061,64.996262,166.462723,180.751144,0.000000,-37.213699,149.861572,109.173828,0.965248,-16.761974,130.435318,41.493511,0.000000,95.761513,-1.604538,45.647285,66.922462,172.123383,169.822220,0.127899,108.260529,312.008514,218.212997,0.946782,69.242828,322.504822,178.129242,0.936784,55.696934,297.336029,262.635315,0.961543,72.624771,315.302460,211.885590,0.970119,39.371227,313.355194,207.154190,0.967246,66.921364,172.115219,169.821747,0.000000,117.531693,177.331818,173.583191,185.588226,152.514465,90.288910,147.830750,138.564590,37.679604,9.637043,169.518188,170.085846,,,,-37.194279,149.772888,109.068565,,,,,,,,,,108.340157,312.017059,218.015762,69.220978,322.584351,178.368271,55.580681,297.435120,262.617035,72.676819,315.214417,211.947449,39.377598,313.256012,207.068817,,,
5,0.083333,0.186031,-2.358932,-0.214171,67.387924,154.946609,114.736877,0.151784,117.400749,177.281860,173.480118,0.950680,185.570068,152.538223,90.258270,0.980508,148.160065,138.552109,37.676735,0.925137,9.526521,169.463470,170.262039,0.949573,65.003288,166.437241,180.785660,0.000000,-37.201004,149.875504,109.191139,0.965446,-16.744226,130.477875,41.504158,0.000000,95.759415,-1.650959,45.608238,66.903587,172.107147,169.850281,0.132862,108.381546,311.962555,218.207214,0.947437,69.341187,322.486938,178.152924,0.936446,55.840900,297.329590,262.669678,0.959369,72.743446,315.282715,211.906815,0.960779,39.484894,313.359863,207.200684,0.966922,66.902473,172.098984,169.849808,0.000000,117.543037,177.312836,173.613220,185.569916,152.497330,90.324654,147.872360,138.618317,37.726841,9.656738,169.501129,170.112671,,,,-37.185658,149.781601,109.090897,,,,,,,,,,108.462761,311.977081,218.013824,69.302979,322.577362,178.387421,55.719505,297.435638,262.648895,72.825676,315.168732,211.976563,39.481155,313.263000,207.110626,,,
