Format Version,1.23,Take Name,circum2_noshake_004,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-13 01.33.13.190 PM,Total Frames in Take,595,Total Exported Frames,595,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,"Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7",Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Specs2:Marker1,Specs2:Marker1,Specs2:Marker1,Specs2:Marker2,Specs2:Marker2,Specs2:Marker2,Specs2:Marker3,Specs2:Marker3,Specs2:Marker3,Specs2:Marker4,Specs2:Marker4,Specs2:Marker4,Specs2:Marker5,Specs2:Marker5,Specs2:Marker5,Specs2:Marker6,Specs2:Marker6,Specs2:Marker6,Specs2:Marker7,Specs2:Marker7,Specs2:Marker7,Unlabeled 1361,Unlabeled 1361,Unlabeled 1361,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5
,ID,"69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","C77F0","C77F0","C77F0","C76D0","C76D0","C76D0","C7310","C7310","C7310","1451A45E145411EC97A319E8FC9C3E91","1451A45E145411EC97A319E8FC9C3E91","1451A45E145411EC97A319E8FC9C3E91","1451A3F4145411EC97A319E8FC9C3E91","1451A3F4145411EC97A319E8FC9C3E91","1451A3F4145411EC97A319E8FC9C3E91","C78D0","C78D0","C78D0","C78B0","C78B0","C78B0","C78C0","C78C0","C78C0","C7800","C7800","C7800","C7830","C7830","C7830","C7870","C7870","C7870","C7820","C7820","C7820","C7760","C7760","C7760"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.395124,-3.020343,0.110321,76.965309,155.254456,109.532257,0.170781,126.169312,178.484589,168.610550,0.942950,195.434250,153.270401,86.441254,0.965535,158.713913,138.525055,33.581741,0.920077,18.385117,170.014374,164.233551,0.000000,73.752625,167.415894,175.425674,0.000000,-27.522364,149.526031,102.837013,0.977409,-6.175660,129.544876,35.596043,0.962693,133.533859,17.133448,-136.472290,71.569550,185.865402,159.180130,0.104401,-8.002512,300.711853,223.187424,0.962316,29.293419,285.908539,263.549988,0.953968,43.708336,336.230621,191.313339,0.966349,25.835854,305.869598,235.400314,0.948525,58.659145,308.408966,242.340042,0.985762,71.572784,185.860168,159.174637,0.000000,126.355659,178.577286,168.704102,195.400772,153.169418,86.528938,158.407227,138.606293,33.542381,,,,,,,-27.498896,149.491440,102.756897,-6.045348,129.506516,35.534264,44.740097,134.023285,160.784073,-8.069733,300.640198,223.301743,29.338614,286.078430,263.495178,43.808434,336.295166,191.376068,25.741949,305.756805,235.255905,58.674995,308.358978,242.362213
1,0.016667,-0.382321,-3.017661,0.109738,76.968727,155.240646,109.545387,0.166101,126.175728,178.457031,168.626556,0.942950,195.436554,153.260529,86.448402,0.965535,158.713577,138.527405,33.587315,0.920077,18.391258,169.988937,164.252716,0.000000,73.759254,167.387329,175.441666,0.000000,-27.519316,149.514816,102.853737,0.977409,-6.175972,129.548492,35.607300,0.962693,133.703171,17.304554,-136.485504,71.696556,185.924088,159.169174,0.104875,-8.262650,300.400909,223.355835,0.962316,28.990828,285.567322,263.746460,0.953968,43.426159,336.131042,191.682877,0.966349,25.540449,305.601563,235.647964,0.948525,58.344540,308.196716,242.657486,0.985762,71.699814,185.918884,159.163651,0.000000,126.352966,178.536255,168.720642,195.404236,153.169830,86.530716,158.412598,138.606323,33.545654,,,,,,,-27.495632,149.493683,102.762154,-6.043570,129.502090,35.564156,44.705635,133.980362,160.783356,-8.314430,300.340057,223.475540,29.021366,285.746368,263.667328,43.510136,336.191101,191.740662,25.484758,305.470459,235.517975,58.337494,308.149597,242.689194
2,0.033333,-0.376354,-3.016626,0.111799,76.968735,155.232513,109.559181,0.166325,126.176003,178.444626,168.641815,0.946068,195.436203,153.259003,86.459824,0.968331,158.712799,138.529968,33.597900,0.921515,18.391731,169.973114,164.269089,0.000000,73.760033,167.372375,175.456757,0.000000,-27.519226,149.503632,102.868858,0.975768,-6.176404,129.544937,35.619980,0.963304,133.861298,17.444855,-136.501953,71.712494,185.947662,159.147018,0.103715,-8.566685,300.095734,223.519485,0.964017,28.655411,285.226990,263.926117,0.950466,43.099266,336.011536,192.019653,0.970422,25.207758,305.329590,235.876129,0.951792,57.996193,307.970123,242.941742,0.985693,71.715775,185.942474,159.141510,0.000000,126.341599,178.515869,168.746613,195.403824,153.175003,86.533478,158.416885,138.605988,33.549229,,,,,,,-27.491285,149.493958,102.767052,-6.041694,129.491394,35.592056,44.672951,133.938416,160.785416,-8.639539,300.016266,223.628662,28.687777,285.411591,263.860321,43.189514,336.079315,192.083038,25.149038,305.217957,235.748169,58.005161,307.908813,242.962830
3,0.050000,-0.372384,-3.016180,0.112385,76.969948,155.220993,109.566528,0.164046,126.177429,178.429565,168.650391,0.947872,195.437256,153.250275,86.466118,0.970918,158.713577,138.524506,33.603451,0.922655,18.393234,169.957230,164.277924,0.000000,73.761642,167.356277,175.464966,0.000000,-27.518003,149.491516,102.876640,0.973497,-6.175496,129.537674,35.626232,0.963092,134.021469,17.569666,-136.520554,71.714638,185.979492,159.091003,0.111388,-8.850895,299.810211,223.667343,0.961640,28.345663,284.898804,264.081787,0.950346,42.791344,335.902863,192.331207,0.967636,24.898220,305.070862,236.081650,0.955083,57.672775,307.750702,243.196671,0.983636,71.717934,185.974335,159.085464,0.000000,126.333374,178.493942,168.759201,195.409012,153.168015,86.532944,158.420746,138.603455,33.553558,,,,,,,-27.486635,149.491867,102.765984,-6.041743,129.476227,35.611122,44.631081,133.884888,160.781860,-8.906940,299.737579,223.764847,28.372372,285.084473,264.029297,42.862949,335.980316,192.381409,24.819666,304.954010,235.951523,57.709076,307.676971,243.231537
4,0.066667,-0.372009,-3.014112,0.113520,76.968468,155.212051,109.570686,0.163852,126.177635,178.421234,168.652908,0.951219,195.434982,153.243759,86.465973,0.973413,158.709671,138.517578,33.604561,0.923445,18.393431,169.946838,164.284286,0.000000,73.762314,167.346909,175.469330,0.000000,-27.519629,149.480545,102.884544,0.968423,-6.179176,129.527496,35.633244,0.962991,134.133194,17.677837,-136.539124,71.679413,185.944366,159.123566,0.113262,-9.135321,299.528595,223.822418,0.963675,28.040565,284.600800,264.249786,0.946810,42.484226,335.760284,192.609573,0.969614,24.591930,304.819214,236.283295,0.955916,57.354450,307.537384,243.439087,0.978298,71.682724,185.939224,159.118027,0.000000,126.329971,178.478333,168.760635,195.411102,153.164871,86.533173,158.419220,138.598740,33.551453,,,,,,,-27.489523,149.488312,102.762123,-6.047244,129.460342,35.633877,44.574997,133.821960,160.773529,-9.198529,299.447052,223.924728,28.061943,284.801147,264.181458,42.558800,335.838806,192.664795,24.538012,304.700745,236.164368,57.375595,307.458679,243.468979
5,0.083333,-0.368399,-3.012361,0.117357,76.960831,155.199966,109.582603,0.162453,126.170280,178.408920,168.664658,0.953974,195.426758,153.240952,86.474091,0.974389,158.700790,138.515457,33.612953,0.923609,18.386520,169.927597,164.298874,0.000000,73.755905,167.330688,175.482071,0.000000,-27.527094,149.461899,102.899361,0.964991,-6.187372,129.514267,35.646221,0.960436,134.259460,17.778294,-136.563126,71.647842,185.942017,159.092880,0.113800,-9.401731,299.267517,223.951508,0.968227,27.759262,284.312836,264.382660,0.947884,42.191254,335.643127,192.862366,0.971599,24.305702,304.584015,236.454956,0.951943,57.057312,307.337555,243.647095,0.973659,71.651161,185.936905,159.087326,0.000000,126.310646,178.455215,168.774429,195.404373,153.163208,86.536934,158.414047,138.603378,33.554478,,,,,,,-27.493015,149.486237,102.765732,-6.052715,129.433441,35.665710,44.516502,133.757614,160.774277,-9.458108,299.196289,224.040390,27.797720,284.510925,264.330231,42.254192,335.722595,192.913666,24.231165,304.467834,236.321198,57.086834,307.247498,243.693130
