Format Version,1.23,Take Name,ear2ear2_shake_006,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-13 01.34.53.776 PM,Total Frames in Take,479,Total Exported Frames,479,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,Specs2,"Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker1","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker2","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker3","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker4","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker5","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker6","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7","Specs2:Marker7",Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Specs2:Marker1,Specs2:Marker1,Specs2:Marker1,Specs2:Marker2,Specs2:Marker2,Specs2:Marker2,Specs2:Marker3,Specs2:Marker3,Specs2:Marker3,Specs2:Marker4,Specs2:Marker4,Specs2:Marker4,Specs2:Marker5,Specs2:Marker5,Specs2:Marker5,Specs2:Marker6,Specs2:Marker6,Specs2:Marker6,Specs2:Marker7,Specs2:Marker7,Specs2:Marker7,Unlabeled 1452,Unlabeled 1452,Unlabeled 1452,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5,Wand:Marker6,Wand:Marker6,Wand:Marker6
,ID,"69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","69FD86A3145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","C7F80","C7F80","C7F80","C7F20","C7F20","C7F20","C7F70","C7F70","C7F70","C7FA0","C7FA0","C7FA0","C7F90","C7F90","C7F90","C7F60","C7F60","C7F60","C7FB0","C7FB0","C7FB0","C80A0","C80A0","C80A0","C8020","C8020","C8020","C8030","C8030","C8030","C7FC0","C7FC0","C7FC0","C7FE0","C7FE0","C7FE0","C7FF0","C7FF0","C7FF0","C8040","C8040","C8040"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.751001,-4.167491,-1.949665,72.674377,153.175400,73.848480,0.077026,121.467087,175.936157,133.448257,0.910701,191.441223,146.512177,53.304489,0.975216,155.298386,131.923996,0.005171,0.879439,13.560262,171.179367,126.981346,0.886362,68.561020,166.873978,139.389252,0.949840,-31.793751,150.991318,65.076088,0.927990,-9.813562,128.810822,-1.265243,0.855905,58.308262,61.712105,-40.589027,-9.856947,116.958572,33.249504,0.142147,-120.374756,184.443741,-49.514668,0.953507,-145.639420,173.186615,0.226974,0.949100,-90.182953,240.309265,-19.198820,0.967022,-126.065521,196.880493,-15.843708,0.960353,-126.287712,207.761826,15.992190,0.949507,-9.849587,116.955963,33.252167,0.000000,121.488960,176.291977,133.470856,191.424774,146.606842,53.280090,155.214508,131.449112,0.002050,13.559099,170.761948,127.161263,68.538834,167.063278,139.326569,-31.839415,150.712143,65.130348,-9.666071,129.342529,-1.431840,,,,-120.395142,184.260345,-49.537739,-145.636017,173.380814,0.165895,-90.237846,240.406952,-19.129208,-126.075272,196.846344,-15.998272,-126.206100,207.687332,16.161257,,,
1,0.016667,-1.749669,-4.166218,-1.949210,72.675171,153.176712,73.850906,0.075553,121.469048,175.936493,133.450104,0.910701,191.441589,146.514816,53.304100,0.975216,155.297668,131.927582,0.005260,0.879439,13.562109,171.179062,126.985504,0.886362,68.563179,166.873779,139.392075,0.949840,-31.793140,150.992065,65.080811,0.927990,-9.814292,128.813232,-1.261525,0.855905,58.239616,61.723148,-40.516300,-9.848557,116.939407,33.218788,0.135863,-120.364815,184.364853,-49.596149,0.953507,-145.644455,173.099579,0.136048,0.949100,-90.212280,240.247314,-19.272375,0.967022,-126.075386,196.801559,-15.928495,0.960353,-126.315834,207.685364,15.906424,0.949507,-9.841198,116.936806,33.221455,0.000000,121.490532,176.292267,133.471863,191.424271,146.609116,53.279823,155.213409,131.452148,0.005112,13.559331,170.761948,127.162796,68.536057,167.062988,139.322128,-31.829494,150.708939,65.142242,-9.667948,129.349655,-1.427637,,,,-120.386284,184.178528,-49.604111,-145.650330,173.291809,0.075997,-90.267029,240.354553,-19.197582,-126.086411,196.771088,-16.082184,-126.222748,207.602722,16.053413,,,
2,0.033333,-1.750850,-4.165542,-1.948663,72.674736,153.175339,73.851334,0.076083,121.469131,175.936829,133.449463,0.910727,191.440964,146.514084,53.303226,0.975275,155.296539,131.925385,0.005141,0.879289,13.562154,171.178284,126.986267,0.886691,68.563416,166.873764,139.392258,0.949117,-31.793669,150.989563,65.082550,0.927005,-9.815425,128.809509,-1.259588,0.854925,58.158173,61.718048,-40.466278,-9.871751,116.893700,33.216755,0.124616,-120.364578,184.249344,-49.686176,0.953069,-145.662445,173.012939,0.043288,0.949632,-90.232063,240.155853,-19.386881,0.964562,-126.090317,196.707199,-16.028929,0.960733,-126.345009,207.611740,15.798770,0.951846,-9.864392,116.891090,33.219425,0.000000,121.490700,176.291550,133.471710,191.424698,146.610367,53.278362,155.210693,131.449310,0.004852,13.558047,170.764587,127.164406,68.536903,167.060303,139.323868,-31.829134,150.707809,65.145020,-9.668782,129.343353,-1.428921,,,,-120.374130,184.082123,-49.688953,-145.667725,173.196747,-0.017366,-90.290535,240.243744,-19.332012,-126.100975,196.691437,-16.167976,-126.261208,207.523026,15.946136,,,
3,0.050000,-1.747704,-4.166415,-1.945657,72.671883,153.171509,73.850380,0.075699,121.464256,175.932526,133.450333,0.910982,191.438766,146.517578,53.303551,0.974810,155.295822,131.929703,0.004224,0.879061,13.557624,171.168610,126.985428,0.887389,68.558945,166.866379,139.391953,0.949892,-31.796268,150.980667,65.080063,0.927309,-9.815961,128.805161,-1.262911,0.855265,58.058704,61.723881,-40.414249,-9.855412,116.890854,33.227428,0.124043,-120.343521,184.134171,-49.772934,0.958121,-145.653366,172.936386,-0.040852,0.951593,-90.237991,240.078476,-19.516632,0.970259,-126.083656,196.621735,-16.129158,0.964914,-126.351685,207.555984,15.688240,0.952165,-9.848054,116.888252,33.230103,0.000000,121.488220,176.292450,133.473282,191.422562,146.611877,53.280556,155.209396,131.451187,0.004601,13.556476,170.737717,127.147736,68.536552,167.061874,139.329498,-31.840723,150.698410,65.141914,-9.669308,129.347015,-1.424950,,,,-120.338737,183.974136,-49.754997,-145.669678,173.119370,-0.105668,-90.301552,240.166489,-19.469009,-126.110596,196.604477,-16.282049,-126.249702,207.462158,15.840431,,,
4,0.066667,-1.749303,-4.165483,-1.944884,72.670692,153.173920,73.846832,0.075350,121.463768,175.937302,133.445328,0.909638,191.437302,146.520935,53.298222,0.975396,155.293671,131.931030,-0.000097,0.878438,13.557084,171.171799,126.982346,0.884887,68.558670,166.870621,139.388092,0.948385,-31.797604,150.981476,65.078316,0.926911,-9.818092,128.804337,-1.264378,0.853934,57.970821,61.716854,-40.361824,-9.863965,116.876846,33.220547,0.122911,-120.324570,184.045822,-49.876560,0.959722,-145.654526,172.881073,-0.147291,0.951297,-90.239151,240.015961,-19.647982,0.970364,-126.080841,196.557159,-16.244371,0.960949,-126.364021,207.514557,15.564934,0.948543,-9.856607,116.874245,33.223228,0.000000,121.484238,176.298050,133.470139,191.420731,146.613586,53.273899,155.207550,131.455566,-0.001343,13.554711,170.741684,127.147049,68.532249,167.062363,139.321609,-31.832230,150.705841,65.140831,-9.672386,129.340469,-1.424380,,,,-120.313805,183.901047,-49.880970,-145.666306,173.062332,-0.196742,-90.302773,240.091812,-19.602833,-126.105728,196.526031,-16.396254,-126.274437,207.433380,15.725421,,,
5,0.083333,-1.751376,-4.166560,-1.948544,72.670761,153.176453,73.847160,0.077140,121.464035,175.938629,133.445938,0.909453,191.437393,146.515320,53.301224,0.975699,155.293930,131.926025,0.002638,0.879199,13.557188,171.179749,126.980873,0.884854,68.558243,166.875488,139.387894,0.948839,-31.797483,150.990326,65.076546,0.928815,-9.818003,128.809708,-1.264982,0.855461,57.844250,61.723724,-40.304115,-9.849288,116.921722,33.261971,0.112692,-120.305389,183.941513,-49.961456,0.963688,-145.648331,172.833496,-0.226084,0.952934,-90.250145,239.962219,-19.796661,0.972796,-126.077560,196.495255,-16.347788,0.960744,-126.375465,207.494568,15.446890,0.949768,-9.841930,116.919128,33.264656,0.000000,121.487587,176.293930,133.468414,191.421555,146.610901,53.275524,155.211151,131.451141,0.001652,13.555873,170.764587,127.160965,68.530983,167.061829,139.320206,-31.842068,150.711548,65.134735,-9.669781,129.341400,-1.431372,,,,-120.308548,183.798416,-49.965092,-145.668976,173.004028,-0.273119,-90.316750,240.041504,-19.734798,-126.083733,196.449509,-16.495136,-126.278847,207.433548,15.583003,,,
