Format Version,1.23,Take Name,Specs_ear2ear_17_9_2022,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-17 11.03.08.357 AM,Total Frames in Take,439,Total Exported Frames,439,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Specs,Specs,Specs,Specs,Specs,Specs,Specs,"Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker9","Specs:Marker9","Specs:Marker9","Specs:Marker9",Specs:Marker1,Specs:Marker1,Specs:Marker1,Specs:Marker2,Specs:Marker2,Specs:Marker2,Specs:Marker3,Specs:Marker3,Specs:Marker3,Specs:Marker4,Specs:Marker4,Specs:Marker4,Specs:Marker5,Specs:Marker5,Specs:Marker5,Specs:Marker6,Specs:Marker6,Specs:Marker6,Specs:Marker7,Specs:Marker7,Specs:Marker7,Specs:Marker8,Specs:Marker8,Specs:Marker8,Specs:Marker9,Specs:Marker9,Specs:Marker9,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5,Wand:Marker6,Wand:Marker6,Wand:Marker6
,ID,"7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","C4600","C4600","C4600","C45B0","C45B0","C45B0","C45E0","C45E0","C45E0","C3E30","C3E30","C3E30","C4580","C4580","C4580","C3E70","C3E70","C3E70","C45F0","C45F0","C45F0","C3EA0","C3EA0","C3EA0","C45D0","C45D0","C45D0","C4710","C4710","C4710","C4640","C4640","C4640","C4630","C4630","C4630","C4670","C4670","C4670","C46C0","C46C0","C46C0","C46F0","C46F0","C46F0","C46B0","C46B0","C46B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,54.681873,55.196545,108.886566,15.417084,118.469429,67.086884,0.485444,-111.554306,205.035049,65.377975,0.910476,-105.134621,189.302078,11.059191,0.882764,-138.730057,141.455322,78.440712,0.911607,-118.700966,178.845291,41.215622,0.833479,-122.181816,151.681900,21.670446,0.000000,15.423407,118.464783,67.089424,0.000000,-0.370625,-0.348223,0.083646,94.447876,180.319305,124.424339,0.083422,178.971405,139.062256,38.352802,0.921288,90.909050,184.434006,173.291351,0.987505,8.264043,186.094727,175.396469,0.968942,177.427399,180.601212,172.292007,0.936054,30.796967,220.083389,166.643600,0.950216,208.392380,159.213928,91.135521,0.966501,10.779574,145.794693,42.933083,0.941401,156.046143,238.993439,157.852280,0.957896,-11.556059,168.596130,101.921898,0.980016,178.944244,138.777908,38.485245,90.904991,184.437012,173.341080,8.241935,185.980865,175.440979,177.385971,180.646973,172.043793,30.731905,220.066772,166.831070,208.500656,159.266144,91.076317,10.908658,145.976166,42.859985,155.904633,239.084274,157.842789,-11.492142,168.637665,101.897827,,,,-111.406036,205.024628,65.052185,-105.051338,189.059082,11.451528,-138.700226,141.105362,78.481392,-118.962105,179.448624,41.108551,,,,,,
1,0.016667,54.621845,55.171513,108.985558,15.431777,118.521263,67.193199,0.490603,-111.556290,205.060303,65.382141,0.910476,-105.075790,189.348862,11.064343,0.882764,-138.732208,141.469925,78.392548,0.911607,-118.671791,178.877975,41.202538,0.833479,-122.126129,151.721115,21.643631,0.000000,15.438099,118.516617,67.195740,0.000000,-0.371498,-0.349312,0.084331,94.442688,180.319153,124.419128,0.083755,178.968353,139.061798,38.349815,0.921288,90.902885,184.434555,173.286026,0.987505,8.257799,186.094315,175.389557,0.968942,177.421295,180.602768,172.288376,0.936054,30.790493,220.083115,166.636581,0.950216,208.388092,159.214615,91.132790,0.966501,10.776334,145.792282,42.926796,0.941401,156.039612,238.994522,157.847351,0.957896,-11.560694,168.594330,101.914871,0.980016,178.940414,138.778152,38.481068,90.899574,184.440903,173.337799,8.238420,185.980576,175.434372,177.379578,180.646683,172.039459,30.719448,220.063843,166.819931,208.498016,159.266800,91.072243,10.906654,145.969147,42.851357,155.897018,239.083923,157.840317,-11.494999,168.642380,101.895729,,,,-111.400444,205.042160,65.032883,-104.978783,189.130966,11.475161,-138.701797,141.118454,78.448692,-118.954903,179.465485,41.084946,,,,,,
2,0.033333,54.616596,55.156384,109.013618,15.408680,118.486595,67.187462,0.494501,-111.574066,205.032974,65.354858,0.904280,-105.073723,189.338028,11.034668,0.881240,-138.758331,141.440018,78.335190,0.910694,-118.681732,178.858521,41.164410,0.834329,-122.130096,151.707916,21.595776,0.000000,15.415000,118.481949,67.190002,0.000000,-0.372137,-0.349266,0.086415,94.438400,180.317581,124.420471,0.082985,178.965500,139.062317,38.351536,0.921553,90.898506,184.433411,173.287323,0.986931,8.253358,186.090179,175.390930,0.969056,177.417068,180.604767,172.289627,0.935957,30.784807,220.079727,166.637558,0.950608,208.384537,159.216827,91.134247,0.966022,10.773219,145.786728,42.928619,0.941927,156.033234,238.995575,157.847961,0.957888,-11.564583,168.588669,101.916451,0.979096,178.937424,138.781479,38.481983,90.894646,184.440140,173.338776,8.230764,185.978317,175.437744,177.375900,180.647552,172.043594,30.714901,220.056610,166.822037,208.492508,159.269348,91.073776,10.904508,145.956711,42.848988,155.893112,239.085037,157.838394,-11.498065,168.643036,101.899025,,,,-111.416283,205.023361,65.007721,-104.980560,189.113510,11.444449,-138.731186,141.080673,78.389488,-118.959801,179.451904,41.047478,,,,,,
3,0.050000,54.601234,55.154709,109.056183,15.400432,118.466263,67.168327,0.491930,-111.600883,204.985077,65.319214,0.904641,-105.077324,189.310135,10.996003,0.880887,-138.775711,141.381653,78.267921,0.908892,-118.693954,178.817322,41.117249,0.833586,-122.129150,151.672638,21.538071,0.000000,15.406752,118.461617,67.170876,0.000000,-0.372096,-0.349517,0.087196,94.433800,180.319839,124.419540,0.083146,178.961807,139.065796,38.350948,0.922268,90.893631,184.435593,173.286377,0.986992,8.248456,186.091248,175.389618,0.969162,177.412247,180.608139,172.289047,0.936726,30.779488,220.081070,166.636383,0.950343,208.380356,159.220673,91.133789,0.966392,10.769442,145.787903,42.927319,0.942734,156.027679,238.998672,157.847321,0.958373,-11.568904,168.589508,101.915062,0.978084,178.936203,138.783081,38.482624,90.891495,184.442276,173.341705,8.225479,185.976868,175.436859,177.370590,180.652084,172.042068,30.709396,220.060654,166.819168,208.487778,159.272781,91.072258,10.898147,145.963959,42.849350,155.885773,239.087509,157.836273,-11.500736,168.639374,101.895561,,,,-111.442017,204.976578,64.972092,-104.982628,189.088806,11.406451,-138.747833,141.024063,78.322601,-118.975426,179.404694,40.999203,,,,,,
4,0.066667,54.557125,55.165897,109.116798,15.398674,118.466187,67.165276,0.491428,-111.645973,204.920486,65.276474,0.905492,-105.093849,189.254211,10.954205,0.880235,-138.793320,141.301956,78.208664,0.909699,-118.716560,178.751495,41.069263,0.833124,-122.130524,151.606995,21.486122,0.000000,15.404996,118.461533,67.167824,0.000000,-0.373351,-0.349147,0.088530,94.431305,180.317535,124.421783,0.084070,178.959702,139.063568,38.353539,0.922152,90.891357,184.434280,173.288544,0.986567,8.246168,186.088058,175.392303,0.968675,177.410065,180.608826,172.290741,0.936263,30.776344,220.078217,166.638168,0.950523,208.378143,159.220276,91.135757,0.966568,10.767214,145.781860,42.930870,0.942099,156.024033,238.998520,157.847855,0.958156,-11.571273,168.584229,101.918266,0.978484,178.932129,138.782471,38.484650,90.888641,184.441666,173.341690,8.224200,185.974518,175.440552,177.366394,180.649933,172.042953,30.706442,220.059280,166.822342,208.484787,159.272522,91.074272,10.900449,145.954208,42.852222,155.883072,239.088242,157.838181,-11.504426,168.634949,101.899139,,,,-111.486740,204.912704,64.933701,-104.998581,189.026917,11.365011,-138.762161,140.945755,78.259872,-119.002304,179.342819,40.949890,,,,,,
5,0.083333,54.520374,55.177223,109.162827,15.395112,118.451912,67.157906,0.480647,-111.685951,204.851944,65.237770,0.905270,-105.113060,189.189484,10.916923,0.881544,-138.809479,141.221588,78.161743,0.911087,-118.739075,178.680374,41.028244,0.835176,-122.136360,151.534790,21.443726,0.000000,15.401435,118.447258,67.160446,0.000000,-0.371717,-0.348877,0.087422,94.433830,180.317886,124.422806,0.083069,178.961044,139.064728,38.352989,0.922411,90.894196,184.433304,173.289703,0.986596,8.249037,186.088623,175.393890,0.968786,177.412827,180.606201,172.291382,0.935869,30.779823,220.078598,166.640610,0.950217,208.380096,159.219376,91.135635,0.967050,10.768682,145.786163,42.931290,0.942414,156.027847,238.996735,157.850281,0.958430,-11.569098,168.587280,101.919426,0.978923,178.936188,138.785172,38.485458,90.893478,184.443375,173.342361,8.227326,185.974854,175.440521,177.369659,180.648529,172.042084,30.709787,220.057190,166.825790,208.486984,159.269699,91.077217,10.896628,145.960938,42.852917,155.887619,239.085373,157.839127,-11.503168,168.636002,101.899727,,,,-111.524666,204.846252,64.894936,-105.012444,188.967667,11.323348,-138.774719,140.870834,78.209290,-119.035660,179.258621,40.917122,,,,,,
