Format Version,1.23,Take Name,Take 2021-09-17 10.58.28 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-17 10.58.28.606 AM,Total Frames in Take,552,Total Exported Frames,552,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5,Wand:Marker6,Wand:Marker6,Wand:Marker6
,ID,"7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","C3BC0","C3BC0","C3BC0","C3B10","C3B10","C3B10","C3AB0","C3AB0","C3AB0","C3B80","C3B80","C3B80","C3970","C3970","C3970","C3B60","C3B60","C3B60","C3B40","C3B40","C3B40","C3B90","C3B90","C3B90"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,146.506088,10.493300,-153.337204,77.923347,198.694824,196.767395,0.096053,5.911358,289.567535,297.636993,0.968530,54.466793,275.868256,323.980316,0.979925,42.006325,336.935974,260.154724,0.961979,40.921150,298.527374,301.488525,0.943830,73.817200,305.455048,300.133575,0.987187,77.925537,198.690964,196.760437,0.000000,,,,,,,5.868642,289.523041,297.746704,54.461926,275.943298,324.008453,42.090916,337.055878,260.114807,40.850498,298.338318,301.389740,73.850922,305.493652,300.134064,,,
1,0.016667,146.491882,10.456631,-153.362686,77.962456,198.682190,196.788040,0.098642,6.027647,289.587250,297.683502,0.968530,54.603622,275.897186,323.993683,0.979925,42.093014,336.943756,260.157745,0.961979,41.040298,298.548767,301.504974,0.943830,73.935211,305.476318,300.122253,0.987187,77.964638,198.678329,196.781082,0.000000,,,,,,,5.975717,289.538544,297.796600,54.595413,275.975830,324.015045,42.180866,337.066589,260.113586,40.979584,298.354889,301.413208,73.968193,305.517365,300.123840,,,
2,0.033333,146.494186,10.390738,-153.381699,77.947113,198.663147,196.800705,0.096749,6.160237,289.596283,297.776276,0.966587,54.761192,275.889099,324.031342,0.979522,42.200012,336.938965,260.208466,0.960664,41.180485,298.545166,301.557648,0.944272,74.076302,305.460785,300.137329,0.986826,77.949287,198.659286,196.793747,0.000000,,,,,,,6.130344,289.561249,297.890045,54.751862,275.968506,324.051086,42.285614,337.056519,260.167786,41.111000,298.337738,301.462250,74.099396,305.506378,300.140015,,,
3,0.050000,146.538361,10.326478,-153.401016,77.928139,198.680878,196.759857,0.106509,6.285399,289.566742,297.880188,0.969312,54.910980,275.824310,324.071106,0.979413,42.299347,336.923798,260.305695,0.962248,41.312904,298.500946,301.628723,0.940350,74.209480,305.406372,300.176514,0.987197,77.930305,198.677017,196.752884,0.000000,,,,,,,6.256382,289.536102,297.993927,54.913090,275.880127,324.102112,42.381790,337.046722,260.250153,41.222176,298.302124,301.529755,74.244637,305.457031,300.186127,,,
4,0.066667,146.583618,10.266861,-153.431992,77.925255,198.696152,196.747772,0.098625,6.411783,289.521149,298.014221,0.971486,55.065979,275.754272,324.139191,0.978697,42.388237,336.899597,260.430817,0.963737,41.444798,298.448273,301.728302,0.939289,74.340561,305.350403,300.242706,0.985881,77.927414,198.692307,196.740799,0.000000,,,,,,,6.381750,289.488342,298.119232,55.064732,275.829865,324.178528,42.460438,337.019897,260.393951,41.358662,298.251984,301.614166,74.385796,305.383606,300.249115,,,
5,0.083333,146.638718,10.233102,-153.481354,77.994499,198.710083,196.735703,0.106123,6.543346,289.425781,298.144043,0.968672,55.227829,275.656464,324.211182,0.975757,42.465607,336.848389,260.564453,0.960313,41.576477,298.363312,301.831726,0.934585,74.468147,305.279266,300.320160,0.986113,77.996651,198.706238,196.728714,0.000000,,,,,,,6.512910,289.388397,298.259705,55.216244,275.744202,324.250824,42.543697,336.980865,260.525146,41.498760,298.143829,301.712311,74.509789,305.315857,300.323639,,,
