Format Version,1.23,Take Name,shake_circumference_specs_004,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-08 01.57.12.386 PM,Total Frames in Take,650,Total Exported Frames,650,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,"Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6",RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,Unlabeled 1191,Unlabeled 1191,Unlabeled 1191,Unlabeled 1192,Unlabeled 1192,Unlabeled 1192,Wand7:Marker1,Wand7:Marker1,Wand7:Marker1,Wand7:Marker2,Wand7:Marker2,Wand7:Marker2,Wand7:Marker3,Wand7:Marker3,Wand7:Marker3,Wand7:Marker4,Wand7:Marker4,Wand7:Marker4,Wand7:Marker5,Wand7:Marker5,Wand7:Marker5,Wand7:Marker6,Wand7:Marker6,Wand7:Marker6
,ID,"EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","9A02B371106911EC97A319E8FC9C3E91","9A02B371106911EC97A319E8FC9C3E91","9A02B371106911EC97A319E8FC9C3E91","CCAE0","CCAE0","CCAE0","CCB00","CCB00","CCB00","9A02B372106911EC97A319E8FC9C3E91","9A02B372106911EC97A319E8FC9C3E91","9A02B372106911EC97A319E8FC9C3E91","CC600","CC600","CC600","CC910","CC910","CC910","CCA70","CCA70","CCA70","CCA80","CCA80","CCA80","CCA30","CCA30","CCA30","CCA60","CCA60","CCA60","CCAA0","CCAA0","CCAA0","CCA50","CCA50","CCA50"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-109.266342,-4.892933,174.609924,68.694298,187.541473,172.926102,0.215862,74.529160,327.258667,224.188828,0.979660,46.194286,313.648804,253.309570,0.911812,5.634010,321.070557,214.202972,0.985151,55.602566,342.974976,169.219406,0.936152,40.940681,326.330139,221.179123,0.959333,68.673813,187.669464,172.977768,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.996979,160.909897,190.471817,75.241447,72.539970,223.090240,74.471214,327.314819,224.199310,46.320084,313.750610,252.996140,5.614621,321.120697,214.228195,55.655842,342.885620,169.452652,40.838940,326.211182,221.223434,,,
1,0.016667,-109.302170,-4.924488,174.519485,68.746628,187.538895,172.975037,0.217742,74.369537,327.287201,224.176743,0.973608,46.010895,313.662109,253.267227,0.911354,5.493909,321.022552,214.104202,0.982339,55.498249,342.956909,169.174973,0.935965,40.785980,326.322235,221.123749,0.954553,68.725937,187.666901,173.026627,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.006699,160.908844,190.461517,75.240044,72.546127,223.090439,74.286751,327.350739,224.192474,46.156132,313.767731,252.961487,5.476698,321.087524,214.125748,55.554497,342.869598,169.409134,40.684494,326.175323,221.158035,,,
2,0.033333,-109.330956,-4.914737,174.456955,68.688309,187.519699,172.994873,0.216794,74.228012,327.289978,224.145523,0.973608,45.840614,313.671143,253.210846,0.911354,5.364589,321.007507,214.000977,0.982339,55.413158,342.933472,169.116959,0.935965,40.647976,326.317078,221.056549,0.954553,68.667549,187.647720,173.046387,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.014038,160.909851,190.462036,75.237350,72.535439,223.091293,74.136604,327.351349,224.169144,45.991753,313.772278,252.898605,5.346997,321.071991,214.018295,55.466465,342.843201,169.345337,40.552509,326.180267,221.099564,,,
3,0.050000,-109.360306,-4.897534,174.387161,68.608154,187.512955,173.001831,0.210625,74.067612,327.304779,224.102249,0.975432,45.645676,313.694427,253.137802,0.912825,5.217612,321.009979,213.874573,0.982981,55.319420,342.923584,169.043930,0.937501,40.491566,326.326630,220.971878,0.958253,68.587311,187.640976,173.053253,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.011093,160.913132,190.454834,75.234695,72.543678,223.094467,73.994553,327.369202,224.115204,45.778915,313.791992,252.830688,5.194892,321.067688,213.902664,55.377083,342.835419,169.270645,40.396423,326.195129,221.011078,,,
4,0.066667,-109.375046,-4.930132,174.326401,68.613129,187.566666,172.904129,0.204165,73.907272,327.371765,223.985641,0.975432,45.473965,313.741028,253.000473,0.912825,5.071163,321.014160,213.703384,0.982981,55.189732,342.964783,168.909576,0.937501,40.334648,326.363312,220.828308,0.958253,68.592125,187.694702,172.955521,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.008514,160.918365,190.451385,75.231453,72.545380,223.090408,73.852676,327.434296,223.991180,45.580364,313.844666,252.697525,5.051013,321.063599,213.751617,55.253014,342.888702,169.123703,40.239773,326.223450,220.863419,,,
5,0.083333,-109.433441,-4.971809,174.240738,68.681778,187.599304,172.866470,0.215847,73.751434,327.455933,223.829514,0.975492,45.300484,313.817413,252.823410,0.906462,4.934907,321.007843,213.472900,0.982202,55.079613,342.977814,168.717880,0.938775,40.183723,326.404999,220.634079,0.956422,68.660568,187.727341,172.917709,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.003311,160.920242,190.447388,75.200844,72.541161,223.097824,73.684578,327.522919,223.855118,45.438416,313.911835,252.488678,4.909095,321.063873,213.508438,55.142651,342.885223,168.935654,40.075382,326.280334,220.689804,,,
6,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.995071,160.924850,190.437393,75.202164,72.546791,223.094833,73.531639,327.600403,223.642029,45.253860,314.032867,252.287750,4.782914,321.151672,213.199066,55.072258,342.867218,168.686966,39.945049,326.356323,220.445923,,,
