Format Version,1.23,Take Name,shake_ear2ear_specs_003,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-08 01.56.47.729 PM,Total Frames in Take,422,Total Exported Frames,422,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,"Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6",RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,Wand7:Marker1,Wand7:Marker1,Wand7:Marker1,Wand7:Marker2,Wand7:Marker2,Wand7:Marker2,Wand7:Marker3,Wand7:Marker3,Wand7:Marker3,Wand7:Marker4,Wand7:Marker4,Wand7:Marker4,Wand7:Marker5,Wand7:Marker5,Wand7:Marker5,Wand7:Marker6,Wand7:Marker6,Wand7:Marker6
,ID,"EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","CC910","CC910","CC910","CC970","CC970","CC970","CC930","CC930","CC930","CC600","CC600","CC600","CCA00","CCA00","CCA00","CC9E0","CC9E0","CC9E0","CC9A0","CC9A0","CC9A0","CC9B0","CC9B0","CC9B0","CC990","CC990","CC990","CCA20","CCA20","CCA20"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-95.246025,-1.294742,103.363503,27.930599,109.793022,96.158890,0.160132,-59.079369,225.576996,130.888458,0.971727,-90.090675,203.065857,111.714081,0.915391,-70.431145,222.348358,62.002583,0.978844,-20.801107,258.008850,97.574654,0.958858,-66.920403,225.380707,98.077087,0.970775,27.838348,109.897362,96.167709,0.000000,10.728938,0.929683,3.189507,112.068146,135.652924,193.287384,0.661792,122.107750,72.561798,223.637741,0.762173,36.315002,149.511185,167.824127,0.470106,112.970200,160.950653,198.313202,0.698372,176.879639,159.588074,183.374496,0.956943,122.770180,72.081139,224.122665,35.885288,151.573349,167.588654,112.535919,159.972366,197.756393,176.876968,159.678207,183.521225,-59.187874,225.574661,130.920242,-89.793320,203.216660,111.772179,-70.468140,222.381424,61.934036,-20.889328,257.883148,97.633858,-66.984169,225.324844,97.996597,,,
1,0.016667,-95.220055,-1.294112,103.387932,27.962324,109.798943,96.086639,0.160830,-59.027161,225.571838,130.904419,0.982842,-90.047729,203.070755,111.733185,0.919206,-70.408287,222.374329,62.021927,0.980322,-20.761389,258.016571,97.588776,0.955058,-66.882088,225.390488,98.096298,0.968707,27.870083,109.903282,96.095535,0.000000,10.729974,0.928437,3.184367,112.079323,135.650833,193.286163,0.660876,122.112976,72.558266,223.635529,0.762165,36.327587,149.516495,167.822784,0.472024,112.983688,160.948380,198.312408,0.698031,176.893051,159.580154,183.373978,0.956745,122.776489,72.079285,224.120682,35.896561,151.570374,167.586334,112.550339,159.968048,197.755508,176.889740,159.671127,183.521103,-59.093666,225.576248,130.920792,-89.769661,203.226395,111.787033,-70.439850,222.394302,61.952641,-20.862572,257.891144,97.668472,-66.960800,225.335953,98.015678,,,
2,0.033333,-95.189911,-1.261187,103.349503,27.953730,109.770294,96.069054,0.161022,-59.001610,225.568832,130.886871,0.982842,-90.019859,203.093979,111.681129,0.919206,-70.334747,222.414398,61.994465,0.980322,-20.695269,258.011963,97.616348,0.955058,-66.833008,225.409241,98.072990,0.968707,27.861536,109.874664,96.077942,0.000000,10.728333,0.928334,3.190706,112.079956,135.654373,193.276764,0.663471,122.119759,72.563713,223.628052,0.762165,36.327282,149.511154,167.811325,0.472024,112.981468,160.952164,198.302338,0.698031,176.891327,159.590469,183.365372,0.956745,122.776398,72.080307,224.111420,35.892731,151.587982,167.579773,112.551003,159.976212,197.742874,176.891479,159.681091,183.512390,-59.076393,225.575348,130.901596,-89.742371,203.244003,111.741234,-70.359230,222.445267,61.908794,-20.806578,257.877045,97.686447,-66.899780,225.356705,98.013786,,,
3,0.050000,-95.200119,-1.250596,103.318214,27.969479,109.766754,96.075943,0.160122,-58.989769,225.582794,130.825790,0.983185,-90.000275,203.108917,111.606400,0.922122,-70.284706,222.418427,61.927570,0.976741,-20.660404,258.015228,97.571358,0.951940,-66.802788,225.418808,98.007553,0.974558,27.877295,109.871140,96.084755,0.000000,10.726326,0.928554,3.187733,112.086151,135.653473,193.277420,0.661648,122.123199,72.563385,223.630814,0.763578,36.333828,149.513138,167.812500,0.467207,112.989006,160.951385,198.302078,0.698253,176.898605,159.585953,183.364304,0.956836,122.781120,72.084663,224.112778,35.900242,151.586639,167.579010,112.559166,159.971573,197.743469,176.895950,159.675003,183.512192,-59.053993,225.597168,130.839661,-89.729813,203.253769,111.660339,-70.310753,222.447296,61.843048,-20.773630,257.878510,97.645172,-66.869675,225.367569,97.950470,,,
4,0.066667,-95.229912,-1.254659,103.299500,27.969238,109.759979,96.087242,0.156805,-59.012669,225.585068,130.749954,0.983185,-90.014786,203.098236,111.532219,0.922122,-70.285347,222.384247,61.849785,0.976741,-20.675968,258.004303,97.491112,0.951940,-66.815216,225.403473,97.929321,0.974558,27.877041,109.864372,96.095970,0.000000,10.725645,0.928912,3.186920,112.084137,135.650772,193.278656,0.663535,122.120644,72.560936,223.632736,0.763578,36.331757,149.511093,167.814224,0.467207,112.987358,160.948746,198.302994,0.698253,176.896774,159.582306,183.364685,0.956836,122.779198,72.080902,224.115662,35.899601,151.582962,167.579803,112.553909,159.969498,197.745712,176.896194,159.671967,183.511414,-59.066887,225.605286,130.764145,-89.745880,203.237579,111.597786,-70.306580,222.415436,61.754410,-20.782492,257.869202,97.572830,-66.902122,225.347900,97.863182,,,
5,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.725426,0.930818,3.185915,112.083733,135.655045,193.276657,0.662558,122.120636,72.565231,223.630630,0.762706,36.330605,149.516113,167.814896,0.467588,112.987411,160.953033,198.300873,0.699154,176.896286,159.585815,183.360260,0.957147,122.780701,72.083954,224.113983,35.899021,151.588318,167.580231,112.554237,159.977585,197.744995,176.895096,159.674576,183.506912,-59.112507,225.587524,130.712341,-89.769310,203.212585,111.542908,-70.312447,222.394577,61.706184,-20.816694,257.869812,97.545311,-66.915512,225.321930,97.810287,,,
