Format Version,1.23,Take Name,specs_circumference_003,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-08 01.52.39.417 PM,Total Frames in Take,566,Total Exported Frames,566,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,"Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6",RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Wand7:Marker1,Wand7:Marker1,Wand7:Marker1,Wand7:Marker2,Wand7:Marker2,Wand7:Marker2,Wand7:Marker3,Wand7:Marker3,Wand7:Marker3,Wand7:Marker4,Wand7:Marker4,Wand7:Marker4,Wand7:Marker5,Wand7:Marker5,Wand7:Marker5,Wand7:Marker6,Wand7:Marker6,Wand7:Marker6
,ID,"EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","CC0F0","CC0F0","CC0F0","CC150","CC150","CC150","CC140","CC140","CC140","CB410","CB410","CB410","CC1A0","CC1A0","CC1A0","CC180","CC180","CC180","CC090","CC090","CC090","CC0A0","CC0A0","CC0A0","CC050","CC050","CC050","CC010","CC010","CC010","CC0C0","CC0C0","CC0C0","CC0D0","CC0D0","CC0D0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-35.287212,-0.663680,4.230778,110.167816,185.152252,186.548233,0.189357,77.655556,324.744873,227.040878,0.979735,103.764206,336.011841,194.986130,0.905040,147.421661,327.305206,230.309860,0.975787,100.879921,309.414215,280.449280,0.943058,111.130409,328.722046,228.353500,0.946235,110.162788,185.287796,186.581070,0.000000,11.115739,-5.040860,4.681851,110.192268,135.948074,202.590927,0.865964,117.312332,72.728867,233.495071,0.736456,37.515884,149.544571,169.240540,0.601270,110.396271,161.219193,207.823135,0.599964,175.544556,160.299683,199.804993,0.904199,117.761497,72.064911,234.179657,37.773743,151.108047,169.059326,109.643379,159.967224,207.170303,175.472031,160.672165,199.751709,,,,,,,77.704300,324.803406,227.013153,103.633186,335.948425,195.336975,147.489944,327.373138,230.319824,100.809128,309.497559,280.249481,111.215187,328.576050,228.220291,,,
1,0.016667,-35.190117,-0.940802,4.111454,110.148369,185.163422,186.491241,0.205782,77.275215,324.650574,227.055984,0.981808,103.536293,336.001160,195.155640,0.903685,147.020737,327.281006,230.688812,0.977088,100.240936,309.252960,280.556885,0.939961,110.738503,328.661865,228.547928,0.943404,110.143021,185.298889,186.524292,0.000000,11.130177,-4.966822,4.686280,110.159966,135.974716,202.633759,0.894467,117.339279,72.750259,233.513412,0.736741,37.437447,149.555756,169.377808,0.519298,110.362320,161.244614,207.871918,0.588333,175.500809,160.348236,199.771912,0.918480,117.768166,72.061745,234.184891,37.634296,151.456451,169.163712,109.627319,159.950851,207.166595,175.477402,160.673004,199.754425,,,,,,,77.305954,324.714813,227.040924,103.415497,335.925507,195.513550,147.072983,327.355591,230.698792,100.172623,309.334839,280.341705,110.844666,328.516876,228.410202,,,
2,0.033333,-35.108204,-1.158621,3.933714,110.065170,185.156982,186.530121,0.193750,77.041840,324.595276,227.140900,0.981808,103.462624,335.983948,195.386383,0.903685,146.769623,327.195770,231.118927,0.977088,99.740135,309.110077,280.730591,0.939961,110.498787,328.592529,228.802567,0.943404,110.059708,185.292404,186.563324,0.000000,11.133565,-4.942590,4.683291,110.148819,135.973740,202.653671,0.899608,117.343193,72.747528,233.526260,0.736741,37.411751,149.554657,169.429489,0.519298,110.352631,161.243301,207.893356,0.588333,175.487701,160.349442,199.765610,0.918480,117.766388,72.056999,234.188980,37.571087,151.570847,169.204910,109.622437,159.938782,207.169983,175.485779,160.655487,199.761337,,,,,,,77.091095,324.649384,227.119568,103.337456,335.918457,195.747894,146.838043,327.266663,231.115128,99.662041,309.195404,280.528778,110.584381,328.447662,228.667938,,,
3,0.050000,-35.012775,-1.464660,3.579379,110.039001,185.140778,186.527634,0.196233,76.971741,324.571564,227.128571,0.978843,103.665924,335.964508,195.605057,0.904251,146.670853,327.025421,231.663559,0.977127,99.213814,308.944580,280.868225,0.942423,110.422340,328.498871,229.062469,0.943766,110.033546,185.276154,186.561066,0.000000,11.050130,-4.915386,4.820614,110.134712,135.896088,202.663498,0.919972,117.483139,72.738983,233.641068,0.772289,37.364662,149.244629,169.417404,0.354186,110.277023,161.174759,207.861176,0.624637,175.414047,160.425964,199.734360,0.936014,117.761848,72.067604,234.189896,37.582203,151.815491,169.288589,109.651581,159.994400,207.175674,175.475342,160.674271,199.743835,,,,,,,77.018143,324.636627,227.100815,103.537155,335.898315,195.959641,146.725403,327.097473,231.677765,99.155708,309.030975,280.662781,110.508286,328.341370,228.926758,,,
4,0.066667,-34.986523,-1.785507,3.250171,110.017052,185.105118,186.593124,0.198786,76.838661,324.560181,227.019592,0.978843,103.797432,335.932617,195.714615,0.904251,146.503433,326.907043,232.105286,0.977127,98.633171,308.866913,280.923035,0.942423,110.278801,328.436279,229.219528,0.943766,110.011536,185.240479,186.626602,0.000000,10.735164,-5.123010,5.326254,110.098068,135.460617,202.556320,0.944490,117.784645,72.558838,233.968307,0.772289,37.399776,148.021194,168.849365,0.354186,110.012619,160.771606,207.595566,0.624637,175.195267,160.490845,199.812103,0.936014,117.756851,72.056259,234.192291,37.365421,152.260727,169.406967,109.627739,159.961609,207.187012,175.473831,160.649826,199.762924,,,,,,,76.879501,324.627594,226.999832,103.663185,335.852997,196.069504,146.562424,326.979248,232.121262,98.571014,308.945465,280.714783,110.375488,328.297699,229.076584,,,
5,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.743454,72.050797,234.202866,37.570850,151.754471,169.295288,109.593620,159.947998,207.189011,175.445801,160.674194,199.759720,,,,,,,76.340904,324.461975,227.020584,103.056427,335.827118,196.093979,146.016129,327.083618,232.114853,98.077454,308.890167,280.709717,109.814041,328.250122,229.110611,,,
6,0.100000,-34.981789,-1.949395,3.993607,110.001244,185.066467,186.630539,0.199910,75.321030,324.119080,227.182404,0.979674,101.978584,335.809692,195.736969,0.903073,144.976746,327.322052,231.912415,0.976348,97.580444,308.714355,280.978973,0.942230,108.721870,328.405914,229.210754,0.944670,109.994232,185.201767,186.663986,0.000000,11.077234,-5.010858,4.745956,110.222038,135.871445,202.670456,0.942344,117.426865,72.684601,233.621124,0.862266,37.519508,149.355423,169.331406,0.000001,110.397423,161.146820,207.883163,0.753632,175.544388,160.298935,199.846176,0.918879,117.754211,72.039497,234.218399,38.013832,151.150940,169.225983,109.601097,159.927307,207.214157,175.469879,160.639755,199.790161,,,,,,,75.361229,324.179626,227.158783,101.843399,335.732544,196.093613,145.037827,327.391083,231.922958,97.512741,308.795837,280.769073,108.823471,328.272034,229.076920,,,
7,0.116667,-34.919231,-2.336837,4.007776,110.000999,185.068771,186.661163,0.203110,74.535408,323.934601,227.174057,0.979057,101.314438,335.768036,195.885651,0.899841,144.150940,327.416077,232.283798,0.976164,96.566727,308.561798,281.073578,0.939068,107.907051,328.355164,229.387436,0.946881,109.993256,185.203995,186.694733,0.000000,10.398055,-5.566002,5.865128,110.108383,134.795776,202.240280,0.513442,117.988747,72.168617,234.149033,0.931245,37.632988,146.560638,167.774734,0.000000,109.779541,160.138626,207.106384,0.923603,175.032272,160.315201,199.930954,0.857276,117.750008,72.048164,234.213333,,,,109.585075,159.920898,207.196747,175.465454,160.653351,199.776291,,,,,,,74.590340,323.994843,227.154785,101.182808,335.688965,196.255692,144.213516,327.487976,232.285889,96.494514,308.646759,280.856873,107.993408,328.216919,229.251175,,,
