Format Version,1.23,Take Name,specs_circumference_004,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-08 01.53.26.619 PM,Total Frames in Take,579,Total Exported Frames,579,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,"Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6",RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081,Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Wand7:Marker1,Wand7:Marker1,Wand7:Marker1,Wand7:Marker2,Wand7:Marker2,Wand7:Marker2,Wand7:Marker3,Wand7:Marker3,Wand7:Marker3,Wand7:Marker4,Wand7:Marker4,Wand7:Marker4,Wand7:Marker5,Wand7:Marker5,Wand7:Marker5
,ID,"EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","CC0F0","CC0F0","CC0F0","CC4F0","CC4F0","CC4F0","CC4E0","CC4E0","CC4E0","CC180","CC180","CC180","CC510","CC510","CC510","CC500","CC500","CC500","CC520","CC520","CC520","CC530","CC530","CC530","CC480","CC480","CC480","CC4A0","CC4A0","CC4A0","CC450","CC450","CC450","CC460","CC460","CC460","CC470","CC470","CC470"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-32.131897,0.958792,10.176612,107.991516,185.831024,181.695190,0.296519,69.500183,320.381775,232.659225,0.913094,92.032166,335.177704,199.350021,0.900968,138.959396,327.833130,230.550003,0.964957,98.063408,304.008575,283.086609,0.926214,102.619034,326.708069,231.551987,0.936544,107.979988,185.963928,181.736130,0.000000,10.164503,-3.499864,5.397007,108.979118,134.543213,197.158890,0.637792,117.937622,72.012070,228.971313,0.902760,35.298267,146.309753,165.352478,0.000000,108.868591,159.902954,201.946152,0.912271,173.812027,159.948044,192.365631,0.816507,117.625458,71.808640,229.082947,,,,108.647125,159.655136,202.058746,174.345688,160.399338,192.141418,,,,,,,,,,,,,69.791214,320.560669,232.723557,91.890869,335.003204,199.676361,138.944214,327.970825,230.571259,97.896355,304.050171,282.846863,102.651573,326.524353,231.379913
1,0.016667,-32.181137,0.994626,10.227168,108.055420,185.878677,181.674332,0.301453,69.559258,320.456482,232.563187,0.913337,92.051819,335.233582,199.219025,0.899630,139.013214,327.934784,230.378281,0.963553,98.179611,304.137665,282.975800,0.927109,102.674355,326.795563,231.417526,0.935625,108.043877,186.011612,181.715179,0.000000,10.174691,-3.496602,5.394630,108.978760,134.562485,197.146561,0.637777,117.937355,72.025330,228.947144,0.903673,35.296261,146.337021,165.346954,0.000000,108.869316,159.921356,201.938400,0.911520,173.812119,159.966187,192.353790,0.817161,117.624466,71.828903,229.056595,,,,108.651917,159.666504,202.052628,174.342407,160.417450,192.130096,,,,,,,,,,,,,69.845100,320.642853,232.624237,91.921013,335.052765,199.552765,138.987686,328.077240,230.396088,98.016426,304.175812,282.737183,102.708115,326.608948,231.243347
2,0.033333,-32.208500,0.860311,10.343836,108.529427,185.886841,181.597107,0.212019,69.587738,320.372162,232.391327,0.913337,92.066277,335.201233,199.060806,0.899630,139.021103,328.055847,230.265488,0.963553,98.211098,304.160858,282.836884,0.927109,102.684868,326.809113,231.272598,0.935625,108.517456,186.019760,181.637878,0.000000,10.181211,-3.490114,5.393956,108.979393,134.563980,197.141785,0.632053,117.942131,72.023270,228.934189,0.903673,35.293171,146.341553,165.351883,0.000000,108.870277,159.922333,201.936539,0.911520,173.811996,159.968796,192.344543,0.817161,117.630669,71.817986,229.046280,,,,108.653549,159.676971,202.047592,174.340195,160.419403,192.121384,,,,,,,,,,,,,69.633698,320.406830,232.402039,91.992027,335.123840,199.431320,139.070648,328.126343,230.258759,98.095985,304.269196,282.615448,102.778778,326.673035,231.119644
3,0.050000,-32.257118,1.054115,10.196221,108.030418,185.962997,181.562515,0.299321,69.700287,320.647491,232.294205,0.914226,92.188049,335.357239,198.917068,0.902212,139.160477,328.052643,230.058350,0.964089,98.333946,304.367096,282.711670,0.922367,102.821098,326.951538,231.120544,0.936373,108.019035,186.095993,181.603180,0.000000,10.180231,-3.488852,5.393164,108.985741,134.597672,197.125885,0.630396,117.948639,72.057388,228.919083,0.912223,35.298870,146.375427,165.337555,0.000000,108.876984,159.956100,201.920227,0.907968,173.818466,160.001785,192.326675,0.823325,117.650208,71.898750,229.014236,,,,108.654289,159.688278,202.039398,174.339615,160.428238,192.112289,,,,,,,,,,,,,69.980232,320.823395,232.385834,92.066246,335.176056,199.241623,139.146515,328.193970,230.079971,98.163033,304.407135,282.455536,102.847824,326.775391,230.938782
4,0.066667,-32.341789,1.061918,10.184716,108.071472,186.000885,181.502090,0.300511,69.774406,320.769653,232.034485,0.914226,92.265465,335.424530,198.635422,0.902212,139.236359,328.154663,229.787125,0.964089,98.404518,304.557068,282.475830,0.922367,102.896736,327.063965,230.851242,0.936373,108.060120,186.133957,181.542557,0.000000,10.190655,-3.479042,5.393429,108.989624,134.606003,197.116486,0.627277,117.960030,72.060257,228.896820,0.912223,35.297012,146.386963,165.342651,0.000000,108.880791,159.963547,201.915436,0.907968,173.820694,160.013245,192.311020,0.823325,117.663101,71.898010,228.992935,,,,108.657555,159.700760,202.033081,174.340851,160.438232,192.097275,,,,,,,,,,,,,70.039810,320.960663,232.104630,92.147987,335.233673,198.978378,139.219208,328.305145,229.801376,98.240860,304.592682,282.226471,102.929626,326.877899,230.673187
5,0.083333,-32.458481,1.099908,10.138375,107.956291,186.030655,181.471298,0.287410,69.805580,320.942535,231.731857,0.919808,92.307571,335.505493,198.299973,0.895907,139.274872,328.250763,229.460648,0.957005,98.425285,304.803741,282.202728,0.924964,102.934273,327.199982,230.531540,0.930159,107.945084,186.163818,181.511505,0.000000,10.210694,-3.478069,5.390776,108.989258,134.630203,197.085648,0.628280,117.957802,72.072876,228.843719,0.914675,35.296371,146.425507,165.317825,0.000000,108.881622,159.986069,201.893570,0.906866,173.821274,160.036392,192.287521,0.825155,117.663567,71.925674,228.934525,,,,108.657570,159.713989,202.014206,174.339554,160.455673,192.076050,,,,,,,,,,,,,70.030823,321.156158,231.812607,92.198959,335.295868,198.642944,139.267685,328.421417,229.480774,98.266106,304.827118,281.949341,102.984047,327.001801,230.341049
