Format Version,1.23,Take Name,shake_circum2_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-09 01.46.40.182 PM,Total Frames in Take,572,Total Exported Frames,572,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,"Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6",RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,Unlabeled 1283,Unlabeled 1283,Unlabeled 1283,Unlabeled 1284,Unlabeled 1284,Unlabeled 1284,Unlabeled 1290,Unlabeled 1290,Unlabeled 1290,Wand7:Marker1,Wand7:Marker1,Wand7:Marker1,Wand7:Marker2,Wand7:Marker2,Wand7:Marker2,Wand7:Marker3,Wand7:Marker3,Wand7:Marker3,Wand7:Marker4,Wand7:Marker4,Wand7:Marker4,Wand7:Marker5,Wand7:Marker5,Wand7:Marker5,Wand7:Marker6,Wand7:Marker6,Wand7:Marker6
,ID,"EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","4A16777F113111EC97A319E8FC9C3E91","4A16777F113111EC97A319E8FC9C3E91","4A16777F113111EC97A319E8FC9C3E91","CD110","CD110","CD110","CD120","CD120","CD120","4A167780113111EC97A319E8FC9C3E91","4A167780113111EC97A319E8FC9C3E91","4A167780113111EC97A319E8FC9C3E91","CCCB0","CCCB0","CCCB0","CCF00","CCF00","CCF00","CD140","CD140","CD140","CD0D0","CD0D0","CD0D0","CD090","CD090","CD090","CD080","CD080","CD080","CD0B0","CD0B0","CD0B0","CD100","CD100","CD100","CD0C0","CD0C0","CD0C0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-28.366123,0.460459,11.698254,57.809532,185.783096,173.765686,0.210545,16.030342,315.572693,233.698792,0.978983,37.927155,333.145844,201.328674,0.909961,85.246162,325.053925,231.742111,0.985344,45.367310,296.702850,282.791840,0.931547,48.957275,322.866455,232.847763,0.967403,57.794682,185.912659,173.815384,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.242775,159.577164,180.163651,69.513298,71.836845,220.814972,,,,16.097103,315.616547,233.724945,37.861023,332.982117,201.642563,85.279106,325.102417,231.742111,45.255569,296.784393,282.555573,49.035442,322.856171,232.743912,,,
1,0.016667,-28.212784,0.395794,11.699471,57.815754,185.784760,173.768677,0.220519,15.905648,315.390350,234.007721,0.978983,37.824520,333.062225,201.706329,0.909961,85.118103,324.915009,232.144592,0.985344,45.204811,296.405426,283.079010,0.931547,48.829353,322.704620,233.208649,0.967403,57.800785,185.914169,173.818695,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.244637,159.573334,180.171997,69.517220,71.832062,220.821487,,,,15.987089,315.421570,234.010162,37.749195,332.915619,202.025421,85.157349,324.951385,232.137634,45.097908,296.510925,282.828217,48.890831,322.678040,233.144836,,,
2,0.033333,-28.056902,0.330431,11.643653,57.753422,185.773361,173.754700,0.199679,15.796431,315.228516,234.283905,0.983084,37.768261,332.980865,202.062775,0.910372,85.014557,324.735809,232.548035,0.983398,45.017570,296.100983,283.346344,0.932578,48.723602,322.534241,233.552933,0.973634,57.738419,185.902634,173.805054,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.243515,159.576767,180.164124,69.515129,71.836174,220.818741,,,,15.850798,315.267120,234.295456,37.701920,332.815857,202.374054,85.066940,324.776611,232.546570,44.916203,296.185272,283.111084,48.784554,322.535522,233.466873,,,
3,0.050000,-27.958410,0.272632,11.643597,57.806019,185.735016,173.823013,0.212671,15.733819,315.066101,234.537216,0.981818,37.725937,332.884216,202.366226,0.904108,84.948967,324.609039,232.879364,0.984927,44.920307,295.868042,283.592743,0.932343,48.658169,322.388611,233.848160,0.970519,57.790913,185.864197,173.873581,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.248581,159.572342,180.165680,69.519997,71.830940,220.815674,,,,15.800288,315.095398,234.533585,37.655182,332.725616,202.708237,84.998184,324.643311,232.873199,44.815624,295.963287,283.362061,48.717911,322.388306,233.746490,,,
4,0.066667,-27.862850,0.246747,11.664077,57.841789,185.694351,173.874756,0.206890,15.687325,314.901703,234.794998,0.981818,37.677479,332.785065,202.658905,0.904108,84.897804,324.483887,233.169174,0.984927,44.872574,295.637146,283.825165,0.932343,48.607960,322.242706,234.125793,0.970519,57.826599,185.823441,173.925522,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.246841,159.570129,180.165421,69.518143,71.824898,220.810059,,,,15.760608,314.952820,234.801392,37.622562,332.628113,202.963104,84.928848,324.534241,233.158203,44.774982,295.720184,283.602692,48.656162,322.215057,234.048584,,,
5,0.083333,-27.746765,0.265363,11.673201,57.801666,185.712341,173.870575,0.227454,15.670669,314.796356,235.067810,0.977606,37.649395,332.744659,202.960083,0.913330,84.880661,324.381104,233.436371,0.984957,44.873432,295.432220,284.048248,0.935814,48.591141,322.138367,234.401581,0.976219,57.786503,185.841324,173.921616,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.247841,159.563202,180.168304,69.517059,71.817360,220.811234,,,,15.764522,314.854462,235.065308,37.575817,332.567200,203.288879,84.919159,324.424438,233.436935,44.774055,295.520813,283.806061,48.631699,322.125702,234.317017,,,
