Format Version,1.23,Take Name,shake_ear2ear2_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-09 01.46.14.591 PM,Total Frames in Take,673,Total Exported Frames,673,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,Wand7,"Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker1","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker2","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker3","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker4","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker5","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6","Wand7:Marker6",RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,Wand7:Marker1,Wand7:Marker1,Wand7:Marker1,Wand7:Marker2,Wand7:Marker2,Wand7:Marker2,Wand7:Marker3,Wand7:Marker3,Wand7:Marker3,Wand7:Marker4,Wand7:Marker4,Wand7:Marker4,Wand7:Marker5,Wand7:Marker5,Wand7:Marker5,Wand7:Marker6,Wand7:Marker6,Wand7:Marker6
,ID,"EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","EBC0EA95EF7711EB97A319E8FC9C3691","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","42DF9585106811EC97A319E8FC9C3E91","CCF00","CCF00","CCF00","CCEF0","CCEF0","CCEF0","CCF10","CCF10","CCF10","CCCB0","CCCB0","CCCB0","CCF90","CCF90","CCF90","CCFC0","CCFC0","CCFC0","CD020","CD020","CD020","CCFF0","CCFF0","CCFF0","CCFE0","CCFE0","CCFE0","CD050","CD050","CD050"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-28.312279,-81.231720,-18.631882,-18.820763,109.007240,94.212219,0.310322,-130.567108,204.399429,69.801285,0.971943,-105.566185,232.811218,89.896965,0.886567,-124.049500,211.114258,139.061539,0.979465,-163.882248,165.937195,102.013336,0.895402,-128.658752,210.097961,102.997536,0.936704,-18.919790,109.105553,94.213501,0.000000,10.404193,-6.405604,3.744212,53.242603,135.894928,201.292130,0.879411,58.434799,72.887558,233.002396,0.738029,-18.448870,150.598785,166.319321,0.491542,53.859940,161.212646,206.259857,0.654363,119.124565,158.880692,199.586945,0.917382,58.920532,72.244698,233.672363,-18.733274,152.577911,165.946976,53.239281,160.107193,205.708328,119.322289,159.142746,199.624969,-130.553131,204.288147,69.797707,-105.867233,232.473801,89.859535,-123.985489,211.090591,139.107254,-163.634094,166.224564,101.837570,-128.683792,210.282928,103.168617,,,
1,0.016667,-28.291857,-81.236061,-18.648197,-18.874125,108.940216,94.161743,0.301220,-130.618118,204.348236,69.801895,0.971943,-105.618896,232.747101,89.917892,0.886567,-124.106560,211.018860,139.067001,0.979465,-163.936157,165.865524,101.986511,0.895402,-128.712662,210.025574,103.001953,0.936704,-18.973152,109.038521,94.163078,0.000000,10.408741,-6.406142,3.741163,53.240673,135.880417,201.309662,0.880490,58.429489,72.870064,233.014572,0.738029,-18.450022,150.591110,166.338150,0.491542,53.859364,161.197693,206.279556,0.654363,119.123863,158.862793,199.606415,0.917382,58.914654,72.218590,233.691025,-18.729647,152.564102,165.967163,53.237881,160.093307,205.727081,119.322258,159.130234,199.641830,-130.601669,204.223495,69.803719,-105.909531,232.429459,89.867332,-124.048141,210.975021,139.129395,-163.683777,166.163132,101.816376,-128.749069,210.214127,103.158241,,,
2,0.033333,-28.261946,-81.256874,-18.590427,-18.872046,108.960732,94.263748,0.297626,-130.639343,204.322845,69.831024,0.969695,-105.653786,232.738937,89.939713,0.891475,-124.146927,211.028320,139.094559,0.974456,-163.953476,165.845184,102.025658,0.894417,-128.743820,210.016556,103.028847,0.940005,-18.971104,109.059013,94.265015,0.000000,10.410612,-6.405629,3.743179,53.238911,135.873764,201.320099,0.880544,58.430077,72.862701,233.023163,0.735667,-18.452387,150.582886,166.349167,0.492176,53.856705,161.190933,206.290726,0.655063,119.121254,158.858566,199.617340,0.916222,58.914211,72.209892,233.699493,-18.732666,152.560303,165.978516,53.236641,160.088882,205.738708,119.320313,159.125839,199.652695,-130.625076,204.202499,69.828194,-105.945366,232.422119,89.884544,-124.091553,210.987671,139.170197,-163.704147,166.140244,101.854973,-128.771179,210.199249,103.182014,,,
3,0.050000,-28.047443,-81.244797,-18.367626,-18.851608,108.992653,94.275368,0.298709,-130.670456,204.305145,69.885132,0.969481,-105.687584,232.733780,89.979378,0.891692,-124.148682,211.020264,139.144974,0.974863,-163.953415,165.816635,102.099083,0.894055,-128.761917,210.002945,103.081512,0.939489,-18.950706,109.090889,94.276665,0.000000,10.409324,-6.402646,3.746983,53.235977,135.873978,201.326126,0.882994,58.433071,72.864227,233.030884,0.737107,-18.457792,150.576706,166.357574,0.490041,53.852085,161.191330,206.295959,0.653575,119.116547,158.863617,199.620117,0.915911,58.913025,72.214241,233.703918,-18.740788,152.562424,165.986374,53.232533,160.082291,205.742462,119.316978,159.131332,199.656021,-130.657822,204.183762,69.882233,-105.977234,232.416077,89.925980,-124.095169,210.977081,139.218323,-163.701767,166.112793,101.930099,-128.790039,210.189194,103.233513,,,
4,0.066667,-27.919743,-81.241119,-18.260826,-18.862486,108.981819,94.278473,0.304405,-130.707001,204.279083,69.946289,0.969481,-105.726563,232.705475,90.046783,0.891692,-124.173538,210.968872,139.207489,0.974863,-163.975327,165.770782,102.151688,0.894055,-128.793396,209.964462,103.144501,0.939489,-18.961607,109.080032,94.279823,0.000000,10.415349,-6.401828,3.745485,53.233326,135.868118,201.336227,0.883531,58.429565,72.854836,233.034058,0.737107,-18.460758,150.576294,166.370621,0.490041,53.850109,161.184921,206.308777,0.653575,119.114395,158.856430,199.631454,0.915911,58.911068,72.202469,233.708557,-18.743250,152.560165,165.999039,53.228329,160.081146,205.757294,119.316643,159.123764,199.666656,-130.696884,204.159805,69.944122,-106.022072,232.376389,90.004105,-124.118156,210.930481,139.272995,-163.721832,166.065948,101.982315,-128.816818,210.156189,103.293289,,,
5,0.083333,-27.791866,-81.251129,-18.143671,-18.857256,108.985840,94.309067,0.313591,-130.735550,204.248306,69.995918,0.970071,-105.765434,232.679382,90.102631,0.888911,-124.205124,210.925842,139.258591,0.976506,-163.990433,165.721359,102.192902,0.893914,-128.824280,209.927399,103.195351,0.939048,-18.956411,109.084023,94.310448,0.000000,10.416439,-6.401367,3.743649,53.234234,135.868378,201.342575,0.883259,58.429024,72.854202,233.038910,0.736327,-18.459909,150.579468,166.378265,0.490491,53.851845,161.185043,206.315689,0.654577,119.115974,158.854752,199.637421,0.915735,58.912746,72.203842,233.713989,-18.742449,152.553238,166.006470,53.228146,160.077957,205.763306,119.317459,159.122787,199.672852,-130.726303,204.132477,69.987282,-106.074791,232.332260,90.064987,-124.148125,210.893250,139.323868,-163.736664,166.014786,102.019577,-128.834793,210.129486,103.349754,,,
