Format Version,1.23,Take Name,Specs_circumrshake_17_9_2027,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-17 11.05.12.282 AM,Total Frames in Take,660,Total Exported Frames,660,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Specs,Specs,Specs,Specs,Specs,Specs,Specs,"Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker9","Specs:Marker9","Specs:Marker9","Specs:Marker9",Specs:Marker1,Specs:Marker1,Specs:Marker1,Specs:Marker2,Specs:Marker2,Specs:Marker2,Specs:Marker3,Specs:Marker3,Specs:Marker3,Specs:Marker4,Specs:Marker4,Specs:Marker4,Specs:Marker5,Specs:Marker5,Specs:Marker5,Specs:Marker6,Specs:Marker6,Specs:Marker6,Specs:Marker7,Specs:Marker7,Specs:Marker7,Specs:Marker8,Specs:Marker8,Specs:Marker8,Specs:Marker9,Specs:Marker9,Specs:Marker9,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5
,ID,"7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","C4EC0","C4EC0","C4EC0","C5010","C5010","C5010","C4C50","C4C50","C4C50","C3E30","C3E30","C3E30","C4FC0","C4FC0","C4FC0","C3E70","C3E70","C3E70","C4FF0","C4FF0","C4FF0","C3EA0","C3EA0","C3EA0","C4F00","C4F00","C4F00","C4F60","C4F60","C4F60","C4F30","C4F30","C4F30","C4F50","C4F50","C4F50","C4E90","C4E90","C4E90","C4EF0","C4EF0","C4EF0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,94.112167,2.210263,39.534821,92.292282,194.292786,156.862350,0.125620,127.372620,338.367462,197.236893,0.941058,83.881302,344.628021,161.062607,0.940282,80.756348,321.332794,247.119553,0.958337,91.137733,338.813416,194.474213,0.974659,57.826771,334.262665,193.190506,0.960387,92.291763,194.284561,156.862198,0.000000,-0.666974,-1.302578,0.224746,93.195679,180.459610,120.773788,0.235021,179.245453,138.981430,36.336346,0.860229,88.833649,184.818237,169.553024,0.000000,6.161042,186.270325,170.275101,0.944880,175.366226,181.210144,170.012344,0.886923,28.749086,220.272873,161.720474,0.873000,207.732208,159.484619,89.494843,0.962820,10.983929,145.290726,38.084373,0.891506,154.078217,239.469711,154.913971,0.935989,-12.388684,168.338364,96.573654,0.964258,179.429108,138.458145,36.265495,,,,6.053961,186.126053,170.402893,175.278137,181.303986,169.578735,28.396811,220.275711,162.086472,207.875793,159.489594,89.456421,11.319112,145.563660,38.045666,153.896179,239.644333,154.957886,-12.321666,168.456772,96.617538,127.461342,338.347382,197.019379,83.864967,344.705536,161.287979,80.609093,321.410278,247.128769,91.217438,338.815460,194.536819,57.821987,334.125885,193.110672
1,0.016667,94.111549,2.197245,39.542122,92.258812,194.297577,156.857819,0.125744,127.368629,338.364258,197.235443,0.941058,83.882813,344.634827,161.056274,0.940282,80.742836,321.340790,247.113022,0.958337,91.134178,338.818726,194.468735,0.974659,57.822285,334.275787,193.181366,0.960387,92.258293,194.289352,156.857666,0.000000,-0.665489,-1.303335,0.225056,93.197929,180.458572,120.775978,0.234205,179.249039,138.983078,36.338604,0.860229,88.835236,184.815933,169.555267,0.000000,6.162621,186.267532,170.276291,0.944880,175.367813,181.208298,170.015640,0.886923,28.750591,220.270432,161.722824,0.873000,207.734970,159.485046,89.497986,0.962820,10.987475,145.291382,38.084568,0.891506,154.079681,239.468124,154.918472,0.935989,-12.386046,168.337357,96.574142,0.964258,179.436646,138.461716,36.267796,,,,6.052973,186.125000,170.406021,175.279846,181.301514,169.582565,28.399906,220.276443,162.090195,207.878159,159.490082,89.458527,11.319499,145.563751,38.046337,153.897980,239.640396,154.961807,-12.318932,168.452408,96.615242,127.458008,338.348297,197.019852,83.867699,344.705383,161.279633,80.598129,321.414093,247.120850,91.214340,338.819794,194.532913,57.812664,334.146851,193.101517
2,0.033333,94.108215,2.194275,39.554073,92.257637,194.298813,156.856888,0.125525,127.368805,338.365143,197.234451,0.941515,83.890800,344.636810,161.046097,0.941321,80.731689,321.347321,247.103348,0.959402,91.134949,338.821930,194.460297,0.974325,57.823025,334.281097,193.166382,0.962011,92.257118,194.290588,156.856750,0.000000,-0.665170,-1.302644,0.223305,93.200104,180.458679,120.781418,0.234290,179.248962,138.981064,36.342762,0.860357,88.838112,184.815857,169.560791,0.000000,6.165549,186.270004,170.282791,0.944568,175.370575,181.205566,170.020111,0.887088,28.754457,220.272247,161.729279,0.873026,207.736130,159.481827,89.501945,0.962856,10.987579,145.294525,38.090744,0.892212,154.084061,239.466156,154.923584,0.936476,-12.384526,168.340866,96.580742,0.965149,179.432663,138.457474,36.272675,,,,6.057818,186.125305,170.413055,175.282150,181.300888,169.586166,28.403469,220.276520,162.093842,207.879196,159.488419,89.465080,11.320032,145.569092,38.050480,153.902176,239.637329,154.966385,-12.314696,168.456970,96.624405,127.458588,338.349548,197.018982,83.874474,344.707336,161.268051,80.585983,321.420471,247.111053,91.216492,338.823029,194.525009,57.813828,334.152435,193.087372
3,0.050000,94.100029,2.205024,39.562645,92.304306,194.294464,156.864670,0.124740,127.383514,338.372528,197.228180,0.941513,83.910263,344.631561,161.031906,0.941634,80.741280,321.353333,247.091827,0.959197,91.150017,338.822540,194.448090,0.973976,57.839085,334.275696,193.149353,0.962185,92.303787,194.286240,156.864532,0.000000,-0.663321,-1.301803,0.222032,93.203491,180.459335,120.786446,0.234746,179.250214,138.982544,36.345200,0.860179,88.842300,184.815018,169.566025,0.000000,6.169788,186.270981,170.289261,0.944373,175.374695,181.202774,170.023972,0.886747,28.759338,220.273010,161.736526,0.873478,207.738586,159.480942,89.504639,0.963028,10.989003,145.299728,38.095810,0.891739,154.089279,239.464310,154.929672,0.936650,-12.381763,168.344681,96.586884,0.964412,179.433624,138.457932,36.275509,,,,6.062220,186.130280,170.418961,175.288284,181.295593,169.588318,28.405025,220.276566,162.099991,207.882874,159.487091,89.467857,11.321365,145.579910,38.056351,153.906677,239.638016,154.973389,-12.310963,168.453537,96.631516,127.469543,338.352844,197.011459,83.895996,344.707306,161.254364,80.595612,321.428955,247.101944,91.230743,338.825958,194.510941,57.832306,334.140472,193.070541
4,0.066667,94.097984,2.169792,39.567818,92.256500,194.300842,156.863266,0.126461,127.423134,338.358459,197.223724,0.941858,83.955452,344.643280,161.025223,0.941929,80.768082,321.369781,247.085785,0.959298,91.190056,338.830841,194.441940,0.973970,57.876381,334.304565,193.141815,0.962537,92.255981,194.292618,156.863144,0.000000,-0.665354,-1.302203,0.223469,93.206123,180.457199,120.794403,0.235845,179.254440,138.979538,36.355228,0.860193,88.844498,184.814529,169.573792,0.000000,6.171934,186.268448,170.296432,0.944980,175.376984,181.204483,170.032455,0.887162,28.760695,220.270721,161.742630,0.872023,207.741959,159.480576,89.514122,0.963521,10.993063,145.292557,38.104481,0.891247,154.090179,239.464951,154.935898,0.936624,-12.378655,168.339020,96.594582,0.965618,179.441177,138.457458,36.282433,,,,6.061197,186.128387,170.425095,175.293411,181.296967,169.598648,28.406389,220.280518,162.111984,207.882507,159.486328,89.475334,11.329289,145.565567,38.063885,153.907242,239.634827,154.979950,-12.310609,168.450195,96.638435,127.510193,338.342072,197.008682,83.942192,344.710114,161.247299,80.621246,321.439362,247.096054,91.276680,338.840302,194.498932,57.862755,334.175232,193.067383
5,0.083333,94.097862,2.144123,39.582211,92.245628,194.291367,156.877579,0.121006,127.470406,338.332306,197.246796,0.943568,84.013565,344.637573,161.038864,0.941404,80.796570,321.364929,247.098541,0.960590,91.238159,338.821533,194.457108,0.976538,57.922668,334.310760,193.149689,0.959490,92.245110,194.283142,156.877441,0.000000,-0.665698,-1.301063,0.221531,93.203583,180.459930,120.795914,0.237801,179.248856,138.978897,36.355263,0.860275,88.843056,184.817657,169.575363,0.000000,6.170548,186.274399,170.299606,0.944320,175.375427,181.204681,170.032364,0.886923,28.760300,220.275864,161.745193,0.871248,207.738098,159.479233,89.513504,0.962293,10.987714,145.297653,38.107777,0.891632,154.090317,239.465805,154.935928,0.937004,-12.382090,168.345200,96.598206,0.964076,179.434357,138.456848,36.281631,,,,6.059886,186.129166,170.427139,175.289566,181.295349,169.597641,28.403181,220.291016,162.115967,207.883621,159.486984,89.474617,11.326341,145.565125,38.066723,153.907486,239.633713,154.979294,-12.315214,168.463547,96.644798,127.561646,338.304321,197.042221,83.996376,344.712646,161.260239,80.658562,321.440338,247.109436,91.313416,338.839203,194.510330,57.911438,334.170959,193.068527
