Format Version,1.23,Take Name,specs_21_10_2021_circum_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.44.37.668 AM,Total Frames in Take,1025,Total Exported Frames,1025,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Stylus,Stylus,Stylus,Stylus,Stylus,Stylus,Stylus,"Stylus:Marker1","Stylus:Marker1","Stylus:Marker1","Stylus:Marker1","Stylus:Marker2","Stylus:Marker2","Stylus:Marker2","Stylus:Marker2","Stylus:Marker3","Stylus:Marker3","Stylus:Marker3","Stylus:Marker3","Stylus:Marker4","Stylus:Marker4","Stylus:Marker4","Stylus:Marker4","Stylus:Marker5","Stylus:Marker5","Stylus:Marker5","Stylus:Marker5","Stylus:Marker6","Stylus:Marker6","Stylus:Marker6","Stylus:Marker6",specs,specs,specs,specs,specs,specs,specs,"specs:Marker1","specs:Marker1","specs:Marker1","specs:Marker1","specs:Marker2","specs:Marker2","specs:Marker2","specs:Marker2","specs:Marker3","specs:Marker3","specs:Marker3","specs:Marker3","specs:Marker4","specs:Marker4","specs:Marker4","specs:Marker4","specs:Marker5","specs:Marker5","specs:Marker5","specs:Marker5","specs:Marker6","specs:Marker6","specs:Marker6","specs:Marker6","specs:Marker7","specs:Marker7","specs:Marker7","specs:Marker7","specs:Marker8","specs:Marker8","specs:Marker8","specs:Marker8","specs:Marker9","specs:Marker9","specs:Marker9","specs:Marker9",Stylus:Marker1,Stylus:Marker1,Stylus:Marker1,Stylus:Marker2,Stylus:Marker2,Stylus:Marker2,Stylus:Marker3,Stylus:Marker3,Stylus:Marker3,Stylus:Marker4,Stylus:Marker4,Stylus:Marker4,Stylus:Marker5,Stylus:Marker5,Stylus:Marker5,Stylus:Marker6,Stylus:Marker6,Stylus:Marker6,Unlabeled 1195,Unlabeled 1195,Unlabeled 1195,Unlabeled 1198,Unlabeled 1198,Unlabeled 1198,specs:Marker1,specs:Marker1,specs:Marker1,specs:Marker2,specs:Marker2,specs:Marker2,specs:Marker3,specs:Marker3,specs:Marker3,specs:Marker4,specs:Marker4,specs:Marker4,specs:Marker5,specs:Marker5,specs:Marker5,specs:Marker6,specs:Marker6,specs:Marker6,specs:Marker7,specs:Marker7,specs:Marker7,specs:Marker8,specs:Marker8,specs:Marker8,specs:Marker9,specs:Marker9,specs:Marker9
,ID,"4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","9A9D61AC321E11EC97A319E8FC9C4591","CB0D0","CB0D0","CB0D0","CB1C0","CB1C0","CB1C0","CB050","CB050","CB050","CB0B0","CB0B0","CB0B0","CB1D0","CB1D0","CB1D0","CB2A0","CB2A0","CB2A0","CB260","CB260","CB260","CB200","CB200","CB200","CAD40","CAD40","CAD40","CB1B0","CB1B0","CB1B0","CADC0","CADC0","CADC0","CB270","CB270","CB270","315F2136322111EC97A319E8FC9C4591","315F2136322111EC97A319E8FC9C4591","315F2136322111EC97A319E8FC9C4591","CB240","CB240","CB240","CADE0","CADE0","CADE0","CADB0","CADB0","CADB0","CB280","CB280","CB280"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,138.907822,-3.017883,-157.739853,81.823975,195.292664,134.479660,0.105556,80.345367,295.167572,249.027878,0.973054,58.866501,344.870697,178.189728,0.979174,63.621700,314.023804,225.366135,0.932602,95.923866,319.464233,217.553909,0.936141,28.398104,305.985504,228.719025,0.963751,81.792023,195.146988,134.409760,0.000000,-0.663192,3.938599,-0.818146,82.816917,147.844131,107.456284,0.392590,191.218170,129.174225,51.731110,0.804611,152.137344,118.219872,-0.274397,0.361286,170.348175,141.140961,135.461624,0.768701,-13.768732,112.849731,45.968376,0.694574,-25.451109,136.340363,107.906555,0.000000,6.799541,154.622665,177.774246,0.797599,87.094147,149.769302,158.397446,0.866574,148.814621,200.655914,126.001221,0.762894,28.159943,187.824203,164.140381,0.000000,80.306358,295.245819,248.964859,58.788208,344.882019,178.215836,63.643387,314.292450,225.371399,96.042831,319.246307,217.613968,28.374706,305.845276,228.690628,,,,,,,,,,191.204834,129.949020,51.832893,151.986404,120.769501,-0.336901,170.236038,140.249161,135.680939,-13.428064,111.819489,46.529716,,,,6.763349,155.430817,177.742310,86.676361,149.524445,158.173080,149.219986,199.965012,125.493439,,,
1,0.008333,138.829498,-3.028154,-157.741226,81.804558,195.301239,134.460785,0.107507,80.353203,295.332611,248.872726,0.974778,58.868603,344.941071,177.970016,0.978153,63.627838,314.158142,225.187759,0.929144,95.929367,319.584686,217.363281,0.936022,28.403957,306.127991,228.556976,0.963467,81.772583,195.155472,134.391083,0.000000,-0.665570,3.937502,-0.817353,82.815498,147.844376,107.450989,0.390893,191.218079,129.173737,51.728638,0.803700,152.138382,118.216721,-0.277162,0.359723,170.346313,141.143555,135.458282,0.768430,-13.768487,112.846123,45.962673,0.693633,-25.452383,136.339096,107.899681,0.000000,6.796703,154.624680,177.767242,0.797528,87.091728,149.771683,158.392166,0.866973,148.812119,200.657822,125.995041,0.762648,28.156883,187.825974,164.132431,0.000000,80.316742,295.407562,248.815872,58.790302,344.945251,178.008606,63.648491,314.440674,225.178772,96.044945,319.363983,217.421738,28.382500,305.986877,228.525650,,,,,,,,,,191.204819,129.951950,51.832184,151.980896,120.772018,-0.347083,170.233047,140.251343,135.679855,-13.429943,111.811508,46.525463,,,,6.761154,155.433167,177.735306,86.676956,149.526947,158.165878,149.219650,199.966461,125.487793,,,
2,0.016667,138.754059,-3.041063,-157.732559,81.777267,195.315491,134.433228,0.102150,80.360146,295.498718,248.712646,0.974778,58.883587,345.018829,177.745773,0.978153,63.638062,314.297302,225.003922,0.929144,95.940460,319.704987,217.169998,0.936022,28.412304,306.280823,228.386230,0.963467,81.745247,195.169647,134.363724,0.000000,-0.668648,3.939367,-0.816204,82.813889,147.849915,107.450867,0.389731,191.215012,129.178482,51.725929,0.803700,152.133820,118.217972,-0.278033,0.359723,170.345749,141.152298,135.455643,0.768430,-13.771437,112.846550,45.967533,0.693633,-25.453754,136.342545,107.903702,0.000000,6.797269,154.632416,177.769257,0.797528,87.091751,149.779953,158.391800,0.866973,148.810074,200.665619,125.989990,0.762648,28.156343,187.833435,164.132004,0.000000,80.316978,295.577240,248.652863,58.798477,345.020721,177.786896,63.654385,314.557434,225.006470,96.054893,319.490875,217.227203,28.409803,306.154541,228.345306,,,,,,,,,,191.202316,129.956039,51.828541,151.983704,120.773170,-0.345373,170.228165,140.258789,135.674835,-13.434731,111.819298,46.529591,,,,6.762847,155.434433,177.732773,86.683151,149.541016,158.168854,149.210815,199.970047,125.485886,,,
3,0.025000,138.674438,-3.025188,-157.724304,81.821098,195.332306,134.429031,0.099081,80.361862,295.675018,248.567917,0.971444,58.903137,345.094330,177.525421,0.977849,63.645573,314.439178,224.827896,0.937309,95.949951,319.838348,216.996201,0.937396,28.419386,306.424835,228.210724,0.966956,81.789116,195.186356,134.359726,0.000000,-0.662565,3.938069,-0.815725,82.805435,147.852402,107.443344,0.392892,191.207977,129.187851,51.718868,0.805384,152.128052,118.232567,-0.287138,0.363915,170.336731,141.152542,135.449371,0.769371,-13.778194,112.854774,45.954102,0.692616,-25.462107,136.344040,107.892517,0.000000,6.787181,154.626740,177.760757,0.797681,87.082130,149.777054,158.384583,0.866242,148.800766,200.666718,125.989601,0.762750,28.146271,187.829391,164.127518,0.000000,80.308754,295.750580,248.500732,58.817459,345.106598,177.544357,63.661011,314.689240,224.838287,96.072121,319.629639,217.061188,28.420591,306.295441,228.183655,,,,,,,,,,191.196869,129.959091,51.824081,151.976669,120.771614,-0.350050,170.222183,140.263733,135.668289,-13.437469,111.819572,46.523338,,,,6.756299,155.434662,177.725693,86.663841,149.532074,158.158127,149.202667,199.975266,125.478745,,,
4,0.033333,138.599625,-3.031531,-157.718964,81.809273,195.347641,134.417175,0.108119,80.366867,295.840088,248.424454,0.971444,58.913647,345.169312,177.317688,0.977849,63.652740,314.575500,224.660217,0.937309,95.957710,319.959778,216.820770,0.937396,28.425474,306.570618,228.054306,0.966956,81.777267,195.201599,134.348053,0.000000,-0.677378,3.939348,-0.812762,82.805466,147.852203,107.445427,0.388193,191.207703,129.179001,51.723213,0.805384,152.127167,118.208435,-0.279121,0.363915,170.337769,141.163971,135.451157,0.769371,-13.777800,112.833916,45.967304,0.692616,-25.461487,136.338394,107.900009,0.000000,6.788447,154.640564,177.762863,0.797681,87.083229,149.790054,158.386078,0.866242,148.798492,200.674622,125.976700,0.762750,28.145536,187.840836,164.120667,0.000000,80.312325,295.912384,248.374908,58.827374,345.185822,177.341309,63.670254,314.836914,224.634460,96.086006,319.747284,216.887802,28.420515,306.433014,228.038956,,,,,,,,,,191.192963,129.958450,51.821060,151.975174,120.776329,-0.348082,170.217834,140.267746,135.669296,-13.439928,111.817657,46.519821,,,,6.747131,155.434540,177.725250,86.682556,149.553177,158.171951,149.199387,199.983536,125.478325,,,
5,0.041667,138.512848,-3.033384,-157.710037,81.792892,195.353958,134.447510,0.106262,80.355400,296.020050,248.301514,0.978479,58.914593,345.243866,177.118057,0.976382,63.645729,314.721558,224.507462,0.934139,95.952057,320.089447,216.662384,0.937190,28.417103,306.726715,227.910965,0.966872,81.760872,195.207825,134.378616,0.000000,-0.671292,3.939909,-0.812596,82.800644,147.855530,107.441780,0.390218,191.202377,129.188568,51.716534,0.804769,152.121338,118.223442,-0.286564,0.360783,170.333206,141.164566,135.445938,0.772701,-13.783105,112.843544,45.960899,0.694878,-25.466255,136.341400,107.896210,0.000000,6.784320,154.636200,177.760666,0.799772,87.078903,149.787979,158.382599,0.869527,148.793701,200.676163,125.978020,0.763333,28.141174,187.837982,164.121811,0.000000,80.311852,296.082672,248.261597,58.825230,345.254364,177.146851,63.667320,314.982208,224.475876,96.082314,319.884827,216.727829,28.398199,306.597565,227.888199,,,,,,,,,,191.190628,129.962326,51.821434,151.968933,120.774963,-0.350547,170.214417,140.286972,135.651688,-13.443291,111.813873,46.521164,,,,6.747124,155.435501,177.726074,86.670395,149.548645,158.163010,149.196564,199.980118,125.478607,,,
