Format Version,1.23,Take Name,Specs_NZIZ_17_9_2021,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-17 11.02.48.783 AM,Total Frames in Take,380,Total Exported Frames,380,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Wand,Wand,Wand,Wand,Wand,Wand,Wand,"Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker1","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker2","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker3","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker4","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker5","Wand:Marker6","Wand:Marker6","Wand:Marker6","Wand:Marker6",Specs,Specs,Specs,Specs,Specs,Specs,Specs,"Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker9","Specs:Marker9","Specs:Marker9","Specs:Marker9",Specs:Marker1,Specs:Marker1,Specs:Marker1,Specs:Marker2,Specs:Marker2,Specs:Marker2,Specs:Marker3,Specs:Marker3,Specs:Marker3,Specs:Marker4,Specs:Marker4,Specs:Marker4,Specs:Marker5,Specs:Marker5,Specs:Marker5,Specs:Marker6,Specs:Marker6,Specs:Marker6,Specs:Marker7,Specs:Marker7,Specs:Marker7,Specs:Marker8,Specs:Marker8,Specs:Marker8,Specs:Marker9,Specs:Marker9,Specs:Marker9,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Wand:Marker1,Wand:Marker1,Wand:Marker1,Wand:Marker2,Wand:Marker2,Wand:Marker2,Wand:Marker3,Wand:Marker3,Wand:Marker3,Wand:Marker4,Wand:Marker4,Wand:Marker4,Wand:Marker5,Wand:Marker5,Wand:Marker5
,ID,"7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","7E333637145311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","88D62AB3176311EC97A319E8FC9C3E91","C4600","C4600","C4600","C45B0","C45B0","C45B0","C45E0","C45E0","C45E0","C3E30","C3E30","C3E30","C4580","C4580","C4580","C3E70","C3E70","C3E70","C45F0","C45F0","C45F0","C3EA0","C3EA0","C3EA0","C45D0","C45D0","C45D0","C44E0","C44E0","C44E0","BC161142176311EC97A319E8FC9C3E91","BC161142176311EC97A319E8FC9C3E91","BC161142176311EC97A319E8FC9C3E91","C4570","C4570","C4570","C4560","C4560","C4560","C4540","C4540","C4540","C4550","C4550","C4550"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,90.338028,1.222567,33.066860,91.026093,192.621109,161.218674,0.132369,131.741013,338.509094,187.242752,0.000000,84.480644,343.011963,155.850830,0.952574,90.941147,325.699799,243.125015,0.972572,95.432167,339.370850,188.555695,0.959744,62.151833,335.300262,191.353455,0.984293,91.025497,192.612900,161.219162,0.000000,-0.444167,-0.344071,0.177305,94.220512,180.352341,124.194305,0.151796,178.804184,139.122162,38.169003,0.907414,90.679016,184.524460,173.056244,0.903312,8.031577,186.052856,175.166275,0.960882,177.203445,180.831741,172.054520,0.912089,30.508213,220.066940,166.367523,0.945727,208.196594,159.390137,90.923103,0.970663,10.601968,145.585678,42.754883,0.947250,155.725586,239.170242,157.541077,0.965112,-11.766002,168.426865,101.716072,0.964779,178.982269,138.799103,38.136219,90.631462,184.502167,173.439407,7.973374,185.909805,175.141144,177.186981,180.925049,171.715866,30.338249,220.075424,166.502319,208.279327,159.411423,90.842644,10.738828,145.738220,42.704670,155.608002,239.244400,157.528885,-11.753889,168.565567,101.737617,131.795364,338.194336,186.837936,,,,84.398575,343.060455,156.014847,90.897079,325.764618,243.048248,95.568146,339.292480,188.519684,62.141998,335.265198,191.302277
1,0.016667,90.339851,1.189322,33.047771,91.002708,192.619766,161.228119,0.132857,131.810745,338.483521,187.242081,0.000000,84.542427,343.014526,155.866211,0.952574,91.022285,325.696442,243.137772,0.972572,95.502838,339.366272,188.567261,0.959744,62.221104,335.314850,191.376129,0.984293,91.002106,192.611557,161.228607,0.000000,-0.439031,-0.344440,0.177051,94.216797,180.344772,124.148575,0.129458,178.800888,139.121918,38.120106,0.907414,90.675003,184.512527,173.010880,0.903312,8.027546,186.041107,175.120499,0.960882,177.199417,180.819519,172.009384,0.912089,30.504383,220.055878,166.324951,0.945727,208.193008,159.385040,90.876236,0.970663,10.598607,145.585770,42.705490,0.947250,155.721924,239.159409,157.501038,0.965112,-11.769645,168.421768,101.668587,0.964779,178.974564,138.800491,38.134552,90.672234,184.416367,172.990860,7.967336,185.906906,175.146439,177.174026,180.922607,171.730606,30.323841,220.081573,166.505127,208.267944,159.419022,90.849052,10.733904,145.739502,42.708214,155.600555,239.243637,157.531448,-11.763301,168.572922,101.740952,131.871887,338.157074,186.837097,,,,84.459229,343.061035,156.031586,90.978455,325.760284,243.060989,95.637253,339.289459,188.532196,62.213673,335.281067,191.322800
2,0.033333,90.346024,1.155002,33.036659,90.993088,192.620239,161.233231,0.132532,131.893463,338.456879,187.254272,0.000000,84.621658,343.019379,155.888199,0.952283,91.108383,325.688354,243.156708,0.972737,95.586349,339.361145,188.586731,0.960317,62.302746,335.329346,191.401749,0.984111,90.992477,192.612015,161.233719,0.000000,-0.437996,-0.344074,0.180711,94.210426,180.341904,124.154961,0.129297,178.796524,139.125977,38.125187,0.908589,90.668709,184.508560,173.017365,0.975435,8.021169,186.031830,175.127579,0.962660,177.193344,180.821091,172.015198,0.925424,30.495777,220.048187,166.332489,0.935912,208.187744,159.390030,90.881470,0.978336,10.593921,145.579010,42.711830,0.948800,155.712006,239.159851,157.508026,0.962291,-11.775382,168.412537,101.675499,0.958077,178.968628,138.804993,38.138981,90.664772,184.412399,172.998978,7.960676,185.901276,175.151535,177.167618,180.920105,171.733566,30.315735,220.072891,166.513031,208.262543,159.425507,90.854622,10.729406,145.731506,42.717373,155.591476,239.246826,157.540878,-11.767080,168.561661,101.745552,131.948135,338.136322,186.852417,,,,84.537697,343.063660,156.054626,91.063873,325.750580,243.081238,95.717941,339.286957,188.549683,62.299629,335.296906,191.347870
3,0.050000,90.336128,1.135463,33.045753,91.055725,192.597000,161.274612,0.131821,132.001877,338.424042,187.277328,0.000000,84.736565,342.997406,155.903076,0.952100,91.203705,325.679016,243.175522,0.973135,95.694885,339.340973,188.603943,0.961116,62.409462,335.321045,191.414429,0.984255,91.055115,192.588791,161.275101,0.000000,-0.437966,-0.343803,0.180922,94.199356,180.345322,124.158112,0.130145,178.785202,139.129761,38.127914,0.908882,90.657860,184.511948,173.020538,0.975505,8.010328,186.034912,175.131149,0.963531,177.182510,180.824799,172.017929,0.925094,30.484766,220.051346,166.335968,0.935958,208.176605,159.393890,90.884071,0.978241,10.582588,145.582169,42.715370,0.948984,155.700897,239.163483,157.510925,0.961944,-11.786513,168.415588,101.679146,0.958756,178.960129,138.807449,38.139351,90.654533,184.415741,173.003769,7.948183,185.904190,175.156601,177.157211,180.926285,171.737076,30.301872,220.079620,166.516571,208.250793,159.430161,90.858917,10.714922,145.737854,42.717911,155.582123,239.246597,157.541992,-11.775546,168.560074,101.750900,132.027603,338.116821,186.857132,,,,84.658424,343.047791,156.067520,91.167046,325.746399,243.095230,95.814659,339.256012,188.579254,62.404510,335.288361,191.354828
4,0.066667,90.341942,1.096961,33.006836,91.032028,192.601273,161.262009,0.127985,132.093323,338.398621,187.249588,0.000000,84.809662,343.006378,155.908020,0.952819,91.324837,325.675903,243.174530,0.974153,95.787872,339.339691,188.601074,0.962140,62.501698,335.341766,191.433945,0.982540,91.031410,192.593063,161.262497,0.000000,-0.440229,-0.343646,0.183815,94.192795,180.344208,124.161736,0.129610,178.780472,139.129471,38.132919,0.908515,90.651237,184.512604,173.024002,0.976559,8.003630,186.031479,175.134811,0.964597,177.176056,180.829773,172.021286,0.924768,30.476339,220.048691,166.338196,0.935218,208.170975,159.397202,90.888176,0.978379,10.577515,145.573593,42.720646,0.949170,155.691467,239.166809,157.512009,0.962145,-11.792533,168.408234,101.683571,0.959005,178.956924,138.809128,38.145241,90.649246,184.420074,173.008911,7.941897,185.906631,175.160446,177.148193,180.927917,171.738174,30.295000,220.071213,166.521927,208.244781,159.432816,90.860535,10.713015,145.725159,42.722446,155.568405,239.249329,157.543198,-11.782353,168.555649,101.754669,132.117538,338.106140,186.831268,,,,84.729324,343.054840,156.071762,91.287697,325.740112,243.102493,95.912300,339.258728,188.571136,62.494797,335.309875,191.372208
5,0.083333,90.347542,1.085758,32.985870,91.065979,192.607086,161.254440,0.127466,132.164993,338.394165,187.240173,0.000000,84.870728,343.013885,155.916382,0.952616,91.414589,325.674194,243.178909,0.974792,95.860229,339.342102,188.605057,0.962188,62.574326,335.350342,191.449799,0.981719,91.065361,192.598877,161.254929,0.000000,-0.439066,-0.343617,0.183187,94.199776,180.341492,124.163719,0.128337,178.786957,139.127594,38.134022,0.908867,90.658287,184.508942,173.026077,0.977491,8.010693,186.028671,175.136948,0.963833,177.183075,180.825195,172.023239,0.925231,30.483767,220.045837,166.341003,0.936294,208.177719,159.393921,90.889671,0.978423,10.584094,145.573456,42.721951,0.948193,155.699097,239.162750,157.515167,0.961718,-11.785708,168.407135,101.685356,0.959213,178.959641,138.806915,38.149113,90.657394,184.420395,173.009750,7.948190,185.900528,175.161453,177.156265,180.927032,171.743317,30.305103,220.061523,166.522034,208.252686,159.424835,90.860130,10.719467,145.730316,42.725224,155.575836,239.248001,157.546539,-11.776590,168.553925,101.755997,132.207108,338.092133,186.784439,,,,84.787048,343.059204,156.080292,91.378059,325.736450,243.108490,95.987129,339.264404,188.578003,62.567650,335.320496,191.383362
