Format Version,1.23,Take Name,static_21_10_2024,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.50.18.246 AM,Total Frames in Take,209,Total Exported Frames,209,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1275,Unlabeled 1275,Unlabeled 1275,Unlabeled 1276,Unlabeled 1276,Unlabeled 1276,Unlabeled 1277,Unlabeled 1277,Unlabeled 1277,Unlabeled 1278,Unlabeled 1278,Unlabeled 1278,Unlabeled 1279,Unlabeled 1279,Unlabeled 1279,Unlabeled 1280,Unlabeled 1280,Unlabeled 1280,Unlabeled 1281,Unlabeled 1281,Unlabeled 1281,Unlabeled 1282,Unlabeled 1282,Unlabeled 1282,Unlabeled 1283,Unlabeled 1283,Unlabeled 1283,Unlabeled 1284,Unlabeled 1284,Unlabeled 1284,Unlabeled 1285,Unlabeled 1285,Unlabeled 1285,Unlabeled 1286,Unlabeled 1286,Unlabeled 1286,Unlabeled 1287,Unlabeled 1287,Unlabeled 1287,Unlabeled 1288,Unlabeled 1288,Unlabeled 1288,Unlabeled 1289,Unlabeled 1289,Unlabeled 1289,Unlabeled 1290,Unlabeled 1290,Unlabeled 1290,Unlabeled 1291,Unlabeled 1291,Unlabeled 1291,Unlabeled 1292,Unlabeled 1292,Unlabeled 1292,Unlabeled 1293,Unlabeled 1293,Unlabeled 1293,Unlabeled 1294,Unlabeled 1294,Unlabeled 1294,Unlabeled 1295,Unlabeled 1295,Unlabeled 1295
,ID,"CCB20","CCB20","CCB20","CCC50","CCC50","CCC50","CCCE0","CCCE0","CCCE0","CCD00","CCD00","CCD00","CCD50","CCD50","CCD50","CCF40","CCF40","CCF40","CCF80","CCF80","CCF80","CCFC0","CCFC0","CCFC0","CD030","CD030","CD030","CD040","CD040","CD040","CD050","CD050","CD050","CD070","CD070","CD070","CD0B0","CD0B0","CD0B0","CD0E0","CD0E0","CD0E0","CD0F0","CD0F0","CD0F0","CD140","CD140","CD140","CD170","CD170","CD170","CD220","CD220","CD220","CD230","CD230","CD230","CD250","CD250","CD250","CD2A0","CD2A0","CD2A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,114.537514,187.893631,-32.319916,17.929796,235.169037,89.135757,39.008263,200.461502,137.919647,-9.471173,179.023254,99.546623,-27.912254,165.832962,42.232861,139.338303,169.984222,93.401115,69.810577,196.839386,139.269302,148.103836,143.604172,40.273575,69.380539,249.002258,87.729179,-9.949191,157.641937,-20.878056,126.632629,136.876923,-16.793118,2.768061,235.213226,26.171824,31.983908,149.339645,-53.659481,67.875206,214.710083,-41.439137,89.598122,141.259247,-49.020817,15.450220,205.144257,-31.991419,60.164295,144.049942,-53.898888,129.451859,215.436096,26.994658,99.108253,195.947433,136.768936,70.790413,256.484528,21.635292,116.703369,228.233917,86.512367
1,0.008333,114.541466,187.888199,-32.338882,17.928980,235.169693,89.133049,39.007149,200.467178,137.919479,-9.473646,179.028137,99.547592,-27.910837,165.834778,42.234390,139.339752,169.986465,93.401100,69.814293,196.842300,139.270309,148.102386,143.605637,40.273918,69.381844,249.003372,87.729858,-9.948255,157.645599,-20.877186,126.634720,136.878769,-16.792152,2.767389,235.211823,26.174110,31.980120,149.341141,-53.658760,67.875122,214.710648,-41.440414,89.597580,141.260681,-49.021210,15.451296,205.149261,-31.991442,60.164051,144.041901,-53.897011,129.632004,215.655045,27.099186,99.110710,195.950562,136.770920,70.788513,256.484161,21.635712,116.706108,228.236710,86.513184
2,0.016667,114.538040,187.893738,-32.316765,17.929644,235.167709,89.132195,39.007484,200.465317,137.917862,-9.471992,179.025894,99.546906,-27.909021,165.834671,42.234028,139.339554,169.987015,93.402138,69.811928,196.841446,139.269028,148.099701,143.602859,40.270390,69.382889,249.005051,87.730804,-9.947989,157.646866,-20.879204,126.634491,136.877533,-16.794600,2.767522,235.215500,26.174698,31.980238,149.342239,-53.661961,67.876007,214.710114,-41.440575,89.597908,141.257843,-49.018955,15.451382,205.146942,-31.995054,60.163445,144.048019,-53.901924,129.632034,215.656189,27.099251,99.109589,195.944595,136.767807,70.789330,256.485077,21.633820,116.696426,228.234589,86.513374
3,0.025000,114.541985,187.884811,-32.338562,17.930489,235.169876,89.131241,39.009789,200.463531,137.917633,-9.471368,179.025513,99.543617,-27.911427,165.835968,42.231796,139.339172,169.985199,93.400368,69.813522,196.839432,139.267731,148.104080,143.604462,40.273968,69.381615,249.008011,87.730141,-9.946887,157.645157,-20.878061,126.635986,136.880066,-16.797398,2.768011,235.215057,26.172499,31.981113,149.341431,-53.659409,67.878571,214.707382,-41.439758,89.597977,141.258957,-49.018639,15.443411,205.149902,-31.994667,60.162003,144.047150,-53.897461,129.452316,215.434540,26.993717,99.091942,195.940552,136.765060,70.790184,256.484314,21.633373,116.694702,228.232254,86.512917
4,0.033333,114.538300,187.895065,-32.320553,17.927927,235.166290,89.131973,39.010208,200.468338,137.916443,-9.467989,179.025497,99.542976,-27.911942,165.836456,42.234360,139.338608,169.984161,93.398491,69.808907,196.867355,139.256638,148.103699,143.603790,40.269135,69.381897,249.004883,87.728485,-9.947409,157.644028,-20.878494,126.637024,136.882156,-16.796169,2.766828,235.214249,26.172897,31.979460,149.345215,-53.661510,67.878777,214.709702,-41.440701,89.597389,141.260529,-49.021347,15.445133,205.154922,-31.993877,60.163494,144.045319,-53.897663,129.451019,215.438126,26.992867,99.111366,195.949371,136.769302,70.789444,256.485718,21.633677,116.697052,228.232376,86.512535
5,0.041667,114.537338,187.892441,-32.322025,17.930531,235.166199,89.130325,39.009396,200.465836,137.916946,-9.471030,179.030685,99.543175,-27.909586,165.837585,42.231426,139.340454,169.985016,93.398529,69.809013,196.861908,139.257904,148.100021,143.609818,40.276176,69.383896,249.006378,87.731522,-9.946144,157.642990,-20.877621,126.634804,136.877533,-16.798828,2.768790,235.214508,26.169720,31.979143,149.343033,-53.664379,67.876480,214.711853,-41.441059,89.599052,141.259964,-49.022163,15.445756,205.149841,-31.994619,60.161407,144.046875,-53.899593,129.633484,215.656418,27.099140,99.109612,195.949677,136.769958,70.788261,256.485199,21.632334,116.696564,228.232620,86.511559
6,0.050000,114.539307,187.883545,-32.340130,17.930151,235.168961,89.128990,39.009174,200.461945,137.914932,-9.470686,179.028259,99.542488,-27.910175,165.833786,42.230515,139.338303,169.986237,93.397728,69.809319,196.861328,139.257385,148.100510,143.602402,40.270546,69.382660,249.006805,87.726395,-9.945548,157.643143,-20.882385,126.635506,136.879318,-16.793552,2.769021,235.213257,26.170301,31.981464,149.344421,-53.666737,67.877930,214.709000,-41.443104,89.597519,141.256378,-49.020638,15.452100,205.147659,-31.996281,60.164330,144.043457,-53.898956,129.633545,215.653473,27.096357,99.112946,195.952332,136.769943,70.789215,256.485077,21.632549,116.695709,228.232468,86.510132
7,0.058333,114.539162,187.893906,-32.321232,17.932503,235.169159,89.129570,39.008991,200.465546,137.916260,-9.469351,179.028488,99.539703,-27.910267,165.835220,42.230644,139.340546,169.986176,93.398331,69.813622,196.844910,139.266266,148.100082,143.599731,40.270531,69.381775,249.008408,87.726242,-9.948752,157.649002,-20.882856,126.634598,136.875381,-16.799925,2.767134,235.213470,26.168346,31.979752,149.345093,-53.664318,67.876953,214.712509,-41.443775,89.597603,141.259491,-49.023266,15.450895,205.147156,-31.996176,60.166035,144.045471,-53.905342,129.633118,215.654556,27.094213,99.120819,195.953781,136.748901,70.789413,256.483124,21.629856,116.694954,228.232422,86.508392
8,0.066667,114.538200,187.895935,-32.324146,17.931446,235.170181,89.126793,39.009842,200.465027,137.912857,-9.471326,179.032013,99.538445,-27.911415,165.834106,42.227283,139.340347,169.986893,93.395943,69.811470,196.842621,139.264908,148.100754,143.601120,40.269817,69.380234,249.005661,87.725410,-9.947395,157.645233,-20.879576,126.632126,136.876251,-16.800303,2.768478,235.213638,26.167334,31.981125,149.345978,-53.664612,67.877892,214.710632,-41.443775,89.601608,141.257690,-49.021233,15.452100,205.147995,-31.995647,60.164177,144.048599,-53.900452,129.450729,215.435928,26.990301,99.107582,195.950531,136.764847,70.788162,256.483459,21.628872,116.696251,228.235046,86.508316
9,0.075000,114.539970,187.886200,-32.341484,17.929731,235.169159,89.125702,39.009403,200.465088,137.913315,-9.470151,179.030685,99.536827,-27.911278,165.834732,42.227932,139.338928,169.988129,93.397255,69.810112,196.863983,139.254791,148.096405,143.609756,40.274067,69.380974,249.004395,87.725746,-9.950077,157.645355,-20.881336,126.636055,136.877899,-16.796501,2.767279,235.213730,26.168060,31.981195,149.343033,-53.665504,67.876503,214.709427,-41.446022,89.597931,141.258224,-49.022449,15.452353,205.145477,-31.994085,60.165619,144.050034,-53.907501,129.633148,215.655319,27.095078,99.107964,195.947693,136.764969,70.789330,256.485382,21.629612,116.695259,228.234055,86.508812
10,0.083333,114.540291,187.885101,-32.341938,17.930771,235.169159,89.126877,39.009640,200.464691,137.913483,-9.472138,179.031784,99.537720,-27.910183,165.832581,42.229912,139.339279,169.988510,93.399391,69.810944,196.867538,139.255569,148.101913,143.603226,40.268528,69.380730,249.006973,87.726624,-9.945445,157.642197,-20.877979,126.637177,136.878464,-16.795486,2.768635,235.213837,26.168478,31.981104,149.344315,-53.665520,67.876877,214.708969,-41.443161,89.595421,141.260849,-49.023590,15.445338,205.149323,-31.995245,60.160557,144.045151,-53.904297,129.631821,215.654388,27.094463,99.107300,195.953659,136.768219,70.788589,256.485657,21.632250,116.706001,228.236481,86.510895
11,0.091667,114.538635,187.886887,-32.341644,17.929432,235.170807,89.125542,39.010250,200.466354,137.914734,-9.469934,179.028854,99.535271,-27.909151,165.834442,42.229286,139.337723,169.991531,93.398872,69.809761,196.842041,139.265717,148.102249,143.607391,40.274284,69.380486,249.006561,87.726433,-9.949495,157.644928,-20.882305,126.633469,136.877853,-16.795797,2.767309,235.214020,26.169086,31.980492,149.348099,-53.665955,67.876633,214.707809,-41.442726,89.595634,141.259811,-49.021957,15.448303,205.148422,-31.994608,60.162506,144.047287,-53.902416,129.449310,215.439163,26.992634,99.107513,195.950851,136.767349,70.787453,256.482880,21.629889,116.696396,228.232529,86.508347
12,0.100000,114.536736,187.893356,-32.322899,17.930834,235.170654,89.128281,39.010372,200.468994,137.916672,-9.469354,179.031998,99.538048,-27.912853,165.840210,42.228977,139.338974,169.989227,93.397430,69.810669,196.864120,139.254593,148.101791,143.605347,40.272671,69.381584,249.006866,87.726898,-9.956689,157.647980,-20.895433,126.633835,136.874344,-16.795570,2.764125,235.217026,26.169991,31.980932,149.345840,-53.664001,67.877739,214.710007,-41.443501,89.599899,141.258011,-49.021553,15.446069,205.147461,-31.996519,60.163811,144.044632,-53.901215,129.452057,215.434891,26.991167,99.109116,195.950409,136.767792,70.788712,256.484314,21.630808,116.697151,228.234772,86.512131
13,0.108333,114.538445,187.892914,-32.321056,17.929379,235.168228,89.128044,39.010426,200.467789,137.915436,-9.469612,179.033920,99.538414,-27.909832,165.831696,42.230522,139.337219,169.989655,93.399887,69.808708,196.866104,139.256744,148.103546,143.606094,40.274445,69.384277,249.005615,87.727394,-9.949039,157.640991,-20.880249,126.635582,136.879654,-16.793909,2.766354,235.215439,26.168901,31.979099,149.345078,-53.664135,67.876007,214.709534,-41.443760,89.600792,141.257172,-49.020367,15.453981,205.147552,-31.997087,60.163311,144.045334,-53.898731,129.450638,215.439987,26.992624,99.110535,195.952713,136.769409,70.787666,256.487671,21.633041,116.704636,228.238220,86.514328
14,0.116667,114.540268,187.893341,-32.320816,17.929207,235.168472,89.129280,39.009197,200.465225,137.914291,-9.469354,179.034729,99.538048,-27.910273,165.834641,42.232513,139.338242,169.989166,93.398521,69.814270,196.844681,139.267609,148.097229,143.610870,40.276741,69.382874,249.006897,87.728394,-9.950142,157.643448,-20.880369,126.634506,136.876740,-16.795130,2.767720,235.214081,26.171072,31.979088,149.347000,-53.665958,67.876060,214.714035,-41.443268,89.599884,141.262375,-49.022587,15.445776,205.150452,-31.993557,60.166306,144.044434,-53.901222,129.632706,215.655502,27.096451,99.109612,195.950500,136.771652,70.789467,256.487549,21.633978,116.706741,228.237717,86.514442
15,0.125000,114.541130,187.888870,-32.338169,17.930948,235.170105,89.127846,39.008362,200.468353,137.916443,-9.470205,179.032364,99.540054,-27.909527,165.830521,42.231926,139.337067,169.990814,93.402596,69.807281,196.866623,139.255844,148.104050,143.606506,40.275181,69.382118,249.005936,87.727585,-9.948691,157.640274,-20.879187,126.635757,136.878891,-16.794916,2.766076,235.215897,26.168119,31.981535,149.343796,-53.660789,67.875031,214.711273,-41.441494,89.596794,141.258652,-49.022137,15.451549,205.145401,-31.993561,60.163460,144.044556,-53.899052,129.449692,215.437592,26.995087,99.110390,195.952164,136.770401,70.787941,256.487396,21.633701,116.704391,228.237549,86.514465
16,0.133333,114.536308,187.895523,-32.322578,17.932833,235.171188,89.128265,39.009979,200.464569,137.915833,-9.471266,179.033142,99.539185,-27.910191,165.830887,42.230370,139.337311,169.990067,93.401253,69.811028,196.843796,139.267059,148.095963,143.610382,40.278160,69.383018,249.006546,87.731018,-9.946028,157.642715,-20.876022,126.634972,136.876663,-16.798016,2.767326,235.214691,26.171555,31.977531,149.342087,-53.659199,67.877663,214.710114,-41.440781,89.599800,141.264664,-49.023384,15.452227,205.144012,-31.988804,60.164330,144.046249,-53.899311,129.630203,215.656021,27.096266,99.110535,195.948563,136.769150,70.786018,256.487549,21.632248,116.704971,228.235397,86.514709
17,0.141667,114.538116,187.894379,-32.323261,17.933558,235.170792,89.128906,39.012516,200.463043,137.914169,-9.471357,179.033707,99.537483,-27.909843,165.832504,42.231739,139.337433,169.989059,93.400841,69.809914,196.861465,139.256592,148.099319,143.612000,40.279675,69.381927,249.004211,87.728149,-9.948074,157.641037,-20.877621,126.633507,136.874435,-16.794535,2.767147,235.211868,26.171627,31.979353,149.346008,-53.663006,67.877632,214.711884,-41.440536,89.602219,141.260757,-49.020596,15.452672,205.145279,-31.990271,60.165485,144.045959,-53.900146,129.631836,215.655106,27.099888,99.108276,195.948105,136.767899,70.787880,256.486755,21.635088,116.695168,228.232376,86.513634
18,0.150000,114.539383,187.887726,-32.339756,17.931051,235.170807,89.127304,39.010761,200.465775,137.914200,-9.470922,179.035980,99.539650,-27.910789,165.835007,42.234085,139.338226,169.988953,93.398949,69.815002,196.843048,139.267181,148.102524,143.604248,40.273270,69.383354,249.008392,87.730949,-9.953592,157.645233,-20.893450,126.635628,136.879166,-16.793701,2.767091,235.214142,26.171724,31.981058,149.341034,-53.662373,67.876350,214.710876,-41.441956,89.596558,141.260315,-49.019955,15.452595,205.143906,-31.989183,60.161304,144.043259,-53.896542,129.632736,215.658890,27.098551,99.111336,195.952393,136.769669,70.790794,256.487213,21.633726,116.707527,228.234116,86.512978
19,0.158333,114.538239,187.895782,-32.320431,17.932743,235.169724,89.126465,39.012035,200.465286,137.913895,-9.471881,179.037689,99.537437,-27.911009,165.834381,42.234165,139.339127,169.987823,93.398781,69.815811,196.841095,139.265579,148.103073,143.605377,40.275612,69.381592,249.004669,87.726028,-9.947575,157.640579,-20.876146,126.637413,136.877060,-16.793945,2.770528,235.213394,26.173859,31.978111,149.344055,-53.659451,67.877518,214.710632,-41.442150,89.599480,141.258911,-49.017643,15.452185,205.146011,-31.991251,60.162769,144.045853,-53.899426,129.450104,215.438965,26.996595,99.110779,195.947556,136.767120,70.788582,256.484070,21.631985,116.706741,228.236496,86.512978
20,0.166667,114.537117,187.895203,-32.322918,17.931784,235.171478,89.125092,39.010403,200.463898,137.913849,-9.471225,179.036514,99.536613,-27.912683,165.836594,42.230724,139.337860,169.988342,93.398926,69.812088,196.840927,139.265305,148.099640,143.601349,40.272373,69.380470,249.005722,87.727402,-9.949651,157.643997,-20.877132,126.633301,136.874634,-16.792601,2.768610,235.214127,26.168762,31.981730,149.342148,-53.660542,67.875282,214.710312,-41.441612,89.595688,141.260452,-49.022343,15.451694,205.146225,-31.988300,60.161877,144.045639,-53.897125,129.630173,215.654526,27.096073,99.109428,195.949310,136.767258,70.787750,256.484100,21.632977,116.695175,228.230911,86.511276
