Format Version,1.23,Take Name,circum_21_10_2023,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-10-21 11.48.30.571 AM,Total Frames in Take,955,Total Exported Frames,955,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Stylus,Stylus,Stylus,Stylus,Stylus,Stylus,Stylus,"Stylus:Marker1","Stylus:Marker1","Stylus:Marker1","Stylus:Marker1","Stylus:Marker2","Stylus:Marker2","Stylus:Marker2","Stylus:Marker2","Stylus:Marker3","Stylus:Marker3","Stylus:Marker3","Stylus:Marker3","Stylus:Marker4","Stylus:Marker4","Stylus:Marker4","Stylus:Marker4","Stylus:Marker5","Stylus:Marker5","Stylus:Marker5","Stylus:Marker5","Stylus:Marker6","Stylus:Marker6","Stylus:Marker6","Stylus:Marker6",Stylus:Marker1,Stylus:Marker1,Stylus:Marker1,Stylus:Marker2,Stylus:Marker2,Stylus:Marker2,Stylus:Marker3,Stylus:Marker3,Stylus:Marker3,Stylus:Marker4,Stylus:Marker4,Stylus:Marker4,Stylus:Marker5,Stylus:Marker5,Stylus:Marker5,Stylus:Marker6,Stylus:Marker6,Stylus:Marker6,Unlabeled 1274,Unlabeled 1274,Unlabeled 1274
,ID,"4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","CC590","CC590","CC590","CC4C0","CC4C0","CC4C0","CC640","CC640","CC640","CC620","CC620","CC620","CC610","CC610","CC610","CC660","CC660","CC660","CC5C0","CC5C0","CC5C0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,125.986710,23.558065,30.185909,75.503288,199.282135,108.115921,0.194239,23.484770,314.069305,193.065613,0.950195,40.069633,250.111465,252.933151,0.978213,37.147903,294.666290,218.204407,0.918848,6.826684,280.680969,213.834732,0.915458,71.836868,304.808075,221.425797,0.959795,75.593155,199.216721,107.994370,0.000000,23.546209,313.926025,193.189636,40.116364,250.064072,252.989410,37.214413,294.870361,218.447937,6.619068,280.665649,213.568237,71.869873,304.809937,221.268417,,,,,,
1,0.008333,126.049927,23.487661,30.177856,75.420151,199.248352,108.100754,0.182246,23.577299,313.994141,193.213608,0.957323,40.152878,249.958389,253.000381,0.975819,37.243366,294.552277,218.320755,0.921426,6.905720,280.599396,213.961548,0.914980,71.944298,304.658844,221.524063,0.960808,75.509850,199.182983,107.979065,0.000000,23.629456,313.873718,193.322784,40.204048,249.908936,253.065887,37.314125,294.736511,218.565353,6.695325,280.583527,213.694824,71.980659,304.660339,221.371582,,,,,,
2,0.016667,126.108887,23.470980,30.170630,75.454712,199.270294,108.103653,0.177031,23.653605,313.941345,193.342484,0.957323,40.234306,249.844406,253.062164,0.975819,37.323078,294.472656,218.426956,0.921426,6.981946,280.529114,214.062119,0.914980,72.026535,304.570251,221.630966,0.960808,75.544365,199.205032,107.981880,0.000000,23.714632,313.830200,193.449097,40.277664,249.792679,253.127930,37.382889,294.661133,218.685425,6.782035,280.499634,213.798111,72.062256,304.574249,221.464203,,,,,,
3,0.025000,126.186928,23.436298,30.153275,75.433830,199.330154,108.065430,0.178471,23.719564,313.912109,193.476700,0.957573,40.314125,249.735657,253.107132,0.976561,37.397289,294.407806,218.529053,0.921574,7.049084,280.479553,214.164536,0.914832,72.105881,304.490204,221.725357,0.956473,75.523392,199.264999,107.943520,0.000000,23.764648,313.803284,193.598862,40.351540,249.690399,253.180176,37.462173,294.585297,218.779404,6.854190,280.451080,213.886551,72.153351,304.495392,221.557922,,,,,,
4,0.033333,126.242455,23.405535,30.136110,75.430664,199.356415,108.047668,0.186200,23.793489,313.879730,193.584167,0.957573,40.402798,249.648102,253.151031,0.976561,37.479424,294.350433,218.612549,0.921574,7.125102,280.434082,214.252563,0.914832,72.192474,304.420715,221.798721,0.956473,75.520142,199.291351,107.925659,0.000000,23.841072,313.765808,193.704224,40.438137,249.586884,253.231522,37.544842,294.536560,218.865173,6.927236,280.409332,213.972992,72.242020,304.434265,221.625076,,,,,,
5,0.041667,126.280884,23.366005,30.138453,75.416100,199.353546,108.051315,0.180555,23.877520,313.847900,193.685959,0.958219,40.472145,249.565750,253.202377,0.975313,37.561596,294.293488,218.695724,0.919883,7.197589,280.397705,214.337662,0.913607,72.281670,304.341492,221.875717,0.959053,75.505493,199.288498,107.929222,0.000000,23.913767,313.731628,193.800415,40.518990,249.517670,253.274796,37.627323,294.485992,218.943375,6.995891,280.375000,214.057983,72.334465,304.335907,221.720764,,,,,,
