Format Version,1.23,Take Name,ear2ear_shake_30_9_2024,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2021-09-30 11.25.58.006 AM,Total Frames in Take,384,Total Exported Frames,384,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Stylus,Stylus,Stylus,Stylus,Stylus,Stylus,Stylus,Stylus,"Stylus:Marker1","Stylus:Marker1","Stylus:Marker1","Stylus:Marker1","Stylus:Marker2","Stylus:Marker2","Stylus:Marker2","Stylus:Marker2","Stylus:Marker3","Stylus:Marker3","Stylus:Marker3","Stylus:Marker3","Stylus:Marker4","Stylus:Marker4","Stylus:Marker4","Stylus:Marker4","Stylus:Marker5","Stylus:Marker5","Stylus:Marker5","Stylus:Marker5","Stylus:Marker6","Stylus:Marker6","Stylus:Marker6","Stylus:Marker6",Specs,Specs,Specs,Specs,Specs,Specs,Specs,Specs,"Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker1","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker2","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker3","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker4","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker5","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker6","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker7","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker8","Specs:Marker9","Specs:Marker9","Specs:Marker9","Specs:Marker9",Specs:Marker1,Specs:Marker1,Specs:Marker1,Specs:Marker2,Specs:Marker2,Specs:Marker2,Specs:Marker3,Specs:Marker3,Specs:Marker3,Specs:Marker4,Specs:Marker4,Specs:Marker4,Specs:Marker5,Specs:Marker5,Specs:Marker5,Specs:Marker6,Specs:Marker6,Specs:Marker6,Specs:Marker7,Specs:Marker7,Specs:Marker7,Specs:Marker8,Specs:Marker8,Specs:Marker8,Specs:Marker9,Specs:Marker9,Specs:Marker9,Stylus:Marker1,Stylus:Marker1,Stylus:Marker1,Stylus:Marker2,Stylus:Marker2,Stylus:Marker2,Stylus:Marker3,Stylus:Marker3,Stylus:Marker3,Stylus:Marker4,Stylus:Marker4,Stylus:Marker4,Stylus:Marker5,Stylus:Marker5,Stylus:Marker5,Stylus:Marker6,Stylus:Marker6,Stylus:Marker6
,ID,"4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","4DD97B82219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","77B534B1219C11EC97A319E8FC9C4191","C6B00","C6B00","C6B00","C6A00","C6A00","C6A00","C6050","C6050","C6050","C6B10","C6B10","C6B10","C5D40","C5D40","C5D40","C6A50","C6A50","C6A50","C6380","C6380","C6380","C6A90","C6A90","C6A90","C6AC0","C6AC0","C6AC0","C6B90","C6B90","C6B90","C6BC0","C6BC0","C6BC0","C6B30","C6B30","C6B30","C6BA0","C6BA0","C6BA0","C6B60","C6B60","C6B60","C6BD0","C6BD0","C6BD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.577743,-0.253228,0.759912,0.156917,16.296505,115.821289,97.013046,0.412311,-105.405212,204.194901,75.168655,0.872311,-139.527847,131.486145,113.883507,0.878638,-119.185730,181.647308,97.458046,0.895868,-122.258011,165.616989,68.002205,0.745835,-112.692696,194.657333,130.701660,0.889421,16.452978,115.792618,97.055733,0.000000,0.006478,-0.041460,0.003417,-0.999113,94.292831,172.227173,152.318222,0.153908,29.937916,221.867386,191.253433,0.916558,6.234750,190.099960,204.199722,0.926507,211.584244,139.006805,124.507507,0.931961,11.333682,135.217941,75.649300,0.853660,174.586746,174.829208,194.357971,0.897140,155.435959,232.625961,174.477280,0.883195,183.783768,107.552498,74.064362,0.831418,-12.885660,164.508804,131.879974,0.943222,88.624115,184.336090,200.474426,0.957156,29.849611,221.775360,191.561874,6.271597,189.829544,204.308990,211.594040,138.853577,124.282799,11.546232,135.674835,75.351456,174.677673,175.166138,194.140045,155.281464,233.054901,174.579407,183.645111,106.925362,74.269768,-12.714962,164.375977,131.810699,88.484726,184.388947,200.558975,-105.798203,204.493347,75.300423,-139.680984,131.931900,113.999748,-119.367508,181.874268,97.756271,-121.711891,164.961609,67.449188,-112.461662,194.282608,130.658752,,,
1,0.016667,0.577425,-0.253136,0.760334,0.156190,16.307503,115.847282,97.109444,0.405844,-105.469872,204.085526,75.139740,0.872311,-139.557205,131.321472,113.781769,0.878638,-119.252922,181.513016,97.402359,0.895868,-122.267632,165.490494,67.936333,0.745835,-112.818810,194.517822,130.659454,0.889421,16.463955,115.818787,97.152321,0.000000,0.006451,-0.041461,0.003407,-0.999114,94.289803,172.223465,152.326691,0.153220,29.934071,221.860428,191.264771,0.916558,6.231524,190.091873,204.209351,0.926507,211.581741,139.006668,124.513901,0.931961,11.331111,135.216934,75.655930,0.853660,174.583755,174.824631,194.366394,0.897140,155.431931,232.622116,174.488907,0.883195,183.781708,107.554619,74.069099,0.831418,-12.888618,164.504318,131.888260,0.943222,88.620979,184.329666,200.483566,0.957156,29.845366,221.772415,191.572540,6.274359,189.814606,204.316757,211.591187,138.855148,124.291794,11.542300,135.674194,75.358177,174.676224,175.160858,194.150024,155.276718,233.051483,174.588852,183.642334,106.927025,74.275459,-12.720739,164.374130,131.819626,88.480492,184.381454,200.566971,-105.855072,204.403885,75.281654,-139.706848,131.778091,113.910210,-119.437721,181.704712,97.662979,-121.733879,164.844604,67.391411,-112.588638,194.143387,130.628311,,,
2,0.033333,0.579129,-0.251049,0.761203,0.148847,17.254904,117.520805,96.863342,0.450210,-105.775948,204.076126,75.184532,0.870127,-138.844482,130.610657,113.382164,0.875655,-119.257362,181.183243,97.304230,0.906852,-121.993599,165.277771,67.747772,0.750124,-113.063171,194.101166,130.640686,0.889844,17.411694,117.494377,96.906303,0.000000,0.006446,-0.041461,0.003414,-0.999114,94.293030,172.224655,152.332581,0.153560,29.938026,221.862167,191.271088,0.916955,6.234981,190.093842,204.215347,0.924898,211.584473,139.006424,124.519539,0.932740,11.333860,135.220108,75.661400,0.853725,174.586975,174.824203,194.372360,0.897404,155.436020,232.622177,174.495407,0.883158,183.784012,107.555275,74.074417,0.831200,-12.885467,164.507294,131.893997,0.944186,88.624352,184.330460,200.489548,0.957153,29.847927,221.773300,191.578186,6.277539,189.819122,204.323364,211.596603,138.854507,124.296120,11.543028,135.679367,75.364258,174.679916,175.159409,194.155060,155.280518,233.050232,174.595062,183.646637,106.928535,74.282463,-12.716088,164.375397,131.826721,88.481178,184.382065,200.571884,-105.890549,204.278290,75.292183,-139.079453,130.352890,113.327126,-119.509285,181.624329,97.638382,-121.751823,164.754623,67.359650,-112.703575,194.238846,130.641861,,,
3,0.050000,0.579536,-0.251709,0.760708,0.148676,17.217726,117.353630,96.628983,0.431693,-105.794014,203.997864,75.198280,0.935966,-138.860657,130.487228,113.310516,0.911714,-119.265556,181.076279,97.294266,0.847998,-122.035820,165.218475,67.715332,0.826301,-113.035217,193.938995,130.645279,0.903747,17.374544,117.327065,96.671761,0.000000,0.006442,-0.041460,0.003417,-0.999114,94.297729,172.224655,152.335541,0.153399,29.942945,221.862213,191.274338,0.916962,6.239675,190.093918,204.218262,0.925439,211.589035,139.005966,124.522476,0.932388,11.338525,135.221313,75.663841,0.853593,174.591599,174.823349,194.375549,0.897466,155.441025,232.621613,174.499084,0.883451,183.788498,107.555443,74.077003,0.831373,-12.880773,164.508148,131.896652,0.943756,88.629005,184.330063,200.492599,0.956743,29.851957,221.772064,191.580414,6.282086,189.818176,204.323914,211.599533,138.855576,124.299606,11.548523,135.680695,75.367989,174.683929,175.159393,194.160309,155.289047,233.051514,174.598175,183.649780,106.927238,74.283264,-12.711117,164.377472,131.830383,88.485771,184.379913,200.575775,-105.910385,204.227707,75.293159,-139.087296,130.276917,113.308998,-119.534004,181.564774,97.629105,-121.758911,164.700897,67.351891,-112.700615,193.948547,130.580475,,,
4,0.066667,0.579563,-0.251597,0.760736,0.148614,17.226770,117.367325,96.647751,0.440157,-105.806564,203.978989,75.209282,0.931366,-138.854691,130.464203,113.329575,0.922703,-119.272202,181.056412,97.307800,0.837439,-122.038872,165.194824,67.730576,0.827400,-113.044693,193.924164,130.657440,0.914761,17.383596,117.340805,96.690536,0.000000,0.006458,-0.041464,0.003423,-0.999113,94.302979,172.226822,152.333862,0.153415,29.949062,221.866409,191.271484,0.917052,6.245516,190.098816,204.216660,0.925419,211.593689,139.005844,124.521034,0.932734,11.342786,135.221863,75.664024,0.853659,174.597198,174.825989,194.373154,0.897598,155.447144,232.623810,174.494904,0.883346,183.792419,107.553955,74.076813,0.831102,-12.875743,164.510849,131.896027,0.943958,88.634758,184.333908,200.490570,0.956757,29.859682,221.776657,191.580536,6.286997,189.822922,204.324020,211.604156,138.851669,124.301437,11.552870,135.679291,75.365631,174.693054,175.168106,194.150146,155.294724,233.052597,174.598282,183.652740,106.926361,74.283707,-12.707205,164.380997,131.827667,88.489899,184.382797,200.573227,-105.920319,204.208359,75.296959,-139.081497,130.249847,113.325089,-119.543549,181.551987,97.663063,-121.761818,164.674515,67.361275,-112.709618,193.933777,130.588379,,,
5,0.083333,0.579144,-0.250770,0.761309,0.148712,17.269716,117.526726,96.907654,0.454431,-105.808418,204.005325,75.191040,0.932343,-138.838455,130.533218,113.409195,0.921976,-119.278717,181.111832,97.316879,0.833146,-122.003448,165.195404,67.765236,0.826100,-113.094658,194.043823,130.649750,0.914437,17.426517,117.500404,96.950638,0.000000,0.006448,-0.041456,0.003438,-0.999114,94.303963,172.225021,152.334030,0.154107,29.950901,221.865784,191.271606,0.916504,6.246209,190.098663,204.215759,0.925265,211.594131,139.001083,124.522453,0.932873,11.343897,135.224060,75.662132,0.853710,174.597580,174.820969,194.374695,0.895127,155.449570,232.619766,174.497269,0.883335,183.792740,107.551025,74.077171,0.831145,-12.874662,164.512665,131.894318,0.944127,88.635330,184.331345,200.490891,0.956551,29.861557,221.776306,191.578613,6.288961,189.822571,204.322495,211.605621,138.849777,124.299042,11.555402,135.680618,75.366013,174.690018,175.159073,194.159485,155.295944,233.049347,174.598480,183.653137,106.922256,74.282112,-12.704439,164.384659,131.827942,88.489479,184.380615,200.572281,-105.919708,204.210312,75.303787,-139.074173,130.269653,113.359016,-119.530518,181.557571,97.651634,-121.762634,164.673599,67.378555,-112.736641,194.178543,130.638992,,,
