Format Version,1.23,Take Name,charlie_circum_003,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.51.58.625 PM,Total Frames in Take,416,Total Exported Frames,416,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C50F0","C50F0","C50F0","C4C10","C4C10","C4C10","C51F0","C51F0","C51F0","C5050","C5050","C5050","C51E0","C51E0","C51E0","C50D0","C50D0","C50D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.347740,0.733806,0.187364,-0.552720,0.019611,0.186626,0.177374,0.000134,-0.029287,0.288993,0.273124,0.891750,-0.027189,0.248394,0.312174,0.930440,0.019614,0.186628,0.177376,0.000000,0.004829,0.300704,0.277184,0.964439,-0.059122,0.273516,0.267971,0.971888,-0.042060,0.305522,0.245651,0.938275,-0.029382,0.289375,0.273303,-0.027260,0.248127,0.312206,,,,0.004931,0.300742,0.277093,-0.059022,0.273563,0.267992,-0.042096,0.305322,0.245511
1,0.016667,0.348576,0.733736,0.186794,-0.552480,0.019297,0.186540,0.177309,0.000184,-0.029485,0.289124,0.272885,0.893514,-0.027400,0.248599,0.312011,0.938405,0.019299,0.186542,0.177311,0.000000,0.004642,0.300818,0.276909,0.958481,-0.059334,0.273660,0.267775,0.965106,-0.042257,0.305610,0.245387,0.933395,-0.029567,0.289481,0.273102,-0.027396,0.248358,0.312065,,,,0.004787,0.300856,0.276838,-0.059359,0.273750,0.267672,-0.042299,0.305366,0.245291
2,0.033333,0.348013,0.734734,0.185104,-0.552078,0.019578,0.186566,0.177394,0.000126,-0.029605,0.289231,0.272677,0.893514,-0.027417,0.248811,0.311906,0.938405,0.019580,0.186568,0.177396,0.000000,0.004481,0.301046,0.276696,0.958481,-0.059400,0.273658,0.267584,0.965106,-0.042411,0.305607,0.245128,0.933395,-0.029710,0.289598,0.272881,-0.027491,0.248559,0.311921,,,,0.004595,0.301101,0.276589,-0.059317,0.273704,0.267593,-0.042430,0.305391,0.245007
3,0.050000,0.347995,0.735188,0.184209,-0.551784,0.019580,0.186615,0.177349,0.000134,-0.029758,0.289378,0.272445,0.884844,-0.027533,0.249026,0.311742,0.933866,0.019583,0.186616,0.177352,0.000000,0.004312,0.301241,0.276455,0.961929,-0.059533,0.273760,0.267369,0.979529,-0.042575,0.305692,0.244865,0.937477,-0.029856,0.289777,0.272653,-0.027595,0.248770,0.311768,,,,0.004431,0.301269,0.276363,-0.059456,0.273788,0.267374,-0.042612,0.305494,0.244717
4,0.066667,0.348098,0.735717,0.182862,-0.551461,0.019560,0.186647,0.177350,0.000140,-0.029949,0.289571,0.272183,0.884844,-0.027664,0.249321,0.311583,0.933866,0.019563,0.186648,0.177353,0.000000,0.004102,0.301498,0.276166,0.961929,-0.059699,0.273893,0.267145,0.979529,-0.042790,0.305795,0.244562,0.937477,-0.030046,0.289980,0.272391,-0.027738,0.249058,0.311605,,,,0.004233,0.301536,0.276072,-0.059615,0.273924,0.267154,-0.042833,0.305581,0.244418
5,0.083333,0.348194,0.736260,0.181727,-0.551051,0.019537,0.186678,0.177319,0.000140,-0.030146,0.289749,0.271900,0.881605,-0.027822,0.249592,0.311391,0.932543,0.019539,0.186679,0.177321,0.000000,0.003887,0.301731,0.275869,0.961122,-0.059872,0.274020,0.266886,0.976754,-0.042998,0.305894,0.244237,0.934897,-0.030246,0.290166,0.272102,-0.027886,0.249331,0.311418,,,,0.004006,0.301760,0.275772,-0.059789,0.274060,0.266880,-0.043035,0.305669,0.244112
