Format Version,1.23,Take Name,charlie_ear2ear_004,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.52.14.436 PM,Total Frames in Take,358,Total Exported Frames,358,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C5240","C5240","C5240","C5280","C5280","C5280","C4C10","C4C10","C4C10","C5050","C5050","C5050","C5260","C5260","C5260","C50D0","C50D0","C50D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.388286,0.769662,-0.279082,-0.423047,-0.038812,0.119527,0.081754,0.000217,-0.134529,0.232967,0.084515,0.936869,-0.118572,0.240549,0.138045,0.943579,-0.038811,0.119531,0.081754,0.000000,-0.109146,0.254043,0.069380,0.968397,-0.154360,0.210393,0.100434,0.905888,-0.150792,0.217110,0.058531,0.976724,,,,-0.134558,0.233218,0.084522,-0.118449,0.240663,0.138196,-0.109032,0.254017,0.069331,-0.154520,0.210101,0.100260,-0.150840,0.217064,0.058597
1,0.016667,0.388109,0.769738,-0.279537,-0.422769,-0.038805,0.119531,0.081778,0.000217,-0.134621,0.232888,0.084453,0.934933,-0.118672,0.240524,0.137977,0.943747,-0.038803,0.119534,0.081778,0.000000,-0.109255,0.253976,0.069303,0.969123,-0.154432,0.210310,0.100387,0.906646,-0.150869,0.216999,0.058480,0.976901,,,,-0.134642,0.233148,0.084460,-0.118554,0.240635,0.138133,-0.109149,0.253941,0.069250,-0.154586,0.210018,0.100212,-0.150918,0.216955,0.058545
2,0.033333,0.387825,0.769843,-0.280029,-0.422513,-0.038779,0.119541,0.081776,0.000232,-0.134717,0.232797,0.084383,0.934933,-0.118773,0.240485,0.137901,0.943747,-0.038777,0.119545,0.081776,0.000000,-0.109375,0.253902,0.069218,0.969123,-0.154503,0.210207,0.100333,0.906646,-0.150949,0.216873,0.058421,0.976901,,,,-0.134720,0.233073,0.084407,-0.118656,0.240601,0.138063,-0.109266,0.253866,0.069155,-0.154665,0.209900,0.100141,-0.151010,0.216824,0.058491
3,0.050000,0.387766,0.769730,-0.280519,-0.422447,-0.038800,0.119529,0.081787,0.000227,-0.134788,0.232743,0.084339,0.930284,-0.118826,0.240482,0.137845,0.944556,-0.038798,0.119532,0.081787,0.000000,-0.109462,0.253847,0.069147,0.968278,-0.154557,0.210158,0.100316,0.903949,-0.151024,0.216791,0.058397,0.973644,,,,-0.134783,0.233021,0.084368,-0.118717,0.240596,0.138000,-0.109357,0.253806,0.069088,-0.154706,0.209857,0.100129,-0.151094,0.216741,0.058458
4,0.066667,0.387616,0.769818,-0.280491,-0.422444,-0.038797,0.119529,0.081759,0.000224,-0.134817,0.232717,0.084335,0.930284,-0.118858,0.240448,0.137843,0.944556,-0.038795,0.119533,0.081759,0.000000,-0.109496,0.253831,0.069148,0.968278,-0.154580,0.210122,0.100306,0.903949,-0.151047,0.216765,0.058389,0.973644,,,,-0.134805,0.232997,0.084371,-0.118753,0.240559,0.137986,-0.109389,0.253792,0.069092,-0.154728,0.209823,0.100127,-0.151122,0.216711,0.058444
5,0.083333,0.387562,0.769960,-0.280416,-0.422284,-0.038768,0.119546,0.081801,0.000225,-0.134814,0.232712,0.084352,0.928786,-0.118878,0.240441,0.137867,0.947198,-0.038767,0.119550,0.081801,0.000000,-0.109492,0.253834,0.069177,0.968196,-0.154579,0.210112,0.100313,0.905046,-0.151031,0.216760,0.058398,0.974180,,,,-0.134806,0.232995,0.084388,-0.118772,0.240550,0.138014,-0.109387,0.253795,0.069116,-0.154730,0.209813,0.100134,-0.151099,0.216707,0.058455
