Format Version,1.23,Take Name,charlie_nziz_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.51.42.572 PM,Total Frames in Take,271,Total Exported Frames,271,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1084,Unlabeled 1084,Unlabeled 1084,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C5160","C5160","C5160","C50F0","C50F0","C50F0","C4C10","C4C10","C4C10","C51A0","C51A0","C51A0","C5050","C5050","C5050","C5130","C5130","C5130","C50D0","C50D0","C50D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.360319,0.701627,0.344114,-0.509387,0.019208,0.155289,0.186285,0.000259,-0.020731,0.247437,0.295607,0.914196,-0.033385,0.201176,0.325227,0.916150,0.019210,0.155289,0.186288,0.000000,0.014066,0.249679,0.305693,0.895940,-0.052037,0.240772,0.284130,0.912066,-0.025303,0.271220,0.271020,0.958284,,,,-0.020885,0.247132,0.295571,-0.033557,0.200891,0.325263,,,,0.014256,0.250049,0.305687,-0.051910,0.241059,0.284288,-0.025293,0.271152,0.270868
1,0.016667,0.360501,0.701622,0.344276,-0.509156,0.019232,0.155289,0.186291,0.000263,-0.020687,0.247474,0.295590,0.914335,-0.033377,0.201224,0.325211,0.915473,0.019234,0.155289,0.186294,0.000000,0.014108,0.249697,0.305686,0.896063,-0.051993,0.240825,0.284104,0.911503,-0.025238,0.271256,0.270998,0.956518,,,,-0.020840,0.247169,0.295559,-0.033549,0.200935,0.325248,,,,0.014300,0.250066,0.305684,-0.051868,0.241116,0.284262,-0.025230,0.271191,0.270837
2,0.033333,0.360893,0.701371,0.344490,-0.509080,0.019161,0.155305,0.186263,0.000268,-0.020637,0.247527,0.295575,0.914335,-0.033365,0.201289,0.325199,0.915473,0.019164,0.155305,0.186267,0.000000,0.014163,0.249715,0.305662,0.896063,-0.051952,0.240910,0.284097,0.911503,-0.025170,0.271315,0.270985,0.956518,,,,-0.020787,0.247211,0.295540,-0.033526,0.200991,0.325236,,,,0.014352,0.250091,0.305669,-0.051837,0.241229,0.284254,-0.025162,0.271235,0.270817
3,0.050000,0.361159,0.701343,0.344300,-0.509057,0.019170,0.155276,0.186269,0.000261,-0.020574,0.247566,0.295544,0.914526,-0.033302,0.201346,0.325196,0.916065,0.019172,0.155276,0.186272,0.000000,0.014230,0.249752,0.305619,0.894624,-0.051894,0.240950,0.284079,0.905920,-0.025109,0.271341,0.270942,0.950891,,,,-0.020723,0.247260,0.295515,-0.033456,0.201049,0.325223,,,,0.014417,0.250130,0.305629,-0.051793,0.241275,0.284239,-0.025094,0.271242,0.270774
4,0.066667,0.361361,0.701273,0.344260,-0.509039,0.019174,0.155277,0.186269,0.000259,-0.020518,0.247603,0.295531,0.914526,-0.033255,0.201394,0.325197,0.916065,0.019176,0.155277,0.186272,0.000000,0.014289,0.249781,0.305598,0.894624,-0.051843,0.240994,0.284075,0.905920,-0.025052,0.271374,0.270925,0.950891,,,,-0.020668,0.247295,0.295503,-0.033408,0.201099,0.325222,,,,0.014473,0.250159,0.305608,-0.051743,0.241317,0.284237,-0.025034,0.271276,0.270756
5,0.083333,0.361658,0.701038,0.344252,-0.509157,0.019110,0.155275,0.186235,0.000264,-0.020469,0.247629,0.295515,0.915613,-0.033210,0.201428,0.325192,0.916441,0.019112,0.155276,0.186238,0.000000,0.014345,0.249790,0.305561,0.894433,-0.051804,0.241034,0.284079,0.907284,-0.025006,0.271400,0.270911,0.951030,,,,-0.020623,0.247330,0.295491,-0.033366,0.201134,0.325217,,,,0.014542,0.250164,0.305571,-0.051700,0.241354,0.284235,-0.024996,0.271300,0.270743
