Format Version,1.23,Take Name,charlie_static,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.50.57.408 PM,Total Frames in Take,70,Total Exported Frames,70,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070
,ID,"C44A0","C44A0","C44A0","C4510","C4510","C4510","C4570","C4570","C4570","C4680","C4680","C4680","C4690","C4690","C4690","C46D0","C46D0","C46D0","C46E0","C46E0","C46E0","C4770","C4770","C4770","C47D0","C47D0","C47D0","C4830","C4830","C4830","C4850","C4850","C4850","C4900","C4900","C4900","C4940","C4940","C4940","C4A60","C4A60","C4A60","C4A70","C4A70","C4A70","C4A90","C4A90","C4A90","C4AD0","C4AD0","C4AD0","C4AF0","C4AF0","C4AF0","C4B00","C4B00","C4B00","C4B10","C4B10","C4B10","C4B50","C4B50","C4B50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.076566,0.217185,0.152026,0.024836,0.237901,0.147237,-0.019991,0.219570,0.065811,0.099088,0.162995,0.154571,0.103392,0.217513,0.091895,0.043464,0.252167,0.078563,-0.022701,0.220196,0.134896,0.122061,0.148183,0.101785,0.087416,0.138230,0.000978,0.056449,0.216246,0.010861,0.003601,0.195597,0.009902,0.116101,0.137512,0.044550,0.056964,0.139314,-0.004179,0.103722,0.190970,0.027988,-0.017779,0.142015,0.017722,0.052821,0.176185,0.193273,0.021924,0.174804,0.188835,-0.005610,0.179468,0.180077,-0.044129,0.165310,0.130604,-0.046231,0.151655,0.072164,0.026775,0.142161,-0.009260
1,0.016667,0.076567,0.217186,0.152026,0.024832,0.237903,0.147234,-0.019983,0.219564,0.065809,0.099089,0.162994,0.154572,0.103375,0.217514,0.091914,0.043464,0.252161,0.078563,-0.022698,0.220197,0.134896,0.122064,0.148184,0.101786,0.087419,0.138235,0.000975,0.056450,0.216244,0.010862,0.003625,0.195599,0.009932,0.116104,0.137515,0.044549,0.056964,0.139317,-0.004180,0.103724,0.190967,0.027990,-0.017777,0.142016,0.017724,0.052822,0.176186,0.193275,0.021924,0.174804,0.188838,-0.005608,0.179465,0.180078,-0.044121,0.165316,0.130611,-0.046237,0.151664,0.072167,0.026769,0.142164,-0.009262
2,0.033333,0.076555,0.217207,0.152025,0.024834,0.237898,0.147230,-0.019991,0.219570,0.065810,0.099087,0.162995,0.154570,0.103375,0.217514,0.091917,0.043463,0.252164,0.078564,-0.022701,0.220195,0.134895,0.122044,0.148174,0.101786,0.087418,0.138232,0.000977,0.056449,0.216245,0.010861,0.003600,0.195597,0.009903,0.116102,0.137514,0.044549,0.056964,0.139315,-0.004179,0.103724,0.190967,0.027989,-0.017782,0.142021,0.017722,0.052820,0.176186,0.193275,0.021921,0.174807,0.188838,-0.005608,0.179466,0.180078,-0.044122,0.165309,0.130600,-0.046238,0.151664,0.072166,0.026775,0.142162,-0.009262
3,0.050000,0.076567,0.217183,0.152024,0.024829,0.237903,0.147235,-0.019988,0.219568,0.065811,0.099088,0.162995,0.154573,0.103373,0.217514,0.091916,0.043465,0.252163,0.078565,-0.022699,0.220196,0.134899,0.122041,0.148174,0.101787,0.087419,0.138234,0.000976,0.056450,0.216244,0.010861,0.003624,0.195594,0.009936,0.116104,0.137515,0.044551,0.056964,0.139311,-0.004177,0.103723,0.190970,0.027992,-0.017780,0.142015,0.017722,0.052820,0.176186,0.193275,0.021925,0.174805,0.188838,-0.005608,0.179466,0.180081,-0.044122,0.165316,0.130611,-0.046233,0.151656,0.072163,0.026775,0.142148,-0.009256
4,0.066667,0.076567,0.217185,0.152037,0.024837,0.237901,0.147237,-0.019989,0.219570,0.065811,0.099089,0.162995,0.154571,0.103375,0.217514,0.091917,0.043487,0.252146,0.078547,-0.022700,0.220197,0.134898,0.122040,0.148174,0.101787,0.087419,0.138233,0.000976,0.056450,0.216244,0.010863,0.003625,0.195603,0.009932,0.116105,0.137515,0.044554,0.056965,0.139315,-0.004180,0.103724,0.190968,0.027991,-0.017780,0.142017,0.017721,0.052821,0.176189,0.193277,0.021923,0.174804,0.188839,-0.005607,0.179469,0.180079,-0.044121,0.165317,0.130614,-0.046238,0.151664,0.072163,0.026772,0.142158,-0.009261
5,0.083333,0.076565,0.217185,0.152035,0.024835,0.237900,0.147234,-0.019981,0.219565,0.065809,0.099086,0.162999,0.154569,0.103374,0.217514,0.091916,0.043485,0.252143,0.078545,-0.022701,0.220197,0.134895,0.122060,0.148188,0.101786,0.087419,0.138235,0.000976,0.056450,0.216245,0.010862,0.003627,0.195599,0.009933,0.116102,0.137514,0.044554,0.056964,0.139316,-0.004180,0.103720,0.190965,0.027990,-0.017781,0.142017,0.017724,0.052820,0.176184,0.193276,0.021924,0.174806,0.188840,-0.005609,0.179468,0.180079,-0.044121,0.165318,0.130609,-0.046239,0.151663,0.072166,0.026772,0.142161,-0.009263
