Format Version,1.23,Take Name,danielle_circum_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.16.643 PM,Total Frames in Take,480,Total Exported Frames,480,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C3DD0","C3DD0","C3DD0","C3E00","C3E00","C3E00","C3E10","C3E10","C3E10","C3DA0","C3DA0","C3DA0","C3A20","C3A20","C3A20","C3DB0","C3DB0","C3DB0","C3D90","C3D90","C3D90","C3B80","C3B80","C3B80","C3B50","C3B50","C3B50"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.264317,-0.007668,-0.863981,-0.428502,0.007345,0.188576,0.187510,0.000231,-0.041705,0.253441,0.311705,0.923651,-0.049838,0.299507,0.280251,0.954549,0.007341,0.188577,0.187510,0.000000,-0.074281,0.238475,0.306007,0.940101,-0.010532,0.267020,0.311944,0.904831,-0.023054,0.229971,0.328802,0.955759,,,,,,,,,,-0.041659,0.253141,0.311675,-0.049772,0.299596,0.280107,,,,-0.074484,0.238495,0.306131,-0.010458,0.267377,0.312052,-0.023036,0.229804,0.328745
1,0.016667,-0.263757,-0.005459,-0.863831,-0.429183,0.007316,0.188532,0.187537,0.000240,-0.041922,0.253148,0.311788,0.921713,-0.049853,0.299327,0.280449,0.958355,0.007312,0.188532,0.187537,0.000000,-0.074518,0.238280,0.305954,0.940686,-0.010717,0.266649,0.312154,0.894123,-0.023377,0.229581,0.328867,0.950212,,,,,,,,,,-0.041858,0.252842,0.311777,-0.049784,0.299391,0.280311,,,,-0.074718,0.238302,0.306081,-0.010628,0.267051,0.312253,-0.023400,0.229399,0.328790
2,0.033333,-0.266866,-0.005309,-0.859255,-0.436389,0.005016,0.187683,0.187402,0.000344,-0.042206,0.253209,0.311958,0.921713,-0.049612,0.299486,0.280635,0.958355,0.005012,0.187683,0.187403,0.000000,-0.075086,0.238875,0.306387,0.940686,-0.010780,0.266194,0.312075,0.894123,-0.023922,0.229354,0.328920,0.950212,,,,,,,,,,-0.042103,0.252510,0.311823,-0.049840,0.299236,0.280476,,,,-0.075109,0.239683,0.306391,-0.010846,0.266626,0.312423,-0.023709,0.229067,0.328861
3,0.050000,-0.266263,-0.002767,-0.859418,-0.436460,0.005053,0.187784,0.187374,0.000362,-0.042499,0.252899,0.312020,0.828798,-0.049738,0.299305,0.280849,0.901196,0.005049,0.187785,0.187374,0.000000,-0.075379,0.238631,0.306284,0.793545,-0.011056,0.265842,0.312291,0.846539,-0.024303,0.228956,0.328952,0.892678,,,,,,,,,,-0.042395,0.252231,0.311913,-0.049957,0.299029,0.280669,,,,-0.075390,0.239456,0.306303,-0.011125,0.266344,0.312637,-0.024108,0.228581,0.328875
4,0.066667,-0.262048,0.001059,-0.863838,-0.430248,0.007176,0.188440,0.187577,0.000252,-0.042790,0.252169,0.311996,0.828798,-0.050211,0.298677,0.281019,0.901196,0.007172,0.188441,0.187578,0.000000,-0.075412,0.237528,0.305747,0.793545,-0.011519,0.265501,0.312753,0.846539,-0.024514,0.228348,0.329014,0.892678,,,,,,,,,,-0.042743,0.251813,0.311962,-0.050130,0.298762,0.280854,,,,-0.075614,0.237580,0.305895,-0.011455,0.265933,0.312882,-0.024504,0.228136,0.328936
5,0.083333,-0.265456,0.001381,-0.859598,-0.436603,0.004885,0.187684,0.187364,0.000347,-0.043155,0.252117,0.312178,0.826795,-0.050130,0.298735,0.281265,0.901872,0.004881,0.187684,0.187365,0.000000,-0.076038,0.237961,0.306184,0.792091,-0.011685,0.264984,0.312691,0.855321,-0.025101,0.228024,0.329050,0.901406,,,,,,,,,,-0.043041,0.251448,0.312035,-0.050358,0.298461,0.281103,,,,-0.076058,0.238792,0.306199,-0.011761,0.265436,0.313045,-0.024892,0.227696,0.328987
