Format Version,1.23,Take Name,danielle_nziz_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.49.03.460 PM,Total Frames in Take,395,Total Exported Frames,395,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C3CB0","C3CB0","C3CB0","C3CD0","C3CD0","C3CD0","C3C80","C3C80","C3C80","C3C00","C3C00","C3C00","C3CA0","C3CA0","C3CA0","C3C70","C3C70","C3C70","C3B80","C3B80","C3B80","C3B50","C3B50","C3B50"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.327572,-0.027253,0.803344,0.496581,0.009623,0.153501,0.190000,0.000345,-0.013091,0.215138,0.323127,0.940346,-0.015399,0.264488,0.295982,0.898233,0.009619,0.153502,0.190001,0.000000,-0.048342,0.206960,0.320294,0.930088,0.019968,0.222693,0.320622,0.911681,0.002356,0.187239,0.336322,0.923135,,,,,,,-0.013160,0.214911,0.323107,-0.015245,0.264788,0.295754,,,,-0.048533,0.206857,0.320471,0.020056,0.223031,0.320677,0.002373,0.186933,0.336338
1,0.016667,0.326052,-0.023343,0.803967,0.496771,0.009633,0.153508,0.189927,0.000335,-0.013115,0.216139,0.322583,0.944000,-0.015590,0.265265,0.295050,0.901256,0.009629,0.153509,0.189928,0.000000,-0.048347,0.207840,0.319852,0.930652,0.019919,0.223766,0.319984,0.912447,0.002423,0.188389,0.335983,0.923091,,,,,,,-0.013178,0.215926,0.322555,-0.015437,0.265552,0.294826,,,,-0.048531,0.207736,0.320032,0.019999,0.224103,0.320037,0.002435,0.188082,0.336002
2,0.033333,0.325105,-0.018466,0.804824,0.496209,0.009697,0.153573,0.189865,0.000343,-0.012998,0.217212,0.322050,0.944000,-0.015788,0.266090,0.294110,0.901256,0.009693,0.153574,0.189866,0.000000,-0.048196,0.208719,0.319487,0.930652,0.019992,0.224978,0.319295,0.912447,0.002712,0.189653,0.335642,0.923091,,,,,,,-0.013047,0.216993,0.322003,-0.015596,0.266344,0.293887,,,,-0.048386,0.208615,0.319695,0.020033,0.225391,0.319344,0.002719,0.189309,0.335654
3,0.050000,0.324603,-0.014466,0.804529,0.497148,0.009517,0.153620,0.189705,0.000343,-0.012780,0.218237,0.321483,0.933041,-0.015704,0.266901,0.293184,0.903020,0.009513,0.153622,0.189706,0.000000,-0.047980,0.209698,0.319102,0.930716,0.020193,0.226007,0.318557,0.911002,0.002998,0.190793,0.335228,0.926175,,,,,,,-0.012852,0.217984,0.321431,-0.015565,0.267189,0.292965,,,,-0.048174,0.209616,0.319283,0.020295,0.226345,0.318607,0.003022,0.190501,0.335269
4,0.066667,0.322683,-0.011015,0.804819,0.498017,0.009747,0.153732,0.189613,0.000332,-0.012597,0.219381,0.320871,0.933041,-0.015578,0.267813,0.292183,0.903020,0.009743,0.153733,0.189613,0.000000,-0.047788,0.210785,0.318566,0.930716,0.020368,0.227163,0.317877,0.911002,0.003213,0.192065,0.334834,0.926175,,,,,,,-0.012648,0.219117,0.320852,-0.015394,0.268055,0.291958,,,,-0.047964,0.210711,0.318765,0.020409,0.227588,0.317913,0.003214,0.191735,0.334844
5,0.083333,0.322778,-0.006372,0.801410,0.503504,0.008398,0.153488,0.189595,0.000259,-0.012403,0.220757,0.320286,0.891146,-0.015144,0.268901,0.291095,0.936780,0.008394,0.153489,0.189596,0.000000,-0.047687,0.212463,0.318323,0.914697,0.020610,0.228200,0.316976,0.895487,0.003255,0.193448,0.334433,0.902995,,,,,,,-0.012503,0.220346,0.320182,-0.015187,0.269011,0.290871,,,,-0.047635,0.212773,0.318455,0.020611,0.228568,0.317173,0.003345,0.193070,0.334432
