Format Version,1.23,Take Name,danielle_static,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-07 01.48.06.420 PM,Total Frames in Take,183,Total Exported Frames,183,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020
,ID,"C3520","C3520","C3520","C3530","C3530","C3530","C3540","C3540","C3540","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35B0","C35B0","C35B0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3630","C3630","C3630","C3650","C3650","C3650","C3660","C3660","C3660","C3690","C3690","C3690","C36A0","C36A0","C36A0","C36B0","C36B0","C36B0","C36E0","C36E0","C36E0","C3740","C3740","C3740"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.036130,0.126393,0.000770,0.009631,0.206219,0.008575,0.058219,0.180148,0.019736,-0.022247,0.129229,0.002476,0.012060,0.247385,0.073598,0.005587,0.127676,0.000126,-0.042724,0.225511,0.143156,-0.042220,0.187779,0.019525,0.006738,0.243105,0.143915,0.072805,0.212122,0.079168,0.007887,0.183105,0.189505,0.035617,0.180311,0.189633,0.086438,0.143784,0.093155,0.057946,0.219308,0.142864,0.069719,0.129543,0.039690,0.078083,0.163008,0.145922,-0.075807,0.154594,0.091516,-0.065018,0.171088,0.146187,-0.019539,0.186718,0.185601,-0.054883,0.219782,0.075495,-0.060259,0.136271,0.037020
1,0.016667,0.036130,0.126392,0.000771,0.009632,0.206218,0.008575,0.058219,0.180130,0.019749,-0.022248,0.129220,0.002480,0.012059,0.247387,0.073598,0.005579,0.127681,0.000119,-0.042712,0.225500,0.143152,-0.042221,0.187777,0.019525,0.006739,0.243108,0.143916,0.072804,0.212122,0.079170,0.007886,0.183108,0.189503,0.035617,0.180311,0.189633,0.086440,0.143783,0.093155,0.057947,0.219310,0.142865,0.069717,0.129543,0.039690,0.078081,0.163012,0.145921,-0.075808,0.154596,0.091516,-0.065015,0.171087,0.146188,-0.019537,0.186718,0.185610,-0.054881,0.219781,0.075493,-0.060257,0.136273,0.037023
2,0.033333,0.036130,0.126389,0.000773,0.009632,0.206220,0.008574,0.058217,0.180128,0.019746,-0.022246,0.129220,0.002476,0.012070,0.247369,0.073595,0.005586,0.127674,0.000126,-0.042715,0.225500,0.143152,-0.042218,0.187778,0.019521,0.006737,0.243109,0.143918,0.072804,0.212123,0.079172,0.007887,0.183108,0.189504,0.035619,0.180312,0.189633,0.086439,0.143785,0.093155,0.057944,0.219315,0.142865,0.069717,0.129547,0.039690,0.078081,0.163009,0.145920,-0.075806,0.154594,0.091516,-0.065016,0.171086,0.146185,-0.019536,0.186717,0.185609,-0.054882,0.219781,0.075494,-0.060257,0.136271,0.037024
3,0.050000,0.036129,0.126391,0.000769,0.009629,0.206218,0.008575,0.058220,0.180128,0.019746,-0.022243,0.129223,0.002479,0.012060,0.247384,0.073597,0.005579,0.127676,0.000124,-0.042723,0.225514,0.143156,-0.042223,0.187783,0.019523,0.006737,0.243111,0.143916,0.072803,0.212125,0.079168,0.007887,0.183108,0.189506,0.035618,0.180312,0.189633,0.086438,0.143782,0.093156,0.057945,0.219312,0.142866,0.069715,0.129541,0.039689,0.078078,0.163007,0.145921,-0.075809,0.154600,0.091516,-0.065018,0.171092,0.146182,-0.019537,0.186716,0.185608,-0.054882,0.219780,0.075493,-0.060257,0.136250,0.037018
4,0.066667,0.036129,0.126393,0.000769,0.009632,0.206217,0.008573,0.058221,0.180146,0.019736,-0.022249,0.129222,0.002475,0.012061,0.247385,0.073598,0.005580,0.127676,0.000127,-0.042714,0.225497,0.143152,-0.042220,0.187776,0.019524,0.006738,0.243108,0.143916,0.072802,0.212122,0.079171,0.007887,0.183107,0.189504,0.035617,0.180311,0.189633,0.086437,0.143784,0.093154,0.057943,0.219312,0.142864,0.069719,0.129544,0.039690,0.078083,0.163013,0.145922,-0.075808,0.154595,0.091517,-0.065014,0.171090,0.146188,-0.019535,0.186717,0.185609,-0.054883,0.219779,0.075492,-0.060258,0.136255,0.037018
5,0.083333,0.036128,0.126389,0.000772,0.009631,0.206220,0.008575,0.058220,0.180129,0.019749,-0.022246,0.129224,0.002476,0.012069,0.247369,0.073594,0.005582,0.127680,0.000124,-0.042714,0.225501,0.143152,-0.042221,0.187779,0.019524,0.006736,0.243107,0.143918,0.072801,0.212123,0.079170,0.007888,0.183107,0.189505,0.035614,0.180312,0.189633,0.086438,0.143784,0.093155,0.057946,0.219311,0.142864,0.069718,0.129543,0.039692,0.078082,0.163009,0.145924,-0.075809,0.154598,0.091516,-0.065018,0.171087,0.146186,-0.019537,0.186715,0.185610,-0.054882,0.219780,0.075493,-0.060256,0.136274,0.037020
