Format Version,1.23,Take Name,brenda_ear2ear_007,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.16.53.602 AM,Total Frames in Take,429,Total Exported Frames,429,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C8480","C8480","C8480","C83C0","C83C0","C83C0","BB68FEFB895611EC97A319E8FC9C4E91","BB68FEFB895611EC97A319E8FC9C4E91","BB68FEFB895611EC97A319E8FC9C4E91","C84A0","C84A0","C84A0","C84D0","C84D0","C84D0","C83D0","C83D0","C83D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.056267,0.924260,0.251951,-0.281246,-0.003917,0.222569,0.126023,0.000380,-0.139607,0.274225,0.156970,0.703298,-0.147344,0.226492,0.185939,0.922044,-0.003918,0.222570,0.126027,0.000000,-0.125430,0.293592,0.184200,0.919195,-0.148816,0.252973,0.132075,0.934465,-0.136411,0.293562,0.128563,0.904423,-0.140080,0.275310,0.157063,-0.147129,0.226306,0.186068,,,,-0.125413,0.293280,0.184283,-0.148913,0.252819,0.131887,-0.136148,0.293303,0.128461
1,0.016667,0.056077,0.924231,0.252042,-0.281295,-0.003907,0.222584,0.126078,0.000384,-0.139614,0.274188,0.157040,0.703298,-0.147335,0.226444,0.185994,0.922044,-0.003908,0.222586,0.126082,0.000000,-0.125443,0.293552,0.184276,0.919195,-0.148816,0.252941,0.132139,0.934465,-0.136424,0.293534,0.128638,0.904423,-0.140083,0.275288,0.157127,-0.147113,0.226277,0.186124,,,,-0.125438,0.293219,0.184354,-0.148915,0.252795,0.131950,-0.136161,0.293264,0.128547
2,0.033333,0.055939,0.924118,0.252218,-0.281538,-0.003910,0.222566,0.126128,0.000384,-0.139617,0.274119,0.157173,0.700342,-0.147313,0.226358,0.186108,0.923266,-0.003910,0.222567,0.126132,0.000000,-0.125439,0.293473,0.184412,0.914419,-0.148824,0.252880,0.132265,0.935497,-0.136444,0.293479,0.128779,0.902936,-0.140075,0.275230,0.157260,-0.147085,0.226204,0.186218,,,,-0.125441,0.293146,0.184486,-0.148932,0.252740,0.132074,-0.136181,0.293175,0.128714
3,0.050000,0.055893,0.923973,0.252413,-0.281847,-0.003931,0.222503,0.126176,0.000375,-0.139625,0.274025,0.157328,0.698523,-0.147299,0.226249,0.186244,0.925922,-0.003931,0.222505,0.126180,0.000000,-0.125433,0.293367,0.184569,0.916244,-0.148845,0.252798,0.132416,0.934736,-0.136472,0.293400,0.128943,0.898209,-0.140144,0.275122,0.157401,-0.147073,0.226090,0.186359,,,,-0.125405,0.293063,0.184649,-0.148933,0.252660,0.132213,-0.136209,0.293094,0.128892
4,0.066667,0.055667,0.923691,0.252887,-0.282391,-0.003933,0.222467,0.126161,0.000398,-0.139617,0.273897,0.157511,0.697765,-0.147243,0.226084,0.186377,0.927762,-0.003934,0.222468,0.126165,0.000000,-0.125405,0.293213,0.184760,0.923511,-0.148853,0.252697,0.132582,0.929064,-0.136500,0.293308,0.129145,0.899117,-0.140030,0.275026,0.157639,-0.147034,0.225911,0.186478,,,,-0.125401,0.292915,0.184833,-0.148963,0.252548,0.132367,-0.136260,0.292990,0.129080
5,0.083333,0.056071,0.923249,0.253357,-0.283332,-0.004019,0.222268,0.125945,0.000396,-0.139605,0.273747,0.157635,0.688149,-0.147197,0.225910,0.186471,0.925694,-0.004020,0.222269,0.125949,0.000000,-0.125324,0.293028,0.184873,0.913430,-0.148907,0.252576,0.132706,0.941390,-0.136538,0.293183,0.129282,0.905658,-0.140051,0.274901,0.157799,-0.146996,0.225728,0.186591,,,,-0.125336,0.292683,0.184845,-0.148977,0.252451,0.132520,-0.136294,0.292898,0.129241
