Format Version,1.23,Take Name,brenda_nziz_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.16.28.155 AM,Total Frames in Take,320,Total Exported Frames,320,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C8330","C8330","C8330","C8340","C8340","C8340","C8380","C8380","C8380","C8300","C8300","C8300","C8320","C8320","C8320","C8350","C8350","C8350"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.307163,0.596982,0.379180,-0.636778,0.073926,0.240235,0.227568,0.000183,0.057952,0.297643,0.363535,0.935090,0.053297,0.244457,0.381624,0.955971,0.073930,0.240234,0.227571,0.000000,0.094076,0.299997,0.366193,0.951809,0.025002,0.291667,0.357637,0.974092,0.047435,0.326505,0.347805,0.929077,0.057934,0.297384,0.363551,0.053210,0.244319,0.381689,,,,0.094038,0.300177,0.366135,0.025080,0.291617,0.357684,0.047501,0.326772,0.347734
1,0.016667,0.306142,0.597177,0.379572,-0.636853,0.073867,0.240326,0.227533,0.000176,0.057681,0.297493,0.363577,0.935090,0.053053,0.244274,0.381571,0.955971,0.073870,0.240326,0.227536,0.000000,0.093800,0.299876,0.366280,0.951809,0.024744,0.291497,0.357630,0.974092,0.047157,0.326372,0.347882,0.929077,0.057651,0.297298,0.363632,0.052966,0.244123,0.381633,,,,0.093751,0.300035,0.366204,0.024839,0.291431,0.357665,0.047229,0.326625,0.347807
2,0.033333,0.303401,0.597925,0.379908,-0.637262,0.074104,0.240790,0.227497,0.000228,0.057338,0.297410,0.363699,0.948787,0.052853,0.244110,0.381490,0.953784,0.074107,0.240789,0.227499,0.000000,0.093441,0.299914,0.366511,0.954090,0.024439,0.291317,0.357640,0.969710,0.046753,0.326307,0.348079,0.931598,0.057321,0.297110,0.363690,0.052695,0.243930,0.381594,,,,0.093494,0.300154,0.366432,0.024527,0.291223,0.357667,0.046788,0.326642,0.348034
3,0.050000,0.303122,0.599851,0.378681,-0.636315,0.074139,0.240068,0.227676,0.000143,0.056824,0.297077,0.363646,0.924642,0.052410,0.243823,0.381592,0.934691,0.074142,0.240068,0.227678,0.000000,0.092912,0.299674,0.366561,0.935388,0.023958,0.290888,0.357507,0.967136,0.046219,0.325900,0.347903,0.915188,0.056856,0.296871,0.363715,0.052220,0.243659,0.381523,,,,0.093014,0.300010,0.366553,0.024047,0.291048,0.357646,0.046187,0.325774,0.347771
4,0.066667,0.302175,0.600792,0.379250,-0.635539,0.074109,0.239965,0.227707,0.000140,0.056338,0.296872,0.363662,0.942035,0.051888,0.243603,0.381556,0.942685,0.074112,0.239965,0.227710,0.000000,0.092416,0.299481,0.366693,0.912759,0.023494,0.290673,0.357413,0.944763,0.045772,0.325701,0.347905,0.953084,0.056345,0.296650,0.363731,0.051725,0.243465,0.381474,,,,0.092495,0.299821,0.366687,0.023548,0.290827,0.357562,0.045796,0.325568,0.347775
5,0.083333,0.301353,0.600733,0.380633,-0.635157,0.073756,0.240114,0.227637,0.000108,0.055796,0.296697,0.363702,0.963193,0.051255,0.243388,0.381453,0.959682,0.073759,0.240113,0.227639,0.000000,0.091871,0.299259,0.366806,0.952441,0.022957,0.290550,0.357377,0.961509,0.045291,0.325578,0.347998,0.972212,0.055767,0.296587,0.363796,0.051147,0.243277,0.381410,,,,0.091875,0.299446,0.366771,0.023069,0.290603,0.357468,0.045312,0.325559,0.347891
