Format Version,1.23,Take Name,charlie_circum_001,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.10.47.936 AM,Total Frames in Take,498,Total Exported Frames,498,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C6A20","C6A20","C6A20","C6990","C6990","C6990","C6AA0","C6AA0","C6AA0","C6A50","C6A50","C6A50","C6A70","C6A70","C6A70","C6A60","C6A60","C6A60"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.444745,0.670879,0.302936,-0.510247,0.034587,0.186337,0.203989,0.000122,0.017190,0.294176,0.304517,0.946262,0.004236,0.253231,0.341031,0.945929,0.034590,0.186337,0.203991,0.000000,0.053038,0.293904,0.310211,0.970559,-0.015783,0.289552,0.297617,0.954606,0.011729,0.315307,0.277782,0.951193,0.017132,0.294330,0.304656,0.004148,0.253034,0.341043,,,,0.053023,0.293988,0.310130,-0.015643,0.289637,0.297696,0.011751,0.315182,0.277634
1,0.016667,0.443968,0.670183,0.303039,-0.511776,0.034556,0.186351,0.203944,0.000123,0.017246,0.293895,0.304803,0.946262,0.004424,0.252835,0.341234,0.945929,0.034559,0.186351,0.203947,0.000000,0.053107,0.293652,0.310417,0.970559,-0.015736,0.289249,0.297963,0.954606,0.011700,0.315091,0.278138,0.951193,0.017194,0.294052,0.304945,0.004341,0.252627,0.341250,,,,0.053103,0.293731,0.310349,-0.015609,0.289344,0.298037,0.011711,0.314969,0.277972
2,0.033333,0.443363,0.669915,0.302425,-0.513013,0.034596,0.186284,0.204024,0.000120,0.017290,0.293688,0.305033,0.945481,0.004624,0.252565,0.341447,0.943787,0.034599,0.186284,0.204027,0.000000,0.053163,0.293509,0.310571,0.973920,-0.015698,0.288984,0.298258,0.956051,0.011646,0.314902,0.278402,0.948339,0.017246,0.293863,0.305180,0.004536,0.252341,0.341455,,,,0.053148,0.293608,0.310492,-0.015592,0.289082,0.298351,0.011686,0.314754,0.278233
3,0.050000,0.442713,0.669299,0.302111,-0.514560,0.034533,0.186332,0.203964,0.000119,0.017319,0.293508,0.305231,0.941850,0.004813,0.252292,0.341596,0.939919,0.034536,0.186332,0.203967,0.000000,0.053207,0.293375,0.310677,0.968086,-0.015678,0.288765,0.298532,0.957173,0.011573,0.314765,0.278657,0.943062,0.017280,0.293656,0.305357,0.004728,0.252087,0.341617,,,,0.053212,0.293457,0.310613,-0.015563,0.288863,0.298600,0.011577,0.314640,0.278508
4,0.066667,0.442339,0.668942,0.301570,-0.515662,0.034450,0.186289,0.204006,0.000124,0.017297,0.293354,0.305400,0.945064,0.004925,0.252090,0.341756,0.938204,0.034452,0.186290,0.204009,0.000000,0.053196,0.293267,0.310771,0.966447,-0.015708,0.288571,0.298767,0.958336,0.011466,0.314626,0.278857,0.946489,0.017253,0.293519,0.305538,0.004818,0.251868,0.341771,,,,0.053235,0.293371,0.310695,-0.015600,0.288671,0.298844,0.011471,0.314478,0.278702
5,0.083333,0.441401,0.668788,0.301121,-0.516928,0.034480,0.186326,0.203943,0.000137,0.017248,0.293190,0.305535,0.940940,0.005034,0.251840,0.341846,0.936008,0.034483,0.186326,0.203946,0.000000,0.053156,0.293179,0.310845,0.972115,-0.015757,0.288340,0.298949,0.953961,0.011322,0.314490,0.279035,0.944545,0.017209,0.293378,0.305672,0.004948,0.251601,0.341876,,,,0.053133,0.293261,0.310773,-0.015626,0.288440,0.299031,0.011340,0.314358,0.278857
