Format Version,1.23,Take Name,charlie_ear2ear_002,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.11.04.287 AM,Total Frames in Take,415,Total Exported Frames,415,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C6AE0","C6AE0","C6AE0","C6B30","C6B30","C6B30","C6B50","C6B50","C6B50","C6B10","C6B10","C6B10","C6AD0","C6AD0","C6AD0","C6B20","C6B20","C6B20"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.025735,0.850103,0.498320,-0.168341,-0.035831,0.117209,0.107886,0.001396,-0.175598,0.161459,0.131230,0.874448,-0.189474,0.106854,0.129404,0.629104,-0.035832,0.117208,0.107890,0.000001,-0.168596,0.162982,0.166815,0.930700,-0.178314,0.156595,0.097687,0.925728,-0.165921,0.191866,0.118084,0.882555,-0.175707,0.161013,0.131435,-0.189147,0.108210,0.128898,-0.032045,0.119215,0.109097,-0.168574,0.163018,0.167089,-0.178407,0.156320,0.097750,-0.166043,0.191436,0.117939
1,0.016667,-0.025974,0.849892,0.498635,-0.168440,-0.035842,0.117207,0.107865,0.001402,-0.175627,0.161380,0.131248,0.874448,-0.189481,0.106771,0.129377,0.629104,-0.035844,0.117206,0.107868,0.000001,-0.168625,0.162877,0.166833,0.930700,-0.178342,0.156543,0.097700,0.925728,-0.165963,0.191802,0.118126,0.882555,-0.175734,0.160937,0.131458,-0.189161,0.108150,0.128860,-0.032052,0.119213,0.109094,-0.168598,0.162908,0.167105,-0.178424,0.156260,0.097767,-0.166097,0.191373,0.117978
2,0.033333,-0.026179,0.849721,0.498885,-0.168533,-0.035841,0.117202,0.107865,0.001411,-0.175641,0.161309,0.131280,0.874528,-0.189475,0.106696,0.129374,0.623250,-0.035842,0.117201,0.107868,0.000001,-0.168639,0.162784,0.166867,0.931154,-0.178355,0.156493,0.097730,0.924470,-0.165989,0.191743,0.118179,0.881800,-0.175748,0.160871,0.131477,-0.189153,0.108087,0.128856,-0.032046,0.119212,0.109099,-0.168609,0.162808,0.167166,-0.178436,0.156208,0.097789,-0.166125,0.191311,0.118024
3,0.050000,-0.025436,0.849577,0.499259,-0.168265,-0.035892,0.116905,0.107784,0.001397,-0.175611,0.161229,0.131273,0.877132,-0.189536,0.106641,0.129341,0.620248,-0.035893,0.116904,0.107787,0.000001,-0.168594,0.162674,0.166857,0.924491,-0.178344,0.156436,0.097721,0.924623,-0.165913,0.191655,0.118184,0.880474,-0.175770,0.160818,0.131505,-0.189157,0.108036,0.128845,-0.032042,0.119192,0.109100,-0.168586,0.162660,0.167096,-0.178450,0.156150,0.097812,-0.166000,0.191218,0.118008
4,0.066667,-0.026365,0.850361,0.497224,-0.170175,-0.035857,0.117040,0.107873,0.001138,-0.175712,0.160881,0.131458,0.944876,-0.189415,0.106228,0.129773,0.000000,-0.035858,0.117039,0.107877,0.000001,-0.168632,0.162498,0.167022,0.970075,-0.178491,0.155942,0.097930,0.947230,-0.166166,0.191294,0.118228,0.965893,-0.175778,0.160698,0.131561,,,,-0.032047,0.119193,0.109097,-0.168608,0.162572,0.167113,-0.178460,0.156120,0.097822,-0.166193,0.191203,0.118130
5,0.083333,-0.026626,0.850516,0.497028,-0.169929,-0.035838,0.117052,0.108043,0.001166,-0.175722,0.160867,0.131507,0.944259,-0.189409,0.106210,0.129833,0.000000,-0.035840,0.117051,0.108047,0.000001,-0.168669,0.162499,0.167076,0.954759,-0.178475,0.155913,0.097979,0.942237,-0.166173,0.191276,0.118272,0.963533,-0.175780,0.160663,0.131576,,,,-0.032053,0.119218,0.109098,-0.168647,0.162579,0.167237,-0.178461,0.156100,0.097843,-0.166204,0.191184,0.118163
