Format Version,1.23,Take Name,charlie_ear2ear_shifted2_006,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.12.23.257 AM,Total Frames in Take,358,Total Exported Frames,358,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C7020","C7020","C7020","C6EC0","C6EC0","C6EC0","C7010","C7010","C7010","C6ED0","C6ED0","C6ED0","C6FF0","C6FF0","C6FF0","C6F90","C6F90","C6F90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.290300,0.878568,0.058379,-0.374749,-0.145557,0.118461,0.100930,0.000160,-0.246362,0.221330,0.136908,0.000000,-0.251270,0.194263,0.186109,0.983923,-0.145556,0.118464,0.100932,0.000000,-0.219391,0.243511,0.146815,0.934883,-0.268305,0.196723,0.128590,0.000000,-0.250737,0.225859,0.102975,0.945589,,,,-0.251258,0.194252,0.186172,,,,-0.219546,0.243412,0.146631,,,,-0.250594,0.225969,0.103097
1,0.016667,0.290378,0.878535,0.058435,-0.374756,-0.145565,0.118461,0.100926,0.000160,-0.246348,0.221348,0.136910,0.000000,-0.251261,0.194279,0.186110,0.983923,-0.145564,0.118463,0.100928,0.000000,-0.219372,0.243523,0.146818,0.934883,-0.268296,0.196745,0.128591,0.000000,-0.250723,0.225879,0.102978,0.945589,,,,-0.251248,0.194272,0.186168,,,,-0.219526,0.243424,0.146640,,,,-0.250583,0.225986,0.103098
2,0.033333,0.290507,0.878514,0.058396,-0.374711,-0.145574,0.118456,0.100915,0.000158,-0.246337,0.221372,0.136877,0.000000,-0.251256,0.194314,0.186083,0.985042,-0.145573,0.118459,0.100918,0.000000,-0.219357,0.243543,0.146782,0.936217,-0.268290,0.196772,0.128563,0.000000,-0.250710,0.225898,0.102944,0.946684,,,,-0.251243,0.194305,0.186145,,,,-0.219512,0.243442,0.146602,,,,-0.250568,0.226008,0.103062
3,0.050000,0.290778,0.878431,0.058321,-0.374708,-0.145606,0.118432,0.100893,0.000162,-0.246315,0.221406,0.136835,0.000000,-0.251241,0.194366,0.186050,0.983894,-0.145605,0.118434,0.100896,0.000000,-0.219324,0.243568,0.146729,0.935423,-0.268281,0.196814,0.128532,0.000000,-0.250691,0.225923,0.102901,0.946464,,,,-0.251239,0.194344,0.186115,,,,-0.219461,0.243489,0.146544,,,,-0.250556,0.226024,0.103022
4,0.066667,0.290888,0.878430,0.058164,-0.374650,-0.145616,0.118425,0.100894,0.000160,-0.246316,0.221422,0.136796,0.000000,-0.251244,0.194401,0.186022,0.983091,-0.145615,0.118427,0.100897,0.000000,-0.219323,0.243585,0.146681,0.941149,-0.268284,0.196828,0.128503,0.000000,-0.250692,0.225925,0.102860,0.949661,,,,-0.251245,0.194378,0.186085,,,,-0.219453,0.243512,0.146499,,,,-0.250561,0.226023,0.102979
5,0.083333,0.290927,0.878450,0.058143,-0.374576,-0.145623,0.118431,0.100886,0.000159,-0.246323,0.221437,0.136763,0.000000,-0.251259,0.194423,0.185991,0.983238,-0.145622,0.118434,0.100888,0.000000,-0.219329,0.243601,0.146649,0.942234,-0.268291,0.196844,0.128470,0.000000,-0.250694,0.225938,0.102826,0.950408,,,,-0.251260,0.194398,0.186053,,,,-0.219456,0.243531,0.146469,,,,-0.250565,0.226033,0.102944
