Format Version,1.23,Take Name,charlie_nziz,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.10.33.114 AM,Total Frames in Take,370,Total Exported Frames,370,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C69C0","C69C0","C69C0","C69F0","C69F0","C69F0","C6980","C6980","C6980","C6990","C6990","C6990","C69E0","C69E0","C69E0","C6920","C6920","C6920","C67A0","C67A0","C67A0","C68E0","C68E0","C68E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.459685,0.651803,0.302984,-0.521579,0.037981,0.153232,0.212900,0.000077,0.028259,0.260827,0.314716,0.964546,0.015672,0.220031,0.351524,0.981483,0.037984,0.153232,0.212902,0.000000,0.064296,0.259438,0.318834,0.978299,-0.005109,0.257245,0.309239,0.967281,0.022282,0.282302,0.288369,0.977884,,,,,,,0.028201,0.260883,0.314833,0.015691,0.219960,0.351530,,,,0.064216,0.259437,0.318800,-0.004994,0.257308,0.309226,0.022287,0.282256,0.288294
1,0.016667,0.460715,0.651284,0.302555,-0.521567,0.037854,0.153273,0.212876,0.000099,0.028437,0.261017,0.314564,0.964546,0.015851,0.220288,0.351446,0.981483,0.037857,0.153274,0.212879,0.000000,0.064479,0.259583,0.318628,0.978299,-0.004944,0.257474,0.309143,0.967281,0.022449,0.282465,0.288198,0.977884,,,,,,,0.028370,0.261075,0.314694,0.015871,0.220172,0.351457,,,,0.064395,0.259605,0.318600,-0.004815,0.257586,0.309141,0.022452,0.282390,0.288086
2,0.033333,0.461481,0.651363,0.301945,-0.521144,0.037889,0.153234,0.212918,0.000096,0.028571,0.261190,0.314391,0.960648,0.015978,0.220542,0.351360,0.970486,0.037892,0.153234,0.212921,0.000000,0.064614,0.259744,0.318444,0.977182,-0.004813,0.257653,0.308991,0.957273,0.022585,0.282587,0.287983,0.966457,,,,,,,0.028496,0.261247,0.314513,0.015992,0.220441,0.351367,,,,0.064528,0.259765,0.318407,-0.004671,0.257751,0.308988,0.022591,0.282512,0.287892
3,0.050000,0.462165,0.651246,0.300685,-0.521412,0.037894,0.153299,0.212887,0.000102,0.028732,0.261456,0.314158,0.961237,0.016234,0.220878,0.351235,0.974492,0.037897,0.153299,0.212889,0.000000,0.064784,0.260036,0.318140,0.975951,-0.004662,0.257893,0.308833,0.956984,0.022681,0.282797,0.287719,0.970407,,,,,,,0.028660,0.261492,0.314272,0.016247,0.220776,0.351252,,,,0.064697,0.260051,0.318117,-0.004503,0.257995,0.308832,0.022667,0.282746,0.287613
4,0.066667,0.462810,0.651059,0.299889,-0.521531,0.037920,0.153354,0.212851,0.000101,0.028919,0.261663,0.313974,0.965742,0.016471,0.221141,0.351131,0.972614,0.037923,0.153354,0.212853,0.000000,0.064976,0.260244,0.317906,0.977128,-0.004483,0.258095,0.308704,0.955111,0.022831,0.282965,0.287513,0.969680,,,,,,,0.028849,0.261704,0.314085,0.016488,0.221034,0.351149,,,,0.064888,0.260260,0.317885,-0.004336,0.258198,0.308705,0.022825,0.282912,0.287404
5,0.083333,0.462830,0.650640,0.300961,-0.521419,0.037995,0.153602,0.212544,0.000149,0.029098,0.261771,0.313827,0.957021,0.016559,0.221213,0.350913,0.941024,0.037998,0.153602,0.212547,0.000000,0.065150,0.260289,0.317781,0.962143,-0.004306,0.258265,0.308528,0.941068,0.023063,0.283123,0.287393,0.948014,,,,,,,0.029085,0.261865,0.313970,0.016444,0.221008,0.350931,,,,0.065103,0.260408,0.317699,-0.004119,0.258378,0.308617,0.023050,0.283002,0.287225
6,0.100000,0.463659,0.649981,0.300616,-0.521703,0.037940,0.153642,0.212502,0.000151,0.029358,0.261888,0.313730,0.957250,0.016842,0.221368,0.350866,0.942747,0.037943,0.153643,0.212505,0.000000,0.065416,0.260367,0.317618,0.968588,-0.004060,0.258417,0.308497,0.936186,0.023298,0.283230,0.287294,0.948178,,,,,,,0.029319,0.261998,0.313855,0.016745,0.221163,0.350890,,,,0.065367,0.260464,0.317554,-0.003850,0.258537,0.308578,0.023275,0.283110,0.287127
7,0.116667,0.464362,0.649295,0.300418,-0.522047,0.037901,0.153657,0.212490,0.000144,0.029621,0.261939,0.313705,0.961301,0.017125,0.221443,0.350873,0.943991,0.037904,0.153658,0.212492,0.000000,0.065684,0.260378,0.317529,0.967120,-0.003810,0.258505,0.308531,0.939417,0.023539,0.283281,0.287274,0.952118,,,,,,,0.029592,0.262031,0.313826,0.017015,0.221250,0.350897,,,,0.065650,0.260483,0.317458,-0.003608,0.258615,0.308610,0.023512,0.283168,0.287122
