Format Version,1.23,Take Name,charlie_nziz_shifted2_004,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.11.52.656 AM,Total Frames in Take,339,Total Exported Frames,339,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C6E00","C6E00","C6E00","C6E10","C6E10","C6E10","C6E50","C6E50","C6E50","C6DF0","C6DF0","C6DF0","C6E20","C6E20","C6E20","C6E30","C6E30","C6E30"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.380867,0.573538,0.340200,-0.640514,-0.065437,0.152817,0.195024,0.000276,-0.062955,0.226554,0.323843,0.941960,-0.067742,0.176201,0.348726,0.893942,-0.065434,0.152817,0.195026,0.000000,-0.026700,0.227155,0.322175,0.951157,-0.096594,0.221804,0.322408,0.903074,-0.073989,0.253926,0.305952,0.921283,-0.062892,0.226686,0.324024,-0.067880,0.175800,0.348745,,,,-0.026783,0.227329,0.322142,-0.096299,0.222043,0.322487,-0.074126,0.253783,0.305707
1,0.016667,0.380861,0.573765,0.340160,-0.640335,-0.065439,0.152818,0.195021,0.000280,-0.063025,0.226598,0.323817,0.941960,-0.067818,0.176252,0.348714,0.893942,-0.065435,0.152818,0.195023,0.000000,-0.026769,0.227202,0.322166,0.951157,-0.096663,0.221843,0.322368,0.903074,-0.074053,0.253963,0.305912,0.921283,-0.062971,0.226757,0.324000,-0.067952,0.175844,0.348733,,,,-0.026860,0.227366,0.322133,-0.096357,0.222084,0.322445,-0.074189,0.253806,0.305668
2,0.033333,0.380680,0.574134,0.340003,-0.640197,-0.065410,0.152826,0.195012,0.000278,-0.063122,0.226647,0.323788,0.938016,-0.067901,0.176306,0.348697,0.892623,-0.065407,0.152826,0.195015,0.000000,-0.026865,0.227272,0.322160,0.952457,-0.096756,0.221872,0.322319,0.900798,-0.074155,0.254000,0.305867,0.920072,-0.063088,0.226788,0.323957,-0.068035,0.175907,0.348720,,,,-0.026949,0.227445,0.322123,-0.096443,0.222117,0.322391,-0.074283,0.253838,0.305641
3,0.050000,0.380614,0.574541,0.339774,-0.639992,-0.065386,0.152818,0.195016,0.000279,-0.063219,0.226718,0.323748,0.944331,-0.067986,0.176389,0.348685,0.894726,-0.065383,0.152817,0.195018,0.000000,-0.026962,0.227362,0.322142,0.950996,-0.096849,0.221924,0.322260,0.898969,-0.074256,0.254054,0.305803,0.923521,-0.063180,0.226856,0.323911,-0.068121,0.176002,0.348704,,,,-0.027064,0.227532,0.322106,-0.096526,0.222165,0.322333,-0.074382,0.253891,0.305583
4,0.066667,0.381003,0.574622,0.339422,-0.639875,-0.065559,0.152838,0.195019,0.000302,-0.063353,0.226873,0.323673,0.952419,-0.068114,0.176571,0.348664,0.894810,-0.065556,0.152838,0.195021,0.000000,-0.027096,0.227515,0.322055,0.947092,-0.096984,0.222078,0.322200,0.877012,-0.074394,0.254190,0.305702,0.907443,-0.063297,0.226951,0.323837,-0.068200,0.176159,0.348674,,,,-0.027191,0.227704,0.322050,-0.096691,0.222470,0.322249,-0.074561,0.253942,0.305484
5,0.083333,0.380414,0.575686,0.338616,-0.639695,-0.065383,0.152827,0.194996,0.000256,-0.063528,0.227000,0.323577,0.945498,-0.068202,0.176712,0.348613,0.903193,-0.065380,0.152827,0.194999,0.000000,-0.027271,0.227726,0.322008,0.953001,-0.097146,0.222122,0.322064,0.909823,-0.074611,0.254272,0.305563,0.923555,-0.063440,0.227109,0.323743,-0.068296,0.176336,0.348631,,,,-0.027351,0.227895,0.321981,-0.096935,0.222412,0.322109,-0.074735,0.254079,0.305361
