Format Version,1.23,Take Name,pinkhead_circum_005,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.14.46.665 AM,Total Frames in Take,476,Total Exported Frames,476,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1186,Unlabeled 1186,Unlabeled 1186,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C78E0","C78E0","C78E0","C78D0","C78D0","C78D0","C78B0","C78B0","C78B0","C7820","C7820","C7820","C7870","C7870","C7870","C7860","C7860","C7860","C78A0","C78A0","C78A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.352771,-0.036887,-0.853003,-0.382854,0.042051,0.164973,0.205654,0.000202,0.011941,0.220104,0.340160,0.961282,-0.005476,0.266540,0.313367,0.939846,0.042048,0.164974,0.205655,0.000000,-0.019847,0.202588,0.339624,0.957527,0.041453,0.236341,0.335512,0.941196,0.035225,0.197672,0.352233,0.941775,,,,0.011973,0.219953,0.340149,-0.005455,0.266710,0.313198,,,,-0.019965,0.202557,0.339743,0.041402,0.236555,0.335597,0.035340,0.197471,0.352209
1,0.016667,-0.352835,-0.036654,-0.853017,-0.382788,0.042056,0.164965,0.205653,0.000204,0.011938,0.220030,0.340185,0.961282,-0.005475,0.266480,0.313413,0.939846,0.042052,0.164965,0.205655,0.000000,-0.019851,0.202516,0.339638,0.957527,0.041451,0.236268,0.335547,0.941196,0.035220,0.197591,0.352248,0.941775,,,,0.011966,0.219883,0.340171,-0.005453,0.266650,0.313245,,,,-0.019970,0.202481,0.339758,0.041404,0.236484,0.335631,0.035335,0.197388,0.352225
2,0.033333,-0.352954,-0.036393,-0.853027,-0.382679,0.042038,0.164958,0.205653,0.000205,0.011921,0.219940,0.340218,0.962359,-0.005492,0.266407,0.313475,0.940003,0.042035,0.164958,0.205654,0.000000,-0.019868,0.202427,0.339660,0.956945,0.041434,0.236182,0.335590,0.940961,0.035203,0.197495,0.352268,0.941392,,,,0.011952,0.219786,0.340217,-0.005475,0.266576,0.313301,,,,-0.019972,0.202399,0.339780,0.041391,0.236416,0.335671,0.035301,0.197273,0.352241
3,0.050000,-0.353008,-0.036243,-0.853058,-0.382575,0.042043,0.164947,0.205657,0.000207,0.011916,0.219877,0.340242,0.960658,-0.005501,0.266351,0.313515,0.939161,0.042039,0.164947,0.205659,0.000000,-0.019872,0.202361,0.339677,0.959720,0.041427,0.236122,0.335621,0.937196,0.035199,0.197429,0.352284,0.939161,,,,0.011943,0.219725,0.340245,-0.005484,0.266519,0.313343,,,,-0.019976,0.202332,0.339794,0.041389,0.236360,0.335699,0.035297,0.197205,0.352258
4,0.066667,-0.353118,-0.036110,-0.853057,-0.382489,0.042028,0.164940,0.205665,0.000206,0.011911,0.219818,0.340273,0.962152,-0.005510,0.266302,0.313565,0.941252,0.042024,0.164940,0.205666,0.000000,-0.019876,0.202301,0.339704,0.961991,0.041421,0.236067,0.335655,0.937028,0.035197,0.197367,0.352304,0.937216,,,,0.011931,0.219669,0.340282,-0.005498,0.266462,0.313393,,,,-0.019977,0.202282,0.339816,0.041388,0.236304,0.335733,0.035298,0.197139,0.352277
5,0.083333,-0.352360,-0.037666,-0.853431,-0.382203,0.042170,0.164450,0.205858,0.000152,0.011900,0.219674,0.340290,0.980628,-0.005601,0.266044,0.313437,0.962795,0.042166,0.164450,0.205859,0.000000,-0.019853,0.202094,0.339763,0.953217,0.041381,0.235966,0.335634,0.921438,0.035225,0.197304,0.352397,0.924483,,,,0.011935,0.219608,0.340309,-0.005622,0.265974,0.313307,,,,-0.019973,0.202217,0.339836,0.041394,0.236247,0.335773,0.035317,0.197035,0.352295
