Format Version,1.23,Take Name,pinkhead_ear2ear_006,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.15.01.001 AM,Total Frames in Take,410,Total Exported Frames,410,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1191,Unlabeled 1191,Unlabeled 1191,Unlabeled 1192,Unlabeled 1192,Unlabeled 1192,Unlabeled 1193,Unlabeled 1193,Unlabeled 1193,Unlabeled 1195,Unlabeled 1195,Unlabeled 1195,Unlabeled 1197,Unlabeled 1197,Unlabeled 1197,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C79D0","C79D0","C79D0","C7960","C7960","C7960","C7A10","C7A10","C7A10","C7A00","C7A00","C7A00","C7A30","C7A30","C7A30","C79F0","C79F0","C79F0","C7970","C7970","C7970","C7A40","C7A40","C7A40","C7900","C7900","C7900","C79B0","C79B0","C79B0","C79E0","C79E0","C79E0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.121084,-0.419915,0.890571,0.126066,-0.031744,0.107483,0.132477,0.001202,-0.177930,0.083652,0.142455,0.000000,-0.183759,0.139585,0.138580,0.905243,-0.031746,0.107484,0.132474,0.000000,-0.178680,0.076720,0.106832,0.611908,-0.173002,0.092923,0.174796,0.711709,-0.169874,0.053912,0.158003,0.659786,,,,,,,,,,,,,,,,,,,-0.183799,0.139581,0.138203,,,,-0.178861,0.078244,0.107067,-0.173005,0.092161,0.173931,-0.169656,0.053403,0.159245
1,0.016667,-0.120818,-0.419557,0.890757,0.126202,-0.031750,0.107504,0.132327,0.001162,-0.177930,0.083688,0.142427,0.000000,-0.183759,0.139619,0.138517,0.905243,-0.031752,0.107505,0.132323,0.000000,-0.178706,0.076732,0.106810,0.611908,-0.172978,0.092982,0.174758,0.711709,-0.169864,0.053959,0.157989,0.659786,,,,,,,,,,,,,,,,,,,-0.183807,0.139586,0.138160,,,,-0.178862,0.078272,0.107048,-0.172964,0.092317,0.173911,-0.169679,0.053407,0.159215
2,0.033333,-0.120903,-0.419377,0.890864,0.125963,-0.031748,0.107526,0.132355,0.001168,-0.177923,0.083666,0.142425,0.000000,-0.183770,0.139593,0.138486,0.909628,-0.031750,0.107526,0.132351,0.000000,-0.178687,0.076691,0.106811,0.608411,-0.172983,0.092977,0.174753,0.730771,-0.169851,0.053947,0.158005,0.660738,,,,,,,,,,,,,,,,,,,-0.183818,0.139557,0.138143,,,,-0.178845,0.078275,0.107049,-0.172966,0.092303,0.173897,-0.169674,0.053405,0.159211
3,0.050000,-0.121178,-0.419786,0.890641,0.125913,-0.031749,0.107452,0.132481,0.001207,-0.177933,0.083598,0.142431,0.000000,-0.183772,0.139529,0.138535,0.912945,-0.031751,0.107453,0.132478,0.000000,-0.178673,0.076654,0.106811,0.597648,-0.173015,0.092882,0.174771,0.727551,-0.169875,0.053866,0.157991,0.666525,,,,,,,,,,,,,,,,,,,-0.183814,0.139530,0.138167,,,,-0.178853,0.078216,0.107056,-0.173012,0.092119,0.173901,-0.169667,0.053349,0.159213
4,0.066667,-0.120996,-0.419938,0.890614,0.125771,-0.031754,0.107449,0.132478,0.001209,-0.177926,0.083528,0.142445,0.000000,-0.183790,0.139457,0.138566,0.906878,-0.031756,0.107449,0.132475,0.000000,-0.178669,0.076594,0.106822,0.601000,-0.173007,0.092804,0.174786,0.710972,-0.169853,0.053794,0.157994,0.664420,,,,,,,,,,,,,,,,,,,-0.183836,0.139462,0.138196,,,,-0.178846,0.078161,0.107067,-0.172998,0.092039,0.173919,-0.169650,0.053275,0.159215
5,0.083333,-0.117736,-0.429465,0.886239,0.127588,-0.031807,0.108034,0.132851,0.001632,-0.177924,0.083791,0.142857,0.000000,-0.183840,0.139787,0.140227,0.000000,-0.031810,0.108034,0.132848,0.000000,-0.178801,0.077638,0.107094,0.880430,-0.172885,0.092359,0.175374,0.625377,-0.169771,0.053729,0.157720,0.516326,,,,,,,,,,,,,,,,,,,,,,,,,-0.178866,0.078111,0.107071,-0.173003,0.091989,0.173927,-0.169502,0.053339,0.159596
6,0.100000,-0.120755,-0.419785,0.890764,0.125454,-0.031759,0.107579,0.132493,0.001302,-0.177911,0.083550,0.142504,0.000000,-0.183818,0.139473,0.138604,0.899334,-0.031761,0.107579,0.132489,0.000000,-0.178657,0.076600,0.106884,0.611405,-0.172991,0.092843,0.174840,0.688933,-0.169811,0.053829,0.158064,0.592349,,,,,,,,,,,,,,,,,,,-0.183848,0.139443,0.138203,,,,-0.178867,0.078129,0.107073,-0.173015,0.092003,0.173922,-0.169524,0.053342,0.159594
7,0.116667,-0.121049,-0.419887,0.890609,0.125929,-0.031783,0.107415,0.132467,0.001207,-0.177963,0.083544,0.142442,0.000000,-0.183808,0.139475,0.138561,0.906282,-0.031785,0.107415,0.132464,0.000000,-0.178710,0.076608,0.106821,0.604370,-0.173039,0.092820,0.174783,0.711770,-0.169899,0.053808,0.157993,0.661851,,,,,,,,,,,,,,,,,,,-0.183852,0.139479,0.138189,,,,-0.178887,0.078161,0.107067,-0.173035,0.092061,0.173915,-0.169690,0.053284,0.159223
8,0.133333,-0.121194,-0.419653,0.890688,0.126008,-0.031801,0.107410,0.132464,0.001202,-0.177989,0.083588,0.142435,0.000000,-0.183817,0.139519,0.138524,0.906282,-0.031803,0.107411,0.132461,0.000000,-0.178734,0.076635,0.106816,0.604370,-0.173066,0.092879,0.174771,0.711770,-0.169936,0.053858,0.158002,0.661851,,,,,,,,,,,,,,,,,,,-0.183858,0.139514,0.138160,,,,-0.178913,0.078192,0.107061,-0.173065,0.092127,0.173897,-0.169726,0.053339,0.159226
9,0.150000,-0.121262,-0.419608,0.890689,0.126088,-0.031817,0.107434,0.132441,0.001172,-0.178010,0.083643,0.142407,0.000000,-0.183826,0.139575,0.138492,0.908221,-0.031819,0.107434,0.132437,0.000000,-0.178755,0.076687,0.106788,0.603459,-0.173086,0.092935,0.174742,0.711787,-0.169964,0.053912,0.157976,0.663467,,,,,,,,,,,,,,,,,,,-0.183861,0.139545,0.138131,,,,-0.178934,0.078205,0.107027,-0.173098,0.092240,0.173879,-0.169744,0.053381,0.159215
10,0.166667,-0.120252,-0.418882,0.891301,0.125136,-0.031805,0.107871,0.132217,0.001150,-0.177924,0.083729,0.142421,0.000000,-0.183886,0.139639,0.138414,0.909026,-0.031807,0.107871,0.132214,0.000000,-0.178699,0.076708,0.106816,0.613237,-0.172981,0.093092,0.174733,0.722781,-0.169782,0.054047,0.158032,0.658487,,,,,,,,,,,,,,,,,,,-0.183879,0.139544,0.138076,,,,-0.178941,0.078205,0.106993,-0.173057,0.092389,0.173863,-0.169487,0.053608,0.159297
11,0.183333,-0.121147,-0.419227,0.890883,0.126095,-0.031828,0.107452,0.132306,0.001131,-0.178017,0.083664,0.142343,0.000000,-0.183837,0.139592,0.138385,0.912261,-0.031830,0.107452,0.132303,0.000000,-0.178775,0.076679,0.106731,0.618205,-0.173083,0.092983,0.174670,0.719604,-0.169964,0.053946,0.157934,0.657326,,,,,,,,,,,,,,,,,,,-0.183884,0.139533,0.138049,,,,-0.178922,0.078232,0.106972,-0.173069,0.092383,0.173830,-0.169792,0.053369,0.159137
12,0.200000,-0.121066,-0.419301,0.890894,0.125851,-0.031841,0.107531,0.132294,0.001134,-0.178019,0.083665,0.142317,0.000000,-0.183867,0.139591,0.138364,0.913910,-0.031843,0.107531,0.132290,0.000000,-0.178770,0.076683,0.106705,0.607124,-0.173091,0.092984,0.174645,0.738494,-0.169951,0.053951,0.157906,0.663333,,,,,,,,,,,,,,,,,,,-0.183907,0.139529,0.138027,,,,-0.178930,0.078228,0.106939,-0.173088,0.092370,0.173798,-0.169763,0.053391,0.159117
13,0.216667,-0.121153,-0.419168,0.890990,0.125527,-0.031867,0.107606,0.132304,0.001137,-0.178036,0.083672,0.142284,0.000000,-0.183911,0.139593,0.138305,0.916771,-0.031869,0.107607,0.132301,0.000000,-0.178770,0.076674,0.106674,0.596469,-0.173125,0.093007,0.174610,0.738080,-0.169960,0.053968,0.157888,0.668893,,,,,,,,,,,,,,,,,,,-0.183951,0.139524,0.137982,,,,-0.178932,0.078264,0.106901,-0.173115,0.092390,0.173763,-0.169783,0.053420,0.159081
14,0.233333,-0.121452,-0.418899,0.891077,0.125518,-0.031874,0.107616,0.132319,0.001147,-0.178055,0.083729,0.142248,0.000000,-0.183912,0.139650,0.138230,0.920106,-0.031877,0.107616,0.132316,0.000000,-0.178775,0.076709,0.106642,0.582112,-0.173156,0.093083,0.174570,0.737010,-0.169994,0.054033,0.157874,0.672954,,,,,,,,,,,,,,,,,,,-0.183957,0.139591,0.137919,,,,-0.178933,0.078356,0.106883,-0.173140,0.092467,0.173717,-0.169827,0.053470,0.159044
15,0.250000,-0.122083,-0.418179,0.891433,0.124775,-0.031877,0.107779,0.132449,0.001179,-0.178055,0.083807,0.142208,0.000000,-0.183945,0.139715,0.138074,0.936380,-0.031879,0.107779,0.132446,0.000000,-0.178717,0.076718,0.106614,0.526988,-0.173210,0.093226,0.174519,0.732233,-0.169996,0.054146,0.157903,0.687553,,,,,,,,,,,,,,,,,,,-0.183988,0.139656,0.137830,,,,-0.178891,0.078592,0.106806,-0.173184,0.092590,0.173658,-0.169851,0.053622,0.159029
16,0.266667,-0.120670,-0.428891,0.885989,0.128510,-0.031819,0.107937,0.133097,0.001477,-0.178081,0.084343,0.142503,0.000000,-0.183742,0.140361,0.139773,0.936380,-0.031821,0.107937,0.133094,0.000000,-0.178830,0.078146,0.106745,0.526988,-0.173146,0.092934,0.175030,0.732233,-0.170123,0.054267,0.157441,0.687553,-0.123326,0.270418,0.197251,,,,,,,,,,,,,,,,,,,,,,-0.178897,0.078681,0.106760,-0.173271,0.092634,0.173555,-0.169888,0.053774,0.158990
