Format Version,1.23,Take Name,pinkhead_nziz_004,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.14.34.198 AM,Total Frames in Take,337,Total Exported Frames,337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,stylus,stylus,stylus,stylus,stylus,stylus,stylus,stylus,"stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker1","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker2","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker3","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker4","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker5","stylus:Marker6","stylus:Marker6","stylus:Marker6","stylus:Marker6",Unlabeled 1178,Unlabeled 1178,Unlabeled 1178,stylus:Marker1,stylus:Marker1,stylus:Marker1,stylus:Marker2,stylus:Marker2,stylus:Marker2,stylus:Marker3,stylus:Marker3,stylus:Marker3,stylus:Marker4,stylus:Marker4,stylus:Marker4,stylus:Marker5,stylus:Marker5,stylus:Marker5,stylus:Marker6,stylus:Marker6,stylus:Marker6
,ID,"E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","E2E19D774B6811EC97A319E8FC9C4A91","C7840","C7840","C7840","C7830","C7830","C7830","C77F0","C77F0","C77F0","C7850","C7850","C7850","C7800","C7800","C7800","C7720","C7720","C7720","C7810","C7810","C7810"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.251135,-0.065678,-0.790227,-0.555121,0.043136,0.131054,0.208749,0.000152,0.022093,0.226302,0.320655,0.937387,0.022697,0.266910,0.281563,0.956405,0.043132,0.131056,0.208750,0.000000,-0.013502,0.219350,0.319159,0.937533,0.055529,0.231365,0.317105,0.917448,0.035899,0.202113,0.341035,0.931340,,,,0.022121,0.226058,0.320607,0.022691,0.266924,0.281389,,,,-0.013467,0.219590,0.319220,0.055366,0.231608,0.317257,0.036004,0.201860,0.341044
1,0.016667,-0.250084,-0.065614,-0.790552,-0.555140,0.043284,0.131021,0.208813,0.000132,0.021987,0.226375,0.320580,0.937387,0.022647,0.266943,0.281448,0.956405,0.043280,0.131023,0.208813,0.000000,-0.013602,0.219406,0.319024,0.937533,0.055428,0.231449,0.317089,0.917448,0.035765,0.202213,0.341011,0.931340,,,,0.022005,0.226211,0.320551,0.022656,0.266964,0.281283,,,,-0.013547,0.219581,0.319091,0.055271,0.231648,0.317215,0.035842,0.201983,0.341011
2,0.033333,-0.249224,-0.064680,-0.790615,-0.555547,0.043314,0.131008,0.208829,0.000130,0.021829,0.226346,0.320574,0.958068,0.022624,0.266926,0.281456,0.958522,0.043311,0.131010,0.208829,0.000000,-0.013763,0.219411,0.318927,0.951327,0.055283,0.231390,0.317167,0.929183,0.035533,0.202164,0.341031,0.939304,,,,0.021865,0.226183,0.320544,0.022637,0.266958,0.281292,,,,-0.013735,0.219572,0.318992,0.055124,0.231578,0.317288,0.035614,0.201945,0.341037
3,0.050000,-0.248435,-0.063728,-0.790780,-0.555774,0.043310,0.130989,0.208849,0.000136,0.021607,0.226279,0.320593,0.957560,0.022518,0.266879,0.281499,0.958041,0.043306,0.130991,0.208849,0.000000,-0.013985,0.219364,0.318856,0.955740,0.055071,0.231306,0.317269,0.931421,0.035248,0.202079,0.341070,0.941425,,,,0.021648,0.226104,0.320559,0.022535,0.266918,0.281331,,,,-0.013948,0.219528,0.318926,0.054894,0.231496,0.317391,0.035330,0.201860,0.341079
4,0.066667,-0.247651,-0.062750,-0.790967,-0.555970,0.043267,0.130982,0.208850,0.000137,0.021337,0.226215,0.320598,0.949242,0.022364,0.266838,0.281531,0.955181,0.043263,0.130983,0.208850,0.000000,-0.014253,0.219318,0.318770,0.948860,0.054812,0.231227,0.317359,0.926389,0.034917,0.201996,0.341094,0.940359,,,,0.021363,0.226020,0.320547,0.022375,0.266877,0.281356,,,,-0.014192,0.219493,0.318856,0.054654,0.231439,0.317489,0.034977,0.201765,0.341103
5,0.083333,-0.246782,-0.061519,-0.791246,-0.556097,0.043269,0.130961,0.208871,0.000130,0.021052,0.226096,0.320646,0.945619,0.022208,0.266756,0.281621,0.957319,0.043265,0.130962,0.208872,0.000000,-0.014535,0.219215,0.318709,0.951108,0.054539,0.231098,0.317510,0.927163,0.034563,0.201852,0.341159,0.945454,,,,0.021080,0.225885,0.320602,0.022230,0.266795,0.281457,,,,-0.014496,0.219388,0.318790,0.054373,0.231302,0.317636,0.034640,0.201648,0.341160
6,0.100000,-0.245996,-0.059561,-0.791110,-0.556852,0.043216,0.130931,0.208922,0.000144,0.020825,0.225911,0.320794,0.961262,0.022206,0.266640,0.281848,0.956309,0.043213,0.130933,0.208922,0.000000,-0.014771,0.219113,0.318721,0.954786,0.054333,0.230845,0.317782,0.929651,0.034211,0.201600,0.341308,0.940171,,,,0.020849,0.225759,0.320773,0.022225,0.266682,0.281680,,,,-0.014707,0.219269,0.318786,0.054146,0.231023,0.317892,0.034292,0.201375,0.341322
7,0.116667,-0.245563,-0.057241,-0.790965,-0.557491,0.043252,0.130938,0.208915,0.000144,0.020709,0.225648,0.320984,0.944004,0.022309,0.266485,0.282160,0.951644,0.043248,0.130940,0.208915,0.000000,-0.014896,0.218937,0.318776,0.947606,0.054237,0.230515,0.318096,0.925076,0.033973,0.201248,0.341472,0.941331,,,,0.020746,0.225429,0.320958,0.022317,0.266540,0.281975,,,,-0.014830,0.219121,0.318850,0.054058,0.230719,0.318222,0.034040,0.201024,0.341483
8,0.133333,-0.245607,-0.055572,-0.790561,-0.558213,0.043197,0.130964,0.208894,0.000144,0.020695,0.225472,0.321143,0.944004,0.022459,0.266394,0.282415,0.951644,0.043194,0.130966,0.208895,0.000000,-0.014922,0.218852,0.318859,0.947606,0.054240,0.230264,0.318322,0.925076,0.033865,0.200993,0.341597,0.941331,,,,0.020739,0.225264,0.321121,0.022475,0.266460,0.282233,,,,-0.014874,0.219019,0.318929,0.054055,0.230449,0.318439,0.033942,0.200783,0.341614
9,0.150000,-0.245250,-0.054579,-0.790169,-0.559023,0.043231,0.130930,0.208936,0.000148,0.020758,0.225405,0.321219,0.946483,0.022671,0.266350,0.282523,0.951436,0.043228,0.130931,0.208937,0.000000,-0.014870,0.218863,0.318874,0.953032,0.054317,0.230126,0.318454,0.928254,0.033843,0.200882,0.341676,0.943781,,,,0.020795,0.225205,0.321190,0.022696,0.266406,0.282350,,,,-0.014830,0.219030,0.318944,0.054132,0.230323,0.318563,0.033926,0.200661,0.341699
10,0.166667,-0.244660,-0.054044,-0.789727,-0.559957,0.043297,0.130887,0.208987,0.000148,0.020869,0.225447,0.321207,0.948814,0.022926,0.266376,0.282501,0.954013,0.043293,0.130889,0.208987,0.000000,-0.014769,0.218982,0.318814,0.953528,0.054443,0.230095,0.318488,0.926940,0.033872,0.200903,0.341690,0.940583,,,,0.020888,0.225243,0.321183,0.022949,0.266410,0.282333,,,,-0.014709,0.219167,0.318884,0.054263,0.230316,0.318598,0.033950,0.200667,0.341704
11,0.183333,-0.244467,-0.053901,-0.789367,-0.560562,0.043344,0.130905,0.208975,0.000141,0.021009,0.225533,0.321156,0.948445,0.023137,0.266446,0.282438,0.956571,0.043340,0.130907,0.208975,0.000000,-0.014637,0.219117,0.318753,0.948378,0.054590,0.230132,0.318448,0.923708,0.033970,0.200977,0.341652,0.937802,,,,0.021038,0.225336,0.321128,0.023158,0.266477,0.282269,,,,-0.014577,0.219298,0.318829,0.054409,0.230348,0.318567,0.034041,0.200747,0.341655
12,0.200000,-0.244644,-0.054196,-0.789068,-0.560878,0.043337,0.130927,0.208957,0.000135,0.021151,0.225621,0.321111,0.953029,0.023280,0.266516,0.282373,0.956903,0.043334,0.130929,0.208957,0.000000,-0.014502,0.219230,0.318736,0.950330,0.054734,0.230196,0.318376,0.926675,0.034110,0.201066,0.341609,0.940006,,,,0.021175,0.225441,0.321066,0.023296,0.266547,0.282204,,,,-0.014446,0.219402,0.318819,0.054571,0.230403,0.318504,0.034177,0.200835,0.341612
13,0.216667,-0.244916,-0.054355,-0.788738,-0.561207,0.043374,0.130952,0.208960,0.000141,0.021350,0.225681,0.321117,0.950902,0.023485,0.266568,0.282371,0.956182,0.043371,0.130954,0.208960,0.000000,-0.014310,0.219319,0.318770,0.947371,0.054934,0.230227,0.318357,0.927000,0.034303,0.201118,0.341609,0.941961,,,,0.021373,0.225489,0.321083,0.023492,0.266608,0.282201,,,,-0.014226,0.219498,0.318842,0.054756,0.230423,0.318480,0.034366,0.200894,0.341618
