Format Version,1.23,Take Name,pinkhead_static_007,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2022-02-09 11.13.34.596 AM,Total Frames in Take,81,Total Exported Frames,81,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1152,Unlabeled 1152,Unlabeled 1152,Unlabeled 1153,Unlabeled 1153,Unlabeled 1153,Unlabeled 1154,Unlabeled 1154,Unlabeled 1154,Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,Unlabeled 1156,Unlabeled 1156,Unlabeled 1156,Unlabeled 1157,Unlabeled 1157,Unlabeled 1157,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,Unlabeled 1159,Unlabeled 1159,Unlabeled 1159,Unlabeled 1160,Unlabeled 1160,Unlabeled 1160,Unlabeled 1161,Unlabeled 1161,Unlabeled 1161,Unlabeled 1162,Unlabeled 1162,Unlabeled 1162,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1164,Unlabeled 1164,Unlabeled 1164,Unlabeled 1165,Unlabeled 1165,Unlabeled 1165,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1167,Unlabeled 1167,Unlabeled 1167,Unlabeled 1168,Unlabeled 1168,Unlabeled 1168,Unlabeled 1169,Unlabeled 1169,Unlabeled 1169,Unlabeled 1170,Unlabeled 1170,Unlabeled 1170,Unlabeled 1171,Unlabeled 1171,Unlabeled 1171,Unlabeled 1172,Unlabeled 1172,Unlabeled 1172
,ID,"C71C0","C71C0","C71C0","C71E0","C71E0","C71E0","C7240","C7240","C7240","C7260","C7260","C7260","C7270","C7270","C7270","C72A0","C72A0","C72A0","C72F0","C72F0","C72F0","C7300","C7300","C7300","C7310","C7310","C7310","C7350","C7350","C7350","C7360","C7360","C7360","C73A0","C73A0","C73A0","C73D0","C73D0","C73D0","C7410","C7410","C7410","C7440","C7440","C7440","C7450","C7450","C7450","C7460","C7460","C7460","C7470","C7470","C7470","C74A0","C74A0","C74A0","C74C0","C74C0","C74C0","C74D0","C74D0","C74D0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.031832,0.137119,0.049897,0.097055,0.219403,0.108429,-0.014604,0.194786,0.044029,0.104055,0.141654,0.053825,-0.033031,0.212093,0.104926,0.010066,0.140009,0.018711,0.036859,0.218553,0.040189,0.087047,0.195530,0.044764,0.110307,0.158064,0.163942,-0.047018,0.138669,0.110793,0.082246,0.209780,0.170167,0.028235,0.225528,0.176657,0.035646,0.249876,0.108143,-0.017747,0.202105,0.172461,-0.034356,0.149439,0.168653,0.041719,0.162716,0.211355,0.012523,0.164073,0.208107,0.072872,0.163638,0.210591,0.067384,0.142079,0.017847,0.118901,0.148420,0.107736,0.037367,0.141380,0.018370
1,0.016667,-0.031832,0.137118,0.049899,0.097067,0.219378,0.108424,-0.014607,0.194786,0.044029,0.104053,0.141650,0.053824,-0.033027,0.212095,0.104925,0.010067,0.140006,0.018712,0.036859,0.218551,0.040192,0.087042,0.195524,0.044762,0.110317,0.158072,0.163944,-0.047019,0.138673,0.110794,0.082248,0.209776,0.170167,0.028236,0.225528,0.176658,0.035648,0.249877,0.108145,-0.017748,0.202106,0.172463,-0.034355,0.149439,0.168651,0.041719,0.162717,0.211356,0.012527,0.164074,0.208108,0.072876,0.163639,0.210590,0.067380,0.142079,0.017849,0.118902,0.148419,0.107738,0.037368,0.141378,0.018373
2,0.033333,-0.031830,0.137114,0.049897,0.097042,0.219387,0.108422,-0.014605,0.194785,0.044031,0.104055,0.141652,0.053826,-0.033022,0.212094,0.104932,0.010066,0.140007,0.018714,0.036859,0.218549,0.040191,0.087042,0.195523,0.044760,0.110314,0.158070,0.163945,-0.047016,0.138669,0.110793,0.082247,0.209775,0.170167,0.028265,0.225486,0.176652,0.035648,0.249878,0.108145,-0.017748,0.202105,0.172462,-0.034356,0.149439,0.168654,0.041718,0.162716,0.211355,0.012508,0.164095,0.208125,0.072874,0.163638,0.210591,0.067381,0.142078,0.017850,0.118904,0.148418,0.107738,0.037365,0.141381,0.018364
3,0.050000,-0.031833,0.137118,0.049899,0.097067,0.219381,0.108423,-0.014606,0.194786,0.044030,0.104054,0.141653,0.053823,-0.033026,0.212098,0.104936,0.010067,0.140003,0.018713,0.036856,0.218551,0.040192,0.087046,0.195527,0.044767,0.110312,0.158068,0.163941,-0.047020,0.138674,0.110795,0.082245,0.209775,0.170168,0.028263,0.225486,0.176651,0.035646,0.249878,0.108144,-0.017748,0.202105,0.172465,-0.034355,0.149437,0.168651,0.041718,0.162715,0.211354,0.012524,0.164073,0.208106,0.072874,0.163638,0.210590,0.067381,0.142076,0.017849,0.118903,0.148419,0.107740,0.037368,0.141386,0.018362
4,0.066667,-0.031834,0.137116,0.049898,0.097047,0.219401,0.108430,-0.014606,0.194785,0.044030,0.104053,0.141649,0.053826,-0.033027,0.212098,0.104936,0.010065,0.140000,0.018711,0.036858,0.218551,0.040191,0.087045,0.195529,0.044766,0.110309,0.158065,0.163943,-0.047022,0.138677,0.110794,0.082256,0.209762,0.170171,0.028234,0.225531,0.176660,0.035645,0.249876,0.108144,-0.017750,0.202105,0.172463,-0.034357,0.149443,0.168653,0.041719,0.162718,0.211357,0.012511,0.164100,0.208129,0.072872,0.163637,0.210591,0.067383,0.142077,0.017850,0.118901,0.148417,0.107737,0.037365,0.141380,0.018362
5,0.083333,-0.031832,0.137117,0.049896,0.097049,0.219400,0.108432,-0.014606,0.194787,0.044032,0.104057,0.141656,0.053826,-0.033022,0.212095,0.104935,0.010070,0.139998,0.018717,0.036858,0.218552,0.040191,0.087042,0.195526,0.044760,0.110314,0.158071,0.163947,-0.047016,0.138674,0.110794,0.082245,0.209780,0.170167,0.028235,0.225531,0.176658,0.035645,0.249878,0.108146,-0.017750,0.202109,0.172463,-0.034356,0.149442,0.168654,0.041717,0.162720,0.211357,0.012510,0.164098,0.208128,0.072873,0.163637,0.210589,0.067383,0.142078,0.017849,0.118902,0.148421,0.107739,0.037366,0.141380,0.018366
